Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Alexandru Maxim,roROU,CC,34-296,29,28,"2,174",24.2,5,5,10,3,2,2,6,0,0.21,0.21,0.41,0.12,0.33,Partidos,33.0,10.0,30.3,1.31,0.4,0.09,0.3,,,,,,,,,,,,,,,,,,75,78.6,78,8,1,14,1,1.30,28,38,-10,-0.40,-1.27,0.0,39.0,30.0,1.0,117.0,25.0,22.0,,,/es/jugadores/61fc9685/Alexandru-Maxim
Deian Sorescu,roROU,"CC,DF",27-244,29,26,"2,322",25.8,5,4,9,4,1,1,6,0,0.19,0.16,0.35,0.16,0.31,Partidos,58.0,18.0,31.0,2.16,0.67,0.07,0.22,,,,,,,,,,,,,,,,,,80,83.8,86,20,3,32,0,1.37,37,36,+1,+0.04,+1.00,0.0,26.0,31.0,14.0,105.0,15.0,27.0,,,/es/jugadores/15e1f59b/Deian-Sorescu
Bruno Viana,brBRA,DF,30-084,26,25,"2,190",24.3,0,1,1,0,0,0,9,2,0.00,0.04,0.04,0.00,0.04,Partidos,6.0,1.0,16.7,0.24,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,84,79.2,88,20,1,5,0,1.11,32,43,-11,-0.43,-1.48,1.0,31.0,10.0,0.0,0.0,38.0,20.0,,,/es/jugadores/c5ea2dab/Bruno-Viana
Badou Ndiaye,snSEN,CC,34-185,26,25,"2,154",23.9,0,2,2,0,0,0,9,0,0.00,0.08,0.08,0.00,0.08,Partidos,17.0,5.0,29.4,0.71,0.21,0.0,0.0,,,,,,,,,,,,,,,,,,83,74.8,85,18,1,24,0,1.46,33,32,+1,+0.04,+0.66,0.0,35.0,49.0,1.0,3.0,32.0,37.0,,,/es/jugadores/960acc0a/Badou-Ndiaye
David Okereke,ngNGA,"DL,CC",27-244,25,22,"1,927",21.4,9,3,12,9,0,0,4,0,0.42,0.14,0.56,0.42,0.56,Partidos,58.0,24.0,41.4,2.63,1.09,0.16,0.38,,,,,,,,,,,,,,,,,,76,69.0,84,12,3,21,0,1.27,26,31,-5,-0.23,-0.33,0.0,15.0,20.0,10.0,9.0,3.0,12.0,,,/es/jugadores/d125f22f/David-Okereke
Kacper Kozłowski,plPOL,"CC,DL",21-196,23,22,"1,802",20.0,4,4,8,4,0,0,10,1,0.20,0.20,0.40,0.20,0.40,Partidos,34.0,12.0,35.3,1.62,0.57,0.12,0.33,,,,,,,,,,,,,,,,,,79,65.5,81,8,1,25,0,1.38,25,24,+1,+0.05,+0.50,1.0,37.0,46.0,8.0,21.0,13.0,25.0,,,/es/jugadores/3ece036c/Kacper-Kozlowski
Christopher Lungoyi,chSUI,"CC,DL",24-300,26,20,"1,734",19.3,2,0,2,2,0,0,8,0,0.10,0.00,0.10,0.10,0.10,Partidos,33.0,16.0,48.5,1.65,0.8,0.06,0.13,,,,,,,,,,,,,,,,,,67,62.7,79,6,7,33,0,1.22,27,28,-1,-0.05,+0.20,0.0,32.0,54.0,3.0,30.0,9.0,17.0,,,/es/jugadores/192e9592/Christopher-Lungoyi
Arda Kızıldağ,trTUR,DF,26-197,23,19,"1,723",19.1,2,0,2,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Partidos,14.0,6.0,42.9,0.73,0.31,0.14,0.33,,,,,,,,,,,,,,,,,,75,59.8,86,15,4,23,6,1.39,22,22,0,0.00,+0.31,0.0,11.0,19.0,0.0,2.0,30.0,14.0,,,/es/jugadores/035379ae/Arda-Kizildag
Sokratis Dioudis,grGRE,PO,32-086,18,16,"1,480",16.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,26.0,1.49,73.0,51.0,68.5,6.0,3.0,8.0,5.0,29.4,3.0,3.0,3.0,3.0,0.0,25.0,83,54.5,87,16,2,43,9,1.32,24,26,-2,-0.11,+0.02,0.0,3.0,2.0,0.0,0.0,0.0,1.0,,,/es/jugadores/76962f73/Sokratis-Dioudis
Mustafa Burak Bozan,,PO,24-250,16,15,"1,310",14.6,0,1,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Partidos,0.0,0.0,,0.0,0.0,,,,19.0,1.31,71.0,54.0,76.1,6.0,3.0,6.0,5.0,33.3,2.0,2.0,2.0,2.0,0.0,33.3,82,45.5,84,13,1,45,16,1.50,17,19,-2,-0.14,-0.02,0.0,0.0,6.0,0.0,0.0,0.0,2.0,,,/es/jugadores/c7deccc0/Mustafa-Burak-Bozan
