Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Paulo Dybala,"€ 249,231","€ 12,960,000","€ 1,850,000","Jun 30, 2026",2,"€ 25,920,000","€ 12,000,000"
Lorenzo Pellegrini,"€ 124,615","€ 6,480,000","€ 930,000","Jun 30, 2026",2,"€ 12,960,000",
Gianluca Mancini,"€ 124,615","€ 6,480,000","€ 930,000","Jun 30, 2027",3,"€ 19,440,000",
Artem Dovbyk,"€ 106,923","€ 5,560,000","€ 1,850,000","Jun 30, 2029",5,"€ 27,800,000",
Kouadio Koné,"€ 99,808","€ 5,190,000",,"Jun 30, 2029",5,"€ 25,950,000",
Bryan Cristante,"€ 99,808","€ 5,190,000","€ 1,300,000","Jun 30, 2027",3,"€ 15,570,000",
Evan N'Dicka,"€ 98,654","€ 5,130,000",,"Jun 30, 2028",4,"€ 20,520,000",
Stephan El Shaarawy,"€ 89,038","€ 4,630,000","€ 2,780,000","Jun 30, 2025",1,"€ 4,630,000",
Matías Soulé,"€ 71,154","€ 3,700,000","€ 930,000","Jun 30, 2029",5,"€ 18,500,000",
Angeliño,"€ 71,154","€ 3,700,000",,"Jun 30, 2028",4,"€ 14,800,000",
Mats Hummels,"€ 71,154","€ 3,700,000","€ 1,850,000","Jun 30, 2025",1,"€ 3,700,000",
Mario Hermoso,"€ 62,308","€ 3,240,000",,"Jun 30, 2027",3,"€ 9,720,000",
Leandro Paredes,"€ 61,731","€ 3,210,000","€ 640,000","Jun 30, 2026",2,"€ 6,420,000",
Zeki Çelik,"€ 49,231","€ 2,560,000",,"Jun 30, 2026",2,"€ 5,120,000",
Devyne Rensch,"€ 42,692","€ 2,220,000",,"Jun 30, 2029",5,"€ 11,100,000",
Tommaso Baldanzi,"€ 38,462","€ 2,000,000",,"Jun 30, 2028",4,"€ 8,000,000",
Eldor Shomurodov,"€ 36,923","€ 1,920,000",,"Jun 30, 2026",2,"€ 3,840,000",
Saud Abdulhamid,"€ 35,577","€ 1,850,000",,"Jun 30, 2028",4,"€ 7,400,000",
Pierluigi Gollini,"€ 28,462","€ 1,480,000",,"Jun 30, 2027",3,"€ 4,440,000",
Alexis Saelemaekers,"€ 24,615","€ 1,280,000",,"Jun 30, 2025",1,"€ 1,280,000",
Mile Svilar,"€ 24,615","€ 1,280,000",,"Jun 30, 2027",3,"€ 3,840,000",
Victor Nelsson,"€ 19,615","€ 1,020,000",,"Jun 30, 2025",1,"€ 1,020,000",
Anass Salah-Eddine,"€ 17,885","€ 930,000",,"Jun 30, 2025",1,"€ 930,000",
Lucas Gourna-Douath,"€ 6,154","€ 320,000",,"Jun 30, 2025",1,"€ 320,000",
Buba Sangaré,"€ 5,385","€ 280,000",,"Jun 30, 2027",3,"€ 840,000",
Niccolò Pisilli,"€ 3,269","€ 170,000",,"Jun 30, 2029",5,"€ 850,000",
Renato Marin,"€ 2,500","€ 130,000",,"Jun 30, 2025",1,"€ 130,000",
Enzo Le Fée,,,,"Jun 30, 2029",5,,
