Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
13,Guillermo Ochoa,Goalkeeper,"Jul 13, 1985 (39)","Mexico, Spain","1,85m",right,"Sep 2, 2024",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/guillermo-ochoa/profil/spieler/29559
93,Simão,Goalkeeper,"Jul 2, 1993 (31)",Brazil,"1,87m",right,"Aug 8, 2023",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/simao/profil/spieler/538253
88,Trigueira,Goalkeeper,"Jan 4, 1988 (37)",Portugal,"1,92m",right,"Jul 1, 2023",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/trigueira/profil/spieler/91949
6,Baptiste Roux,Centre-Back,"Nov 26, 1999 (25)",France,"1,90m",left,"Jul 18, 2024",,"Jun 30, 2026",€800k,https://www.transfermarkt.com/baptiste-roux/profil/spieler/796895
42,Cristian Devenish,Centre-Back,"Jan 25, 2001 (24)",Colombia,"1,92m",right,"Jul 19, 2024",,"Jun 30, 2026",€800k,https://www.transfermarkt.com/cristian-devenish/profil/spieler/726697
4,Nacho Rodríguez,Centre-Back,"Nov 10, 2003 (21)",Uruguay,"1,89m",right,"Jul 26, 2024",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/nacho-rodriguez/profil/spieler/959241
33,Aderllan Santos,Centre-Back,"Apr 9, 1989 (36)","Brazil, Portugal","1,93m",right,"Jan 23, 2025",,"Jun 30, 2026",€200k,https://www.transfermarkt.com/aderllan-santos/profil/spieler/159142
5,Jorge Teixeira,Centre-Back,"Aug 27, 1986 (38)",Portugal,"1,88m",right,"Jul 1, 2023",,"Jun 30, 2025",€50k,https://www.transfermarkt.com/jorge-teixeira/profil/spieler/59791
3,Rafa Rodrigues,Left-Back,"Jan 27, 2002 (23)",Portugal,"1,83m",left,"Jul 9, 2024",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/rafa-rodrigues/profil/spieler/549034
24,Kiki,Left-Back,"Dec 10, 1994 (30)",Portugal,"1,81m",left,"Jul 13, 2024",,"Jun 30, 2026",€600k,https://www.transfermarkt.com/kiki/profil/spieler/270055
27,Eric Veiga,Left-Back,"Feb 18, 1997 (28)","Luxembourg, Portugal","1,83m",left,"Jul 1, 2023",,"Jun 30, 2025",€200k,https://www.transfermarkt.com/eric-veiga/profil/spieler/251447
25,Tomás Tavares,Right-Back,"Mar 7, 2001 (24)","Portugal, Cape Verde","1,82m",right,"Jan 21, 2025",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/tomas-tavares/profil/spieler/550549
2,Fernando Fonseca,Right-Back,"Mar 14, 1997 (28)",Portugal,"1,83m",right,"Jul 8, 2023",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/fernando-fonseca/profil/spieler/344392
12,Gustavo Assunção,Defensive Midfield,"Mar 30, 2000 (25)","Brazil, Portugal","1,78m",right,"Sep 2, 2024",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/gustavo-assuncao/profil/spieler/461629
19,Tiago Galletto,Defensive Midfield,"May 11, 2002 (22)","Uruguay, Spain","1,83m",right,"Jan 22, 2025",,-,€650k,https://www.transfermarkt.com/tiago-galletto/profil/spieler/747810
15,Jaume Grau,Central Midfield,"May 5, 1997 (28)",Spain,"1,84m",left,"Aug 23, 2024",,"Jun 30, 2026",€700k,https://www.transfermarkt.com/jaume-grau/profil/spieler/340864
8,Giorgi Aburjania,Central Midfield,"Jan 2, 1995 (30)",Georgia,"1,86m",both,"Jul 23, 2024",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/giorgi-aburjania/profil/spieler/186848
23,Gustavo Mendonça,Central Midfield,"Mar 11, 2003 (22)",Portugal,"1,76m",right,"Aug 4, 2023",,"Jun 30, 2025",€300k,https://www.transfermarkt.com/gustavo-mendonca/profil/spieler/637788
7,Lucas Fernandes,Attacking Midfield,"Sep 20, 1997 (27)",Brazil,"1,75m",right,"Jan 23, 2025",,"Jun 30, 2025",€1.80m,https://www.transfermarkt.com/lucas-fernandes/profil/spieler/430761
