Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
91,Lukáš Horníček,Goalkeeper,"Jul 13, 2002 (22)",Czech Republic,"1,98m",right,"Jul 1, 2023",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/lukas-hornicek/profil/spieler/629773
12,Tiago Sá,Goalkeeper,"Jan 11, 1995 (30)",Portugal,"1,86m",right,"Jul 1, 2015",,"Jun 30, 2027",€500k,https://www.transfermarkt.com/tiago-sa/profil/spieler/286908
4,Sikou Niakaté,Centre-Back,"Jul 10, 1999 (25)","Mali, France","1,86m",left,"Jul 1, 2023",,"Jun 30, 2028",€6.00m,https://www.transfermarkt.com/sikou-niakate/profil/spieler/413118
26,Bright Arrey-Mbi,Centre-Back,"Mar 26, 2003 (22)","Germany, England","1,87m",left,"Jul 17, 2024",,"Jun 30, 2029",€6.00m,https://www.transfermarkt.com/bright-arrey-mbi/profil/spieler/580193
3,Robson Bambu,Centre-Back,"Nov 12, 1997 (27)",Brazil,"1,85m",right,"Jul 1, 2024",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/robson-bambu/profil/spieler/458715
15,Paulo Oliveira,Centre-Back,"Jan 8, 1992 (33)",Portugal,"1,87m",right,"Jul 1, 2021",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/paulo-oliveira/profil/spieler/139336
53,Jonatás Noro,Centre-Back,"Jul 9, 2005 (19)",Portugal,"1,87m",right,,,"Jun 30, 2027",€1.00m,https://www.transfermarkt.com/jonatas-noro/profil/spieler/1061378
50,Chissumba,Left-Back,"May 29, 2005 (19)","Portugal, Mozambique","1,80m",left,"Jan 15, 2025",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/chissumba/profil/spieler/898721
19,Adrián Marín,Left-Back,"Jan 9, 1997 (28)",Spain,"1,81m",left,"Jul 1, 2023",,"Jun 30, 2026",€2.00m,https://www.transfermarkt.com/adrian-marin/profil/spieler/295414
2,Víctor Gómez,Right-Back,"Apr 1, 2000 (25)",Spain,"1,69m",right,"Jul 1, 2023",,"Jun 30, 2028",€6.00m,https://www.transfermarkt.com/victor-gomez/profil/spieler/495601
13,João Ferreira,Right-Back,"Mar 22, 2001 (24)",Portugal,"1,85m",right,"Sep 2, 2024",,"Jun 30, 2025",€4.00m,https://www.transfermarkt.com/joao-ferreira/profil/spieler/481623
6,Vítor Carvalho,Defensive Midfield,"May 27, 1997 (27)",Brazil,"1,86m",right,"Jul 1, 2023",,"Jun 30, 2028",€6.00m,https://www.transfermarkt.com/vitor-carvalho/profil/spieler/553062
22,Thiago Helguera,Defensive Midfield,"Mar 26, 2006 (19)",Uruguay,"1,81m",right,"Jul 1, 2024",,"Jun 30, 2029",€3.50m,https://www.transfermarkt.com/thiago-helguera/profil/spieler/997827
10,Uroš Račić,Defensive Midfield,"Mar 17, 1998 (27)",Serbia,"1,93m",both,"Feb 1, 2025",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/uros-racic/profil/spieler/417575
16,Rodrigo Zalazar,Central Midfield,"Aug 12, 1999 (25)","Uruguay, Spain","1,78m",right,"Jul 14, 2023",,"Jun 30, 2028",€16.00m,https://www.transfermarkt.com/rodrigo-zalazar/profil/spieler/606752
29,Gorby,Central Midfield,"Jul 25, 2002 (22)","France, Haiti","1,83m",right,"Dec 1, 2021",,"Jun 30, 2028",€4.00m,https://www.transfermarkt.com/gorby/profil/spieler/631404
50,Diego Rodrigues,Central Midfield,"May 24, 2005 (19)","Portugal, Belgium","1,85m",right,"Jan 1, 2025",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/diego-rodrigues/profil/spieler/984540
8,João Moutinho,Central Midfield,"Sep 8, 1986 (38)",Portugal,"1,70m",right,"Aug 25, 2023",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/joao-moutinho/profil/spieler/29364
80,Vasconcelos,Attacking Midfield,"Feb 26, 2005 (20)",Portugal,"1,80m",left,,,"Jun 30, 2028",€2.00m,https://www.transfermarkt.com/vasconcelos/profil/spieler/898715
20,Ismaël Gharbi,Left Winger,"Apr 10, 2004 (21)","Spain, France","1,73m",right,"Aug 31, 2024",,"Jun 30, 2029",€7.50m,https://www.transfermarkt.com/ismael-gharbi/profil/spieler/810096
77,Gabri Martínez,Left Winger,"Jan 22, 2003 (22)",Spain,"1,85m",right,"Jul 1, 2024",,"Jun 30, 2029",€4.00m,https://www.transfermarkt.com/gabri-martinez/profil/spieler/906948
11,Roger,Right Winger,"Nov 21, 2005 (19)","Portugal, Guinea-Bissau","1,66m",left,"Jul 1, 2023",,"Jun 30, 2028",€20.00m,https://www.transfermarkt.com/roger/profil/spieler/906329
21,Ricardo Horta,Right Winger,"Sep 15, 1994 (30)",Portugal,"1,73m",right,"Jul 18, 2017",,"Jun 30, 2028",€12.00m,https://www.transfermarkt.com/ricardo-horta/profil/spieler/261927
39,Fran Navarro,Centre-Forward,"Feb 3, 1998 (27)",Spain,"1,79m",right,"Jan 1, 2025",,"Jun 30, 2025",€6.00m,https://www.transfermarkt.com/fran-navarro/profil/spieler/284883
9,Amine El Ouazzani,Centre-Forward,"Jul 15, 2001 (23)","Morocco, France","1,88m",left,"Jul 1, 2024",,"Jun 30, 2029",€3.50m,https://www.transfermarkt.com/amine-el-ouazzani/profil/spieler/735051
67,Afonso Patrão,Centre-Forward,"Feb 3, 2007 (18)",Portugal,"1,82m",right,"Jan 1, 2025",,"Jun 30, 2026",-,https://www.transfermarkt.com/afonso-patrao/profil/spieler/1006449
