Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
42,Andrew,Goalkeeper,"Jul 1, 2001 (23)",Brazil,"1,88m",right,"Jul 20, 2021",,"Jun 30, 2026",€4.00m,https://www.transfermarkt.com/andrew/profil/spieler/610417
51,Miloš Gordić,Goalkeeper,"Mar 5, 2000 (25)",Serbia,"1,93m",right,"Aug 6, 2024",,"Jun 30, 2027",€300k,https://www.transfermarkt.com/milos-gordic/profil/spieler/470788
99,Brian Araújo,Goalkeeper,"Apr 29, 2000 (25)","Portugal, France","1,89m",right,"Jul 1, 2019",,"Jun 30, 2025",€300k,https://www.transfermarkt.com/brian-araujo/profil/spieler/695141
4,Marvin Elimbi,Centre-Back,"Feb 20, 2003 (22)","France, Cameroon","1,86m",right,"Aug 29, 2024",,"Jun 30, 2028",€750k,https://www.transfermarkt.com/marvin-elimbi/profil/spieler/862628
39,Jonathan Buatu,Centre-Back,"Sep 27, 1993 (31)","Angola, Belgium","1,87m",right,"Jan 25, 2024",,"Jun 30, 2026",€600k,https://www.transfermarkt.com/jonathan-buatu/profil/spieler/137313
23,Josué Sá,Centre-Back,"Jun 17, 1992 (32)",Portugal,"1,87m",right,"Jul 16, 2024",,"Jun 30, 2027",€400k,https://www.transfermarkt.com/josue-sa/profil/spieler/139341
26,Rúben Fernandes,Centre-Back,"May 6, 1986 (38)",Portugal,"1,87m",right,"Jul 1, 2019",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/ruben-fernandes/profil/spieler/27178
14,Carlos Ventura,Centre-Back,"Feb 5, 2004 (21)",Brazil,"1,87m",right,,,"Jun 30, 2025",-,https://www.transfermarkt.com/carlos-ventura/profil/spieler/1083084
57,Sandro Cruz,Left-Back,"May 12, 2001 (23)","Angola, Portugal","1,82m",left,"Jul 11, 2024",,"Jun 30, 2027",€800k,https://www.transfermarkt.com/sandro-cruz/profil/spieler/481627
88,Kazu,Left-Back,"Mar 18, 2000 (25)",Brazil,"1,75m",left,"Jan 31, 2024",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/kazu/profil/spieler/428993
31,Karel Pérez,Left-Back,"Aug 25, 2005 (19)",Cuba,"1,88m",left,,,"Jun 30, 2025",-,https://www.transfermarkt.com/karel-perez/profil/spieler/1183411
2,Zé Carlos,Right-Back,"Jul 31, 1998 (26)",Portugal,"1,78m",right,"Jul 1, 2023",,"Jun 30, 2026",€800k,https://www.transfermarkt.com/ze-carlos/profil/spieler/617679
45,Jonathan Mutombo,Right-Back,"Aug 27, 2002 (22)","France, DR Congo","1,90m",right,"Jul 3, 2024",,"Jun 30, 2027",€250k,https://www.transfermarkt.com/jonathan-mutombo/profil/spieler/721952
6,Jesús Castillo,Defensive Midfield,"Jun 11, 2001 (23)",Peru,"1,85m",right,"Jul 19, 2023",,"Jun 30, 2027",€700k,https://www.transfermarkt.com/jesus-castillo/profil/spieler/658848
8,Mohamed Bamba,Defensive Midfield,"Oct 8, 2004 (20)",Cote d'Ivoire,"1,88m",left,"Feb 3, 2025",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/mohamed-bamba/profil/spieler/1178475
28,Diogo Pereira,Defensive Midfield,"May 4, 2003 (22)",Portugal,"1,89m",right,,,"Jun 30, 2025",-,https://www.transfermarkt.com/diogo-pereira/profil/spieler/1173054
5,Facundo Cáseres,Central Midfield,"May 28, 2001 (23)",Argentina,"1,78m",right,"Jul 23, 2024",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/facundo-caseres/profil/spieler/829434
18,João Teixeira,Central Midfield,"Feb 6, 1994 (31)",Portugal,"1,78m",right,"Sep 2, 2024",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/joao-teixeira/profil/spieler/182710
