Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
99,João Gonçalves,Goalkeeper,"Nov 5, 2000 (24)",Portugal,"1,88m",right,"Jul 1, 2021",,"Jun 30, 2027",€700k,https://www.transfermarkt.com/joao-goncalves/profil/spieler/685805
31,Tomáš Vaclík,Goalkeeper,"Mar 29, 1989 (36)",Czech Republic,"1,89m",right,"Feb 11, 2025",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/tomas-vaclik/profil/spieler/64000
1,César,Goalkeeper,"Jan 27, 1992 (33)","Brazil, Portugal","1,92m",right,"Sep 12, 2024",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/cesar/profil/spieler/177776
76,Tomé Sousa,Goalkeeper,"Dec 16, 2006 (18)",Portugal,"1,90m",,"Jul 1, 2024",,"Jun 30, 2028",€200k,https://www.transfermarkt.com/tome-sousa/profil/spieler/1013713
12,Luís Pires,Goalkeeper,"Nov 17, 2004 (20)",Brazil,"1,88m",right,"Jul 1, 2023",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/luis-pires/profil/spieler/1153785
26,Rodrigo Abascal,Centre-Back,"Jan 14, 1994 (31)","Uruguay, Spain","1,90m",left,"Aug 1, 2021",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/rodrigo-abascal/profil/spieler/367652
13,Sidoine Fogning,Centre-Back,"Nov 14, 2001 (23)",Cameroon,"1,95m",left,"Feb 11, 2025",,"Jun 30, 2028",€300k,https://www.transfermarkt.com/sidoine-fogning/profil/spieler/1234104
95,Vitaliy Lystsov,Centre-Back,"Jul 11, 1995 (29)","Russia, Portugal","1,95m",right,"Feb 12, 2025",,"Jun 30, 2025",€300k,https://www.transfermarkt.com/vitaliy-lystsov/profil/spieler/207519
19,Steven Vitória,Centre-Back,"Jan 11, 1987 (38)","Canada, Portugal","1,95m",right,"Feb 12, 2025",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/steven-vitoria/profil/spieler/54716
73,Alex Marques,Centre-Back,"Oct 23, 2005 (19)",Portugal,"1,86m",right,"Jul 1, 2024",,"Jun 30, 2026",€100k,https://www.transfermarkt.com/alex-marques/profil/spieler/1294048
3,Layvin Kurzawa,Left-Back,"Sep 4, 1992 (32)","France, Guadeloupe","1,82m",left,"Feb 11, 2025",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/layvin-kurzawa/profil/spieler/126710
25,Augusto Dabó,Left-Back,"Mar 13, 2004 (21)","Guinea-Bissau, Portugal","1,86m",left,"Jul 1, 2022",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/augusto-dabo/profil/spieler/1043471
20,Filipe Ferreira,Left-Back,"Sep 27, 1990 (34)",Portugal,"1,78m",left,"Jul 12, 2021",,"Jun 30, 2025",€200k,https://www.transfermarkt.com/filipe-ferreira/profil/spieler/182936
75,Tomás Silva,Left-Back,"May 25, 2006 (18)",Portugal,"1,75m",left,"Jul 1, 2024",,"Jun 30, 2026",€200k,https://www.transfermarkt.com/tomas-silva/profil/spieler/1294049
15,Pedro Gomes,Right-Back,"Jun 4, 2003 (21)",Portugal,"1,85m",right,"Jul 1, 2022",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/pedro-gomes/profil/spieler/1020649
27,Osman Kakay,Right-Back,"Aug 25, 1997 (27)","Sierra Leone, England","1,80m",right,"Feb 11, 2025",,"Jun 30, 2025",€450k,https://www.transfermarkt.com/osman-kakay/profil/spieler/419576
35,Gonçalo Miguel,Right-Back,"May 6, 2003 (21)",Portugal,"1,81m",right,"Jul 1, 2022",,"Jun 30, 2025",€250k,https://www.transfermarkt.com/goncalo-miguel/profil/spieler/1062741
24,Seba Pérez,Defensive Midfield,"Mar 29, 1993 (32)",Colombia,"1,75m",right,"Aug 31, 2021",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/seba-perez/profil/spieler/182108
2,Ibrahima,Defensive Midfield,"Jan 25, 1999 (26)",Guinea,"1,90m",right,"Aug 30, 2022",,"Jun 30, 2026",€500k,https://www.transfermarkt.com/ibrahima/profil/spieler/595012
10,Miguel Reisinho,Central Midfield,"Apr 9, 1999 (26)",Portugal,"1,84m",left,"Sep 2, 2019",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/miguel-reisinho/profil/spieler/478366
8,Marco van Ginkel,Central Midfield,"Dec 1, 1992 (32)",Netherlands,"1,86m",right,"Feb 11, 2025",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/marco-van-ginkel/profil/spieler/147034
16,Joel Silva,Central Midfield,"Feb 11, 2003 (22)",Portugal,"1,85m",left,"Jul 1, 2022",,"Jun 30, 2027",€600k,https://www.transfermarkt.com/joel-silva/profil/spieler/929573
18,Ilija Vukotić,Central Midfield,"Jan 7, 1999 (26)",Montenegro,"1,91m",left,"Jul 1, 2022",,"Jun 30, 2025",€600k,https://www.transfermarkt.com/ilija-vukotic/profil/spieler/344474
88,Marco Ribeiro,Central Midfield,"Jun 14, 2005 (19)",Portugal,"1,88m",right,"Jul 1, 2024",,"Jun 30, 2027",€200k,https://www.transfermarkt.com/marco-ribeiro/profil/spieler/1153833
11,Gboly Ariyibi,Left Winger,"Jan 18, 1995 (30)","England, Nigeria","1,83m",right,"Feb 12, 2025",,"Jun 30, 2025",€200k,https://www.transfermarkt.com/gboly-ariyibi/profil/spieler/226958
71,João Barros,Left Winger,"Jan 10, 2006 (19)",Portugal,"1,84m",right,"Jul 1, 2024",,"Jun 30, 2026",€150k,https://www.transfermarkt.com/joao-barros/profil/spieler/1294052
21,Abdoulay Diaby,Right Winger,"May 21, 1991 (33)","Mali, France","1,73m",left,"Feb 14, 2025",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/abdoulay-diaby/profil/spieler/148396
7,Salvador Agra,Right Winger,"Nov 11, 1991 (33)",Portugal,"1,66m",right,"Jul 1, 2022",,"Jun 30, 2025",€300k,https://www.transfermarkt.com/salvador-agra/profil/spieler/155395
