Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
40,Kewin,Goalkeeper,"Jan 25, 1995 (30)",Brazil,"1,89m",right,"Jul 1, 2021",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/kewin/profil/spieler/669219
22,Caio Secco,Goalkeeper,"Dec 22, 1990 (34)","Brazil, Italy","1,95m",right,"Jul 1, 2023",,"Jun 30, 2027",€200k,https://www.transfermarkt.com/caio-secco/profil/spieler/175188
16,Mika,Goalkeeper,"Mar 8, 1991 (34)","Portugal, Switzerland","1,95m",left,"Jan 1, 2024",,"Jun 30, 2026",€100k,https://www.transfermarkt.com/mika/profil/spieler/138285
3,Michel,Centre-Back,"May 20, 2003 (21)",Brazil,"1,88m",right,"Jan 31, 2025",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/michel/profil/spieler/887834
26,Maracás,Centre-Back,"Apr 27, 1994 (31)",Brazil,"1,84m",right,"Jul 1, 2023",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/maracas/profil/spieler/373187
66,Gilberto Batista,Centre-Back,"Dec 29, 2003 (21)","Guinea-Bissau, Portugal","1,87m",right,"Jul 1, 2023",,"Jun 30, 2027",€200k,https://www.transfermarkt.com/gilberto-batista/profil/spieler/816572
44,Marcelo,Centre-Back,"Jul 27, 1989 (35)","Brazil, Portugal","1,85m",right,"Jul 15, 2023",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/marcelo/profil/spieler/190185
15,Leonardo Buta,Left-Back,"Jun 5, 2002 (22)","Portugal, Angola","1,82m",left,"Sep 2, 2024",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/leonardo-buta/profil/spieler/653415
23,Godfried Frimpong,Left-Back,"Apr 21, 1999 (26)","Netherlands, Ghana","1,80m",left,"Jul 13, 2021",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/godfried-frimpong/profil/spieler/364244
76,Dinis Pinto,Right-Back,"Aug 24, 2000 (24)",Portugal,"1,78m",right,"Jul 1, 2023",,"Jun 30, 2026",€800k,https://www.transfermarkt.com/dinis-pinto/profil/spieler/663254
2,Dani Morer,Right-Back,"Feb 5, 1998 (27)","Spain, Colombia","1,70m",right,"Feb 3, 2025",,"Jun 30, 2025",€250k,https://www.transfermarkt.com/dani-morer/profil/spieler/282726
6,Ismael,Defensive Midfield,"Mar 25, 1999 (26)",Portugal,"1,84m",right,"Jul 17, 2019",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/ismael/profil/spieler/468332
28,Guilherme Liberato,Defensive Midfield,"Jun 16, 2001 (23)",Brazil,"1,84m",right,"Jul 1, 2024",,"Jun 30, 2028",€300k,https://www.transfermarkt.com/guilherme-liberato/profil/spieler/739442
25,Afonso Assis,Defensive Midfield,"Jul 15, 2006 (18)",Portugal,-,left,,,"Jun 30, 2025",-,https://www.transfermarkt.com/afonso-assis/profil/spieler/1365020
