Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Anatoliy Trubin,Goalkeeper,"Aug 1, 2001 (23)",Ukraine,"1,99m",right,"Aug 10, 2023",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/anatoliy-trubin/profil/spieler/537844
24,Samuel Soares,Goalkeeper,"Jun 15, 2002 (22)","Portugal, Guinea-Bissau","1,90m",right,"Jan 1, 2023",,"Jun 30, 2027",€4.00m,https://www.transfermarkt.com/samuel-soares/profil/spieler/504072
4,António Silva,Centre-Back,"Oct 30, 2003 (21)",Portugal,"1,87m",right,"Jul 1, 2022",,"Jun 30, 2027",€32.00m,https://www.transfermarkt.com/antonio-silva/profil/spieler/650568
44,Tomás Araújo,Centre-Back,"May 16, 2002 (22)",Portugal,"1,87m",right,"Jul 1, 2022",,"Jun 30, 2029",€32.00m,https://www.transfermarkt.com/tomas-araujo/profil/spieler/504087
81,Adrian Bajrami,Centre-Back,"Apr 5, 2002 (23)","Albania, Switzerland","1,88m",left,"Jan 1, 2025",,"Jun 30, 2029",€1.50m,https://www.transfermarkt.com/adrian-bajrami/profil/spieler/582987
30,Nicolás Otamendi,Centre-Back,"Feb 12, 1988 (37)",Argentina,"1,83m",right,"Sep 29, 2020",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/nicolas-otamendi/profil/spieler/54781
3,Álvaro Carreras,Left-Back,"Mar 23, 2003 (22)",Spain,"1,86m",left,"Jul 1, 2024",,"Jun 30, 2029",€28.00m,https://www.transfermarkt.com/alvaro-carreras/profil/spieler/811778
26,Samuel Dahl,Left-Back,"Mar 4, 2003 (22)",Sweden,"1,74m",left,"Feb 3, 2025",,"Jun 30, 2025",€7.00m,https://www.transfermarkt.com/samuel-dahl/profil/spieler/605396
6,Alexander Bah,Right-Back,"Dec 9, 1997 (27)","Denmark, The Gambia","1,83m",right,"Jul 1, 2022",,"Jun 30, 2029",€12.00m,https://www.transfermarkt.com/alexander-bah/profil/spieler/452607
71,Leandro Santos,Right-Back,"Sep 28, 2005 (19)",Portugal,"1,81m",right,"Jan 1, 2025",,-,€1.00m,https://www.transfermarkt.com/leandro-santos/profil/spieler/1173926
61,Florentino,Defensive Midfield,"Aug 19, 1999 (25)","Portugal, Angola","1,84m",right,"Jan 1, 2019",,"Jun 30, 2027",€22.00m,https://www.transfermarkt.com/florentino/profil/spieler/357162
16,Manu Silva,Defensive Midfield,"Jun 12, 2001 (23)",Portugal,"1,90m",right,"Jan 20, 2025",,"Jun 30, 2030",€10.00m,https://www.transfermarkt.com/manu-silva/profil/spieler/699592
10,Orkun Kökçü,Central Midfield,"Dec 29, 2000 (24)","Türkiye, Netherlands","1,75m",both,"Jul 1, 2023",,"Jun 30, 2028",€28.00m,https://www.transfermarkt.com/orkun-kokcu/profil/spieler/454567
8,Fredrik Aursnes,Central Midfield,"Dec 10, 1995 (29)",Norway,"1,81m",right,"Aug 24, 2022",,"Jun 30, 2029",€20.00m,https://www.transfermarkt.com/fredrik-aursnes/profil/spieler/223367
18,Leandro Barreiro,Central Midfield,"Jan 3, 2000 (25)","Luxembourg, Portugal","1,74m",right,"Jul 2, 2024",,"Jun 30, 2029",€15.00m,https://www.transfermarkt.com/leandro-barreiro/profil/spieler/357233
85,Renato Sanches,Central Midfield,"Aug 18, 1997 (27)","Portugal, Sao Tome and Principe","1,76m",right,"Aug 5, 2024",,"Jun 30, 2025",€4.00m,https://www.transfermarkt.com/renato-sanches/profil/spieler/258027
84,João Rego,Attacking Midfield,"Jun 20, 2005 (19)",Portugal,"1,82m",right,"Jan 1, 2025",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/joao-rego/profil/spieler/931415
17,Kerem Aktürkoğlu,Left Winger,"Oct 21, 1998 (26)",Türkiye,"1,73m",right,"Sep 3, 2024",,"Jun 30, 2029",€22.00m,https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/382528
21,Andreas Schjelderup,Left Winger,"Jun 1, 2004 (20)",Norway,"1,76m",right,"Jan 12, 2023",,"Jun 30, 2028",€15.00m,https://www.transfermarkt.com/andreas-schjelderup/profil/spieler/670103
27,Bruma,Left Winger,"Oct 24, 1994 (30)","Portugal, Guinea-Bissau","1,73m",right,"Feb 3, 2025",,"Jun 30, 2028",€8.00m,https://www.transfermarkt.com/bruma/profil/spieler/139396
25,Gianluca Prestianni,Right Winger,"Jan 31, 2006 (19)","Argentina, Italy","1,66m",right,"Jan 31, 2024",,"Jun 30, 2029",€8.00m,https://www.transfermarkt.com/gianluca-prestianni/profil/spieler/1000674
47,Tiago Gouveia,Right Winger,"Jun 18, 2001 (23)",Portugal,"1,76m",right,"Apr 1, 2022",,"Jun 30, 2028",€4.00m,https://www.transfermarkt.com/tiago-gouveia/profil/spieler/479638
11,Ángel Di María,Right Winger,"Feb 14, 1988 (37)","Argentina, Italy","1,78m",left,"Jul 5, 2023",,"Jun 30, 2025",€3.00m,https://www.transfermarkt.com/angel-di-maria/profil/spieler/45320
14,Vangelis Pavlidis,Centre-Forward,"Nov 21, 1998 (26)",Greece,"1,86m",both,"Jul 1, 2024",,"Jun 30, 2029",€28.00m,https://www.transfermarkt.com/vangelis-pavlidis/profil/spieler/324503
7,Zeki Amdouni,Centre-Forward,"Dec 4, 2000 (24)","Switzerland, Türkiye","1,85m",both,"Aug 29, 2024",,"Jun 30, 2025",€15.00m,https://www.transfermarkt.com/zeki-amdouni/profil/spieler/548729
9,Arthur Cabral,Centre-Forward,"Apr 25, 1998 (27)",Brazil,"1,86m",right,"Aug 10, 2023",,"Jun 30, 2028",€12.00m,https://www.transfermarkt.com/arthur-cabral/profil/spieler/390638
19,Andrea Belotti,Centre-Forward,"Dec 20, 1993 (31)",Italy,"1,81m",right,"Feb 3, 2025",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/andrea-belotti/profil/spieler/167727
