nombre,link,plantilla,edad_promedio,extranjeros,valor_mercado,valor_total
Sporting de Lisboa,/sporting-lissabon/kader/verein/336/saison_id/2024/plus/1,,26,"24,5","18,75 mill. €","487,50 mill. €"
SL Benfica,/benfica-lissabon/kader/verein/294/saison_id/2024/plus/1,,27,"25,4","13,43 mill. €","362,50 mill. €"
FC Oporto,/fc-porto/kader/verein/720/saison_id/2024/plus/1,,26,"25,3","12,03 mill. €","312,70 mill. €"
SC Braga,/sc-braga/kader/verein/1075/saison_id/2024/plus/1,,26,"24,8","4,81 mill. €","125,10 mill. €"
Vitória Guimarães SC,/vitoria-guimaraes-sc/kader/verein/2420/saison_id/2024/plus/1,,26,"26,3","1,93 mill. €","50,23 mill. €"
FC Famalicão,/fc-famalicao/kader/verein/3329/saison_id/2024/plus/1,,27,"23,9","1,83 mill. €","49,45 mill. €"
Rio Ave FC,/rio-ave-fc/kader/verein/2425/saison_id/2024/plus/1,,27,"24,1","1,49 mill. €","40,15 mill. €"
Estoril Praia,/gd-estoril-praia/kader/verein/1465/saison_id/2024/plus/1,,22,"25,5","1,51 mill. €","33,25 mill. €"
Gil Vicente FC,/gil-vicente-fc/kader/verein/2424/saison_id/2024/plus/1,,29,"25,2",930 mil €,"26,98 mill. €"
CD Santa Clara,/cd-santa-clara/kader/verein/2423/saison_id/2024/plus/1,,24,"26,0","1,12 mill. €","26,90 mill. €"
FC Arouca,/fc-arouca/kader/verein/8024/saison_id/2024/plus/1,,26,"26,1","1,03 mill. €","26,70 mill. €"
Moreirense FC,/moreirense-fc/kader/verein/979/saison_id/2024/plus/1,,27,"26,1",924 mil €,"24,95 mill. €"
SC Farense,/sc-farense/kader/verein/4294/saison_id/2024/plus/1,,26,"27,9",823 mil €,"21,40 mill. €"
Avs Futebol,/avs-futebol-sad/kader/verein/110302/saison_id/2024/plus/1,,28,"28,5",720 mil €,"20,15 mill. €"
Casa Pia AC,/casa-pia-ac/kader/verein/3268/saison_id/2024/plus/1,,28,"26,4",716 mil €,"20,05 mill. €"
Boavista FC,/boavista-porto-fc/kader/verein/2503/saison_id/2024/plus/1,,34,"26,5",519 mil €,"17,65 mill. €"
CD Nacional,/cd-nacional/kader/verein/982/saison_id/2024/plus/1,,29,"26,8",578 mil €,"16,78 mill. €"
CF Estrela Amadora,/cf-estrela-amadora-sad/kader/verein/2431/saison_id/2024/plus/1,,27,"26,4",561 mil €,"15,15 mill. €"
