Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Marc-André ter Stegen,Goalkeeper,"Apr 30, 1992 (33)",Germany,"1,87m",right,"Jul 1, 2014",,"Jun 30, 2028",€15.00m,https://www.transfermarkt.com/marc-andre-ter-stegen/profil/spieler/74857
13,Iñaki Peña,Goalkeeper,"Mar 2, 1999 (26)",Spain,"1,84m",right,"Jan 30, 2022",,"Jun 30, 2026",€10.00m,https://www.transfermarkt.com/inaki-pena/profil/spieler/283170
25,Wojciech Szczesny,Goalkeeper,"Apr 18, 1990 (35)",Poland,"1,95m",right,"Oct 2, 2024",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058
2,Pau Cubarsí,Centre-Back,"Jan 22, 2007 (18)",Spain,"1,84m",right,"Jan 1, 2024",,"Jun 30, 2029",€70.00m,https://www.transfermarkt.com/pau-cubarsi/profil/spieler/962110
4,Ronald Araujo,Centre-Back,"Mar 7, 1999 (26)","Uruguay, Spain","1,92m",right,"Oct 5, 2020",,"Jun 30, 2031",€50.00m,https://www.transfermarkt.com/ronald-araujo/profil/spieler/480267
15,Andreas Christensen,Centre-Back,"Apr 10, 1996 (29)",Denmark,"1,87m",right,"Jul 4, 2022",,"Jun 30, 2026",€15.00m,https://www.transfermarkt.com/andreas-christensen/profil/spieler/196948
24,Eric García,Centre-Back,"Jan 9, 2001 (24)",Spain,"1,82m",right,"Jul 1, 2021",,"Jun 30, 2026",€15.00m,https://www.transfermarkt.com/eric-garcia/profil/spieler/466794
5,Iñigo Martínez,Centre-Back,"May 17, 1991 (33)",Spain,"1,82m",left,"Jul 5, 2023",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863
3,Alejandro Balde,Left-Back,"Oct 18, 2003 (21)","Spain, Dominican Republic","1,75m",left,"Jul 1, 2022",,"Jun 30, 2028",€60.00m,https://www.transfermarkt.com/alejandro-balde/profil/spieler/636688
35,Gerard Martín,Left-Back,"Feb 26, 2002 (23)",Spain,"1,86m",left,"Jul 1, 2024",,"Jun 30, 2028",€7.50m,https://www.transfermarkt.com/gerard-martin/profil/spieler/705395
23,Jules Koundé,Right-Back,"Nov 12, 1998 (26)","France, Benin","1,80m",right,"Jul 28, 2022",,"Jun 30, 2027",€60.00m,https://www.transfermarkt.com/jules-kounde/profil/spieler/411975
32,Héctor Fort,Right-Back,"Aug 2, 2006 (18)",Spain,"1,85m",right,"Jul 1, 2024",,"Jun 30, 2026",€10.00m,https://www.transfermarkt.com/hector-fort/profil/spieler/937955
17,Marc Casadó,Defensive Midfield,"Sep 14, 2003 (21)",Spain,"1,72m",right,"Jul 1, 2024",,"Jun 30, 2028",€30.00m,https://www.transfermarkt.com/marc-casado/profil/spieler/636695
28,Marc Bernal,Defensive Midfield,"May 26, 2007 (17)",Spain,"1,91m",left,"Jul 1, 2024",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/marc-bernal/profil/spieler/1018920
8,Pedri,Central Midfield,"Nov 25, 2002 (22)",Spain,"1,74m",right,"Sep 2, 2019",,"Jun 30, 2030",€120.00m,https://www.transfermarkt.com/pedri/profil/spieler/683840
6,Gavi,Central Midfield,"Aug 5, 2004 (20)",Spain,"1,73m",right,"Jul 1, 2021",,"Jun 30, 2030",€70.00m,https://www.transfermarkt.com/gavi/profil/spieler/646740
21,Frenkie de Jong,Central Midfield,"May 12, 1997 (27)",Netherlands,"1,81m",right,"Jul 1, 2019",,"Jun 30, 2026",€45.00m,https://www.transfermarkt.com/frenkie-de-jong/profil/spieler/326330
20,Dani Olmo,Attacking Midfield,"May 7, 1998 (26)",Spain,"1,79m",right,"Aug 9, 2024",,"Jun 30, 2030",€60.00m,https://www.transfermarkt.com/dani-olmo/profil/spieler/293385
16,Fermín López,Attacking Midfield,"May 11, 2003 (21)",Spain,"1,74m",right,"Jul 1, 2023",,"Jun 30, 2029",€50.00m,https://www.transfermarkt.com/fermin-lopez/profil/spieler/636703
14,Pablo Torre,Attacking Midfield,"Apr 3, 2003 (22)",Spain,"1,73m",right,"Jul 1, 2022",,"Jun 30, 2026",€7.50m,https://www.transfermarkt.com/pablo-torre/profil/spieler/720038
11,Raphinha,Left Winger,"Dec 14, 1996 (28)","Brazil, Italy","1,76m",left,"Jul 13, 2022",,"Jun 30, 2027",€80.00m,https://www.transfermarkt.com/raphinha/profil/spieler/411295
10,Ansu Fati,Left Winger,"Oct 31, 2002 (22)","Spain, Guinea-Bissau","1,78m",right,"Sep 23, 2020",,"Jun 30, 2027",€5.00m,https://www.transfermarkt.com/ansu-fati/profil/spieler/466810
19,Lamine Yamal,Right Winger,"Jul 13, 2007 (17)","Spain, Equatorial Guinea","1,80m",left,"Jul 1, 2023",,"Jun 30, 2026",€180.00m,https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958
7,Ferran Torres,Right Winger,"Feb 29, 2000 (25)",Spain,"1,84m",right,"Jan 1, 2022",,"Jun 30, 2027",€28.00m,https://www.transfermarkt.com/ferran-torres/profil/spieler/398184
9,Robert Lewandowski,Centre-Forward,"Aug 21, 1988 (36)",Poland,"1,85m",right,"Jul 19, 2022",,"Jun 30, 2026",€15.00m,https://www.transfermarkt.com/robert-lewandowski/profil/spieler/38253
18,Pau Víctor,Centre-Forward,"Nov 26, 2001 (23)",Spain,"1,84m",right,"Jul 24, 2024",,"Jun 30, 2029",€5.00m,https://www.transfermarkt.com/pau-victor/profil/spieler/707572
