Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Emil Forsberg,"€ 91,747","€ 4,770,859",,"Dec 31, 2026",2,"€ 9,541,718",
Lewis Morgan,"€ 21,218","€ 1,103,344",,"Dec 31, 2026",2,"€ 2,206,688",
Felipe Carballo,"€ 17,314","€ 900,329",,"Jun 30, 2025",1,"€ 900,329",
Carlos Coronel,"€ 8,487","€ 441,338",,"Dec 31, 2025",1,"€ 441,338",
Kyle Duncan,"€ 8,487","€ 441,338",,"Dec 31, 2025",1,"€ 441,338",
Sean Nealis,"€ 7,639","€ 397,204",,"Dec 31, 2025",1,"€ 397,204",
Noah Eile,"€ 7,129","€ 370,724",,"Dec 31, 2027",3,"€ 1,112,171",
Daniel Edelman,"€ 6,535","€ 339,830",,"Dec 31, 2027",3,"€ 1,019,490",
Dennis Gjengaar,"€ 5,771","€ 300,110",,"Dec 31, 2027",3,"€ 900,329",
Cameron Harper,"€ 5,092","€ 264,803",,"Dec 31, 2027",3,"€ 794,408",
Dylan Nealis,"€ 4,201","€ 218,462",,"Dec 31, 2027",3,"€ 655,386",
Wikelman Carmona,"€ 2,801","€ 145,641",,"Dec 31, 2027",3,"€ 436,924",
Ronald Donkor,"€ 2,207","€ 114,748",,"Dec 31, 2026",2,"€ 229,496",
Mohammed Sofo,"€ 2,037","€ 105,921",,"Dec 31, 2026",2,"€ 211,842",
AJ Marcucci,"€ 1,867","€ 97,094",,"Dec 31, 2025",1,"€ 97,094",
Julian Hall,"€ 1,697","€ 88,268",,"Dec 31, 2026",2,"€ 176,535",
Peter Stroud,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Curtis Ofori,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Serge Ngoma,"€ 1,523","€ 79,190",,"Dec 31, 2027",3,"€ 237,570",
Aidan Stokes,"€ 1,212","€ 63,024",,"Dec 31, 2027",3,"€ 189,072",
Davi Alexandre,"€ 1,212","€ 63,024",,"Dec 31, 2026",2,"€ 126,048",
Roald Mitchell,"€ 1,212","€ 63,024",,"Dec 31, 2026",2,"€ 126,048",
Wiktor Bogacz,,,,"Dec 31, 2028",4,,
Aiden Jarvis,,,,"Dec 31, 2028",4,,
Alexander Hack,,,,"Dec 31, 2026",2,,
Eric-Maxim Choupo-Moting,,,,"Dec 31, 2026",2,,
Marcelo Morales,,,,"Dec 31, 2027",3,,
Omar Valencia,,,,"Dec 31, 2027",3,,
Raheem Edwards,,,,"Dec 31, 2026",2,,
Tanner Rosborough,,,,"Dec 31, 2028",4,,
Tim Parker,,,,"Dec 31, 2025",1,,
Adri Mehmeti,,,,"Dec 31, 2028",4,,
