Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Trincão,"€ 75,000","€ 3,900,000",,"Jun 30, 2026",2,"€ 7,800,000","€ 80,000,000"
Viktor Gyökeres,"€ 46,154","€ 2,400,000","€ 1,440,000","Jun 30, 2028",4,"€ 9,600,000","€ 100,000,000"
Pedro Gonçalves,"€ 46,154","€ 2,400,000",,"Jun 30, 2027",3,"€ 7,200,000","€ 80,000,000"
Morten Hjulmand,"€ 38,462","€ 2,000,000",,"Jun 30, 2028",4,"€ 8,000,000","€ 80,000,000"
Jeremiah St. Juste,"€ 36,923","€ 1,920,000",,"Jun 30, 2026",2,"€ 3,840,000",
Gonçalo Inácio,"€ 33,269","€ 1,730,000",,"Jun 30, 2027",3,"€ 5,190,000","€ 60,000,000"
Ousmane Diomande,"€ 29,615","€ 1,540,000",,"Jun 30, 2027",3,"€ 4,620,000","€ 80,000,000"
Matheus Reis,"€ 22,115","€ 1,150,000",,"Jun 30, 2026",2,"€ 2,300,000",
Biel,"€ 22,115","€ 1,150,000",,"Jun 30, 2029",5,"€ 5,750,000",
Iván Fresneda,"€ 22,115","€ 1,150,000",,"Jun 30, 2028",4,"€ 4,600,000",
Zeno Debast,"€ 19,231","€ 1,000,000",,"Jun 30, 2029",5,"€ 5,000,000",
Nuno Santos,"€ 19,231","€ 1,000,000",,"Jun 30, 2027",3,"€ 3,000,000","€ 60,000,000"
Hidemasa Morita,"€ 18,462","€ 960,000",,"Jun 30, 2026",2,"€ 1,920,000","€ 45,000,000"
Maximiliano Araújo,"€ 18,462","€ 960,000",,"Jun 30, 2029",5,"€ 4,800,000",
Daniel Bragança,"€ 18,462","€ 960,000",,"Jun 30, 2027",3,"€ 2,880,000",
Rui Silva,"€ 17,308","€ 900,000",,"Jun 30, 2025",1,"€ 900,000",
Ricardo Esgaio,"€ 17,308","€ 900,000",,"Jun 30, 2026",2,"€ 1,800,000",
Franco Israel,"€ 16,538","€ 860,000",,"Jun 30, 2027",3,"€ 2,580,000",
Conrad Harder,"€ 14,808","€ 770,000",,"Jun 30, 2029",5,"€ 3,850,000",
Geny Catamo,"€ 14,808","€ 770,000",,"Jun 30, 2028",4,"€ 3,080,000","€ 60,000,000"
Geovany Quenda,"€ 9,231","€ 480,000",,"Jun 30, 2027",3,"€ 1,440,000","€ 100,000,000"
João Simões,"€ 9,231","€ 480,000",,"Jun 30, 2025",1,"€ 480,000",
Diego Callai,"€ 6,731","€ 350,000",,"Jun 30, 2025",1,"€ 350,000",
Diogo Pinto,"€ 4,808","€ 250,000",,"Jun 30, 2026",2,"€ 500,000",
Alexandre Brito,"€ 4,808","€ 250,000",,"Jun 30, 2025",1,"€ 250,000",
Eduardo Quaresma,"€ 4,808","€ 250,000",,"Jun 30, 2028",4,"€ 1,000,000",
Koba Koindredi,,,,"Jun 30, 2028",4,,
