Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Héliton,brBRA,DF,29-168,30,30,"2,655",29.5,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Partidos,40.0,10.0,25.0,1.36,0.34,0.03,0.1,,,,,,,,,,,,,,,,,,89,92.2,89,29,0,,0,1.43,51,38,+13,+0.44,+0.44,0.0,47.0,5.0,4.0,0.0,34.0,18.0,,,/es/jugadores/a64b3679/Heliton
Mateusz Lis,plPOL,PO,28-062,29,29,"2,610",29.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,38.0,1.27,109.0,74.0,67.9,12.0,8.0,10.0,7.0,23.3,3.0,3.0,3.0,3.0,0.0,0.0,90,93.8,90,30,0,,0,1.47,51,38,+13,+0.43,+0.43,0.0,0.0,7.0,0.0,0.0,0.0,0.0,,,/es/jugadores/fd78b105/Mateusz-Lis
Anthony Dennis,ngNGA,CC,20-313,27,27,"2,272",25.2,0,2,2,0,0,0,9,1,0.00,0.08,0.08,0.00,0.08,Partidos,26.0,0.0,0.0,0.99,0.0,0.0,,,,,,,,,,,,,,,,,,,84,82.0,84,14,0,,0,1.54,44,32,+12,+0.46,+0.28,0.0,68.0,18.0,0.0,15.0,41.0,40.0,,,/es/jugadores/de119e75/Anthony-Dennis
Malcom Bokélé,cmCMR,DF,25-077,27,24,"2,221",24.7,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Partidos,13.0,5.0,38.5,0.53,0.2,0.08,0.2,,,,,,,,,,,,,,,,,,82,77.1,89,22,3,32,0,1.33,42,31,+11,+0.45,+0.17,0.0,26.0,20.0,1.0,5.0,39.0,10.0,,,/es/jugadores/51af19f7/Malcom-Bokele
Rômulo,brBRA,DL,23-081,25,24,"2,133",23.7,11,9,20,7,4,5,4,0,0.46,0.38,0.84,0.30,0.68,Partidos,82.0,35.0,42.7,3.32,1.42,0.09,0.2,,,,,,,,,,,,,,,,,,86,77.2,88,19,1,34,1,1.50,43,32,+11,+0.45,+0.17,0.0,26.0,19.0,20.0,20.0,5.0,12.0,,,/es/jugadores/03dd053e/Romulo
Silva Djalma Antonio,brBRA,"CC,DF",30-223,23,22,"1,846",20.5,1,2,3,1,0,0,3,0,0.05,0.10,0.15,0.05,0.15,Partidos,26.0,4.0,15.4,1.27,0.2,0.04,0.25,,,,,,,,,,,,,,,,,,80,64.1,82,9,1,45,0,1.43,30,20,+10,+0.49,+0.23,0.0,20.0,15.0,0.0,82.0,18.0,26.0,,,/es/jugadores/7282f5bf/Silva-Djalma-Antonio
Juan Santos,brBRA,DL,23-055,26,21,"1,648",18.3,7,3,10,7,0,1,1,0,0.38,0.16,0.55,0.38,0.55,Partidos,42.0,13.0,31.0,2.29,0.71,0.17,0.54,,,,,,,,,,,,,,,,,,63,57.2,72,3,5,29,0,1.31,32,25,+7,+0.38,-0.06,0.0,31.0,21.0,26.0,11.0,7.0,18.0,,,/es/jugadores/ad89aa96/Juan-Santos
David Tijanić,siSVN,CC,27-288,29,18,"1,609",17.9,5,7,12,5,0,0,1,0,0.28,0.39,0.67,0.28,0.67,Partidos,46.0,19.0,41.3,2.47,1.02,0.11,0.26,,,,,,,,,,,,,,,,,,56,58.2,72,1,11,28,1,1.50,35,20,+15,+0.81,+0.95,0.0,23.0,25.0,7.0,116.0,7.0,11.0,,,/es/jugadores/6acda5fe/David-Tijanic
Koray Günter,deGER,DF,30-257,20,17,"1,400",15.6,1,0,1,1,0,0,4,1,0.06,0.00,0.06,0.06,0.06,Partidos,13.0,4.0,30.8,0.79,0.24,0.08,0.25,,,,,,,,,,,,,,,,,,71,51.7,81,13,3,9,6,1.43,28,18,+10,+0.60,+0.41,1.0,21.0,12.0,0.0,1.0,33.0,10.0,,,/es/jugadores/f1f1f238/Koray-Gunter
Ogün Bayrak,,CC,26-202,19,16,"1,305",14.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Partidos,10.0,1.0,10.0,0.69,0.07,0.0,0.0,,,,,,,,,,,,,,,,,,65,45.3,77,5,4,20,11,1.70,23,16,+7,+0.48,+0.14,1.0,21.0,11.0,0.0,47.0,18.0,27.0,,,/es/jugadores/0626e591/Ogun-Bayrak
