Equipo,PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls./90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,TklG,3.º_def,3.º_cent,3.º_ataq,Tkl_regateadores,Desafíos_totales,Tkl_%,Desafíos_perdidos,Bloqueos_totales,Dis_bloqueados,Pases_bloqueados,Intercepciones,Tkl+Int,Despeje,Errores,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (Cortos),Int. (Cortos),% Cmp (Cortos),Cmp (Medios),Int. (Medios),% Cmp (Medios),Cmp (Largos),Int. (Largos),% Cmp (Largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,Bloqueos,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Pos,Toques,Def_pen,3º_def,3º_cent,3º_ataq,Ataq_pen,Balón_vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist_tot,Dist_prg,TAP,Errores_control,Des,Rec,PrgR,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,TL,TE,GC (Propio),PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,Int. (Meta),%deLanzamientos (Meta),Long. prom. (Meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2a amarilla,Fls,Int,Penal ejecutado,Penal concedido,Recup.,Ganados,Perdidos,% de ganados,link
Arouca,28,26.2,52.0,31,341,"2,790",31.0,29,13,42,23,6,9,83,4,37.1,29.9,22.2,52.1,375,1079,0.94,0.42,1.35,0.74,1.16,1.2,0.72,1.91,0.97,1.68,628,20.26,459,45,31,45,39,9,50,1.61,34,1,2,5,8,0,506,320,252,185,69,258,513,50.3,255,346,116,230,267,773,790,21,11488,14533,79.0,208153,77278,4830,5462,88.4,5254,6100,86.1,1178,2240,52.6,20.5,-9.2,235,772,199,61,12811,1665,447,74,568,702,172,102,46,2,57,287,105,29.7,11.39,3.39,0.07,0.22,19.8,0.09,-8.1,-6.9,52.0,18048,2092,6546,7946,3686,486,18039,423,188,44.4,202,47.8,9656,44399,22451,88,517,264,11415,1070,47,1.52,129,84,70.5,8,9,14,7,22.6,9,1,9,2,42.8,0.28,-2.2,-0.07,739,130,27.6,29.0,266,33.8,31.2,469,25,5.3,45,1.45,15.1,90,100,82,191,148,18,129,1.06,30,47,-17,-0.55,37.1,43.3,-6.2,-0.2,2,452,267,9,9,1279,376,393,48.9,/es/equipos/0d36ddd4/Estadisticas-de-Arouca
AVS Futebol,33,28.1,43.7,31,341,"2,790",31.0,23,15,38,19,4,5,92,4,28.6,24.7,19.2,43.9,358,797,0.74,0.48,1.23,0.61,1.1,0.92,0.62,1.54,0.8,1.42,519,16.74,367,48,26,37,28,13,40,1.29,25,4,1,5,5,0,523,342,272,198,53,283,519,54.5,236,363,99,264,276,799,846,23,9563,12556,76.2,177213,70145,3972,4598,86.4,4262,5103,83.5,1111,2178,51.0,19.4,-4.2,206,662,121,53,10917,1597,427,63,462,700,104,71,25,3,42,292,77,25.6,9.71,2.48,0.06,0.25,19.9,0.08,-5.6,-5.7,43.7,16169,2033,6146,7070,3131,423,16164,491,209,42.6,257,52.3,7804,38264,17852,77,507,225,9478,786,55,1.77,159,104,67.3,4,12,15,7,22.6,3,1,7,1,57.0,0.35,3.0,0.1,718,124,39.1,35.9,281,47.0,39.3,492,15,3.0,24,0.77,14.3,90,100,80,189,150,22,123,0.77,23,55,-32,-1.03,28.6,51.7,-23.0,-0.74,3,424,276,5,4,1263,498,415,54.5,/es/equipos/e5ce5a65/Estadisticas-de-AVS-Futebol
Benfica,35,26.6,58.1,31,341,"2,790",31.0,77,54,131,66,11,12,56,0,73.2,64.2,50.6,114.8,604,1714,2.48,1.74,4.23,2.13,3.87,2.36,1.63,4.0,2.07,3.7,927,29.9,665,84,47,57,54,20,132,4.26,94,8,7,14,9,0,560,345,216,244,100,296,525,56.4,229,281,54,227,281,841,436,22,14144,17176,82.3,255460,88251,6145,6897,89.1,6176,7001,88.2,1512,2402,62.9,48.2,3.4,397,1333,385,73,15593,1504,352,160,659,676,224,128,50,1,79,313,207,39.7,16.84,6.68,0.13,0.32,17.5,0.13,3.8,1.8,58.1,20612,1453,5165,9454,6166,947,20600,643,278,43.2,348,54.1,12271,62275,31740,149,477,248,14039,1702,25,0.81,93,67,74.2,24,3,4,15,48.4,1,1,2,0,29.4,0.3,4.4,0.14,608,131,18.9,24.1,196,32.7,33.0,269,20,7.4,18,0.58,11.9,90,100,82,193,149,18,131,2.42,80,25,55,1.77,73.2,25.9,47.3,1.53,0,355,281,8,2,1493,425,343,55.3,/es/equipos/a77c513e/Estadisticas-de-Benfica
Boavista,32,28.1,39.8,31,341,"2,790",31.0,19,5,24,13,6,6,84,9,27.8,23.4,15.0,38.4,244,785,0.61,0.16,0.77,0.42,0.58,0.9,0.48,1.38,0.76,1.24,516,16.65,348,67,15,36,38,12,27,0.87,10,3,3,6,5,0,531,311,263,207,61,279,554,50.4,275,315,103,212,292,823,777,26,7842,11038,71.0,146864,62000,3332,3989,83.5,3257,4075,79.9,1030,2318,44.4,15.2,-10.0,202,620,149,59,9339,1625,483,83,513,643,113,81,22,0,74,205,92,30.4,9.77,2.97,0.04,0.14,19.0,0.08,-8.8,-10.4,39.8,14474,1688,4932,6626,3051,441,14468,361,154,42.7,183,50.7,6793,31334,14717,44,465,204,7786,779,52,1.68,154,105,70.1,5,6,20,7,22.6,6,0,5,3,51.6,0.31,2.6,0.08,517,110,57.8,40.1,302,69.9,48.9,471,29,6.2,17,0.55,11.2,90,100,83,223,114,19,154,0.68,20,52,-32,-1.03,27.8,51.7,-23.9,-0.77,2,392,292,4,6,1202,440,465,48.6,/es/equipos/37b7e9e2/Estadisticas-de-Boavista
Braga,35,26.4,56.9,31,341,"2,790",31.0,51,39,90,47,4,5,65,3,46.1,42.1,34.3,76.4,532,1344,1.65,1.26,2.9,1.52,2.77,1.49,1.11,2.59,1.36,2.46,715,23.06,502,71,37,58,34,13,90,2.9,60,7,5,9,7,2,522,297,214,228,80,269,503,53.5,234,305,73,232,258,780,706,14,13965,17208,81.2,254343,82093,5716,6402,89.3,6607,7459,88.6,1377,2560,53.8,33.4,4.7,310,1106,238,52,15580,1565,440,84,648,698,187,91,48,3,63,284,139,34.3,13.06,4.48,0.12,0.34,16.8,0.11,4.9,4.9,56.9,20561,1662,5815,10006,4924,697,20556,498,245,49.2,224,45.0,11845,56934,28491,163,432,230,13889,1332,26,0.84,115,90,80.0,19,7,5,15,48.4,3,1,3,1,28.9,0.23,3.9,0.13,932,141,29.9,31.9,184,35.3,34.7,355,22,6.2,50,1.61,17.4,90,100,81,199,140,22,138,2.06,52,26,26,0.84,46.1,31.3,14.8,0.48,1,440,258,4,3,1390,426,439,49.2,/es/equipos/69d84c29/Estadisticas-de-Braga
Casa Pia,28,27.5,47.3,30,330,"2,700",30.0,32,23,55,29,3,3,78,2,29.9,27.6,20.7,48.4,355,872,1.07,0.77,1.83,0.97,1.73,1.0,0.69,1.69,0.92,1.61,517,17.23,346,65,28,28,39,11,55,1.83,31,9,3,5,5,2,449,281,221,165,63,229,414,55.3,185,321,106,215,244,693,785,25,9420,12407,75.9,174158,66564,3898,4583,85.1,4253,5055,84.1,1063,2169,49.0,20.7,2.3,205,700,133,42,10954,1417,387,99,456,600,122,93,15,0,36,234,90,30.7,9.77,3.0,0.1,0.32,18.1,0.1,2.1,1.4,47.3,15757,2061,5999,6890,3056,458,15754,463,218,47.1,216,46.7,8439,41118,19815,89,489,190,9313,864,38,1.27,146,109,78.8,11,8,11,6,20.0,7,0,3,1,38.8,0.23,1.8,0.06,769,152,35.2,24.7,240,40.4,34.6,425,31,7.3,24,0.8,14.7,90,100,82,180,148,17,122,1.37,35,38,-3,-0.1,29.9,37.5,-7.6,-0.25,2,444,244,3,8,1270,445,449,49.8,/es/equipos/b20a2b76/Estadisticas-de-Casa-Pia
Estoril,27,26.0,48.2,30,330,"2,700",30.0,37,20,57,31,6,7,74,1,34.4,28.9,22.2,51.1,363,927,1.23,0.67,1.9,1.03,1.7,1.15,0.74,1.89,0.96,1.7,515,17.17,368,46,32,27,29,13,58,1.93,39,2,5,6,4,2,469,295,202,202,65,239,447,53.5,208,296,80,216,294,763,780,15,10373,13228,78.4,183630,71040,4638,5298,87.5,4457,5183,86.0,1020,2063,49.4,22.7,-2.2,215,739,173,40,11687,1507,481,75,398,613,110,43,43,1,34,241,96,33.0,9.7,3.2,0.11,0.32,20.3,0.1,2.6,2.1,48.2,16734,1656,5918,7584,3398,459,16727,583,230,39.5,322,55.2,8543,39551,17898,77,512,287,10290,913,48,1.6,136,87,69.1,10,9,11,6,20.0,6,0,2,0,49.6,0.33,1.6,0.05,656,114,52.0,27.2,225,71.1,51.1,423,20,4.7,40,1.33,9.4,90,100,81,197,133,21,137,1.3,38,48,-10,-0.33,34.4,52.0,-17.6,-0.59,0,477,294,4,7,1330,428,478,47.2,/es/equipos/00c41b75/Estadisticas-de-Estoril
Estrela,40,27.7,44.3,31,341,"2,790",31.0,23,16,39,21,2,4,94,3,27.7,24.5,17.7,42.2,308,794,0.74,0.52,1.26,0.68,1.19,0.89,0.57,1.46,0.79,1.36,491,15.84,328,55,36,26,36,10,41,1.32,27,2,5,2,5,0,555,333,275,229,51,286,528,54.2,242,358,102,256,288,843,875,27,8424,11463,73.5,164472,65600,3199,3831,83.5,3895,4688,83.1,1143,2355,48.5,18.4,-1.7,207,703,146,48,9726,1677,541,80,461,689,126,70,19,1,60,221,80,26.9,9.58,2.58,0.07,0.26,19.9,0.08,-4.7,-3.5,44.3,15285,1828,5632,6814,3012,402,15281,583,266,45.6,275,47.2,6925,36098,16801,58,586,267,8350,782,43,1.39,135,92,71.1,7,8,16,7,22.6,4,1,9,2,43.0,0.3,2.0,0.07,730,130,42.9,36.3,248,69.4,51.9,441,15,3.4,25,0.81,13.3,90,100,80,186,152,22,126,0.94,24,43,-19,-0.61,27.7,39.7,-12.0,-0.39,2,483,288,3,6,1243,455,500,47.6,/es/equipos/0cb9f756/Estadisticas-de-Estrela
Famalicão,30,25.1,50.1,31,341,"2,790",31.0,39,27,66,34,5,6,69,0,33.9,29.2,22.0,51.2,397,1147,1.26,0.87,2.13,1.1,1.97,1.09,0.71,1.8,0.94,1.65,618,19.94,431,63,45,32,36,11,69,2.23,56,2,3,1,7,0,517,322,260,190,67,245,471,52.0,226,303,89,214,283,800,712,15,10834,13903,77.9,201410,74255,4365,5043,86.6,4884,5717,85.4,1271,2350,54.1,22.1,5.0,246,880,198,72,12197,1666,534,143,572,682,155,69,50,0,40,268,112,32.7,11.03,3.61,0.1,0.3,19.2,0.09,5.1,4.8,50.1,17370,1996,6448,7283,3804,511,17364,584,238,40.8,293,50.2,9694,48077,23037,96,461,278,10734,1130,34,1.1,126,92,76.2,11,11,9,13,41.9,4,0,3,1,42.0,0.3,9.0,0.29,692,129,35.1,31.9,230,42.2,34.9,437,24,5.5,26,0.84,14.8,90,100,83,210,131,18,148,1.42,40,34,6,0.19,33.9,38.3,-4.4,-0.14,0,429,283,5,5,1324,485,447,52.0,/es/equipos/2de656d5/Estadisticas-de-Famalicao
Farense,37,28.1,40.9,31,341,"2,790",31.0,20,15,35,19,1,1,78,4,25.6,24.8,18.9,43.7,330,789,0.65,0.48,1.13,0.61,1.1,0.83,0.61,1.44,0.8,1.41,588,18.97,358,97,30,40,44,19,34,1.1,25,3,4,1,1,0,537,329,257,227,53,256,515,49.7,259,352,97,255,299,836,869,13,7424,10581,70.2,155555,65795,2473,3078,80.3,3461,4258,81.3,1315,2615,50.3,19.9,-3.9,242,660,155,65,8842,1680,431,96,579,724,163,76,65,1,59,276,104,29.5,11.39,3.35,0.05,0.18,19.0,0.07,-5.6,-5.8,40.9,14322,1960,5591,5786,3110,469,14321,485,213,43.9,244,50.3,6356,34008,16591,62,510,249,7344,779,42,1.35,134,93,73.1,4,9,18,7,22.6,6,0,3,2,42.2,0.28,2.2,0.07,721,128,45.2,40.4,289,66.4,50.8,497,32,6.4,25,0.81,11.9,90,100,81,187,151,19,128,0.68,20,42,-22,-0.71,25.6,46.9,-21.2,-0.69,2,475,299,1,8,1192,535,570,48.4,/es/equipos/489c9cd9/Estadisticas-de-Farense
