Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Okan Kocuk,Goalkeeper,"Jul 27, 1995 (29)",Türkiye,"1,87m",right,"Jul 1, 2023",,"Jun 30, 2026",€1.90m,https://www.transfermarkt.com/okan-kocuk/profil/spieler/204189
45,Halil Yeral,Goalkeeper,"Jan 1, 2000 (25)",Türkiye,"1,90m",right,"Jan 26, 2023",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/halil-yeral/profil/spieler/511119
64,Taha Tosun,Goalkeeper,"Apr 28, 2005 (20)",Türkiye,"1,95m",right,"Jul 1, 2023",,"Jun 30, 2027",€50k,https://www.transfermarkt.com/taha-tosun/profil/spieler/1072259
25,Efe Berat Törüz,Goalkeeper,"Sep 8, 2006 (18)",Türkiye,"1,94m",right,"Jul 1, 2024",,"Jun 30, 2026",-,https://www.transfermarkt.com/efe-berat-toruz/profil/spieler/1070009
4,Rick van Drongelen,Centre-Back,"Dec 20, 1998 (26)",Netherlands,"1,88m",left,"Jul 11, 2023",,"Jun 30, 2026",€2.30m,https://www.transfermarkt.com/rick-van-drongelen/profil/spieler/354340
37,Lubomir Satka,Centre-Back,"Dec 2, 1995 (29)",Slovakia,"1,88m",right,"Jul 1, 2023",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/lubomir-satka/profil/spieler/168408
55,Yunus Emre Çift,Centre-Back,"Sep 1, 2003 (21)",Türkiye,"1,85m",right,"Jan 23, 2021",,"Jun 30, 2027",€425k,https://www.transfermarkt.com/yunus-emre-cift/profil/spieler/821622
96,Bedirhan Çetin,Centre-Back,"Jun 29, 2006 (18)",Türkiye,"1,82m",right,"Jul 1, 2023",,"Jun 30, 2030",€175k,https://www.transfermarkt.com/bedirhan-cetin/profil/spieler/1017551
66,Elano Yegen,Centre-Back,"Oct 8, 2002 (22)","Türkiye, Netherlands","1,91m",right,"Feb 1, 2023",,"Jun 30, 2026",€50k,https://www.transfermarkt.com/elano-yegen/profil/spieler/811114
16,Marc Bola,Left-Back,"Dec 9, 1997 (27)","England, DR Congo","1,85m",left,"Jul 9, 2023",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/marc-bola/profil/spieler/340310
28,Soner Gönül,Left-Back,"Jun 11, 1997 (27)",Türkiye,"1,77m",left,"Jul 1, 2021",,"Jun 30, 2025",€750k,https://www.transfermarkt.com/soner-gonul/profil/spieler/340967
2,Nanu,Right-Back,"May 17, 1994 (30)","Guinea-Bissau, Portugal","1,77m",right,"Jul 11, 2023",,"Jun 30, 2025",€300k,https://www.transfermarkt.com/nanu/profil/spieler/291399
18,Zeki Yavru,Right-Back,"Sep 5, 1991 (33)",Türkiye,"1,78m",right,"Aug 3, 2022",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/zeki-yavru/profil/spieler/98131
6,Youssef Aït Bennasser,Defensive Midfield,"Jul 7, 1996 (28)","Morocco, France","1,84m",right,"Feb 17, 2023",,"Jun 30, 2025",€1.20m,https://www.transfermarkt.com/youssef-ait-bennasser/profil/spieler/265569
5,Celil Yüksel,Central Midfield,"Jan 1, 1998 (27)",Türkiye,"1,71m",right,"Jul 1, 2022",,"Jun 30, 2027",€900k,https://www.transfermarkt.com/celil-yuksel/profil/spieler/336074
13,Flavien Tait,Central Midfield,"Feb 2, 1993 (32)",France,"1,76m",right,"Sep 6, 2023",,"Jun 30, 2026",€600k,https://www.transfermarkt.com/flavien-tait/profil/spieler/202278
20,Muhammet Özbaskıcı,Central Midfield,"Sep 27, 2005 (19)",Türkiye,"1,72m",right,"Jul 1, 2022",,"Jun 30, 2029",€250k,https://www.transfermarkt.com/muhammet-ozbaskici/profil/spieler/928352
8,Soner Aydoğdu,Central Midfield,"Jan 5, 1991 (34)",Türkiye,"1,80m",left,"Jan 27, 2023",,"Jun 30, 2026",€125k,https://www.transfermarkt.com/soner-aydogdu/profil/spieler/85291
