Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Berke Özer,Goalkeeper,"May 25, 2000 (24)",Türkiye,"1,91m",right,"Jan 12, 2023",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/berke-ozer/profil/spieler/361256
71,Birkan Tetik,Goalkeeper,"Oct 19, 1995 (29)",Türkiye,"1,90m",right,"Aug 1, 2023",,"Jun 30, 2026",€100k,https://www.transfermarkt.com/birkan-tetik/profil/spieler/282488
26,Alp Köseer,Goalkeeper,"Jan 1, 2003 (22)",Türkiye,"1,86m",right,"Jul 1, 2022",,"Jun 30, 2027",€50k,https://www.transfermarkt.com/alp-koseer/profil/spieler/610740
14,Rúben Vezo,Centre-Back,"Apr 25, 1994 (31)","Portugal, Cape Verde","1,82m",right,"Sep 6, 2024",,"Jun 30, 2025",€1.40m,https://www.transfermarkt.com/ruben-vezo/profil/spieler/257851
6,Robin Yalçın,Centre-Back,"Jan 25, 1994 (31)","Türkiye, Germany","1,85m",right,"Jul 12, 2023",,"Jun 30, 2025",€650k,https://www.transfermarkt.com/robin-yalcin/profil/spieler/124422
4,Luccas Claro,Centre-Back,"Oct 2, 1991 (33)",Brazil,"1,80m",right,"Aug 10, 2022",,"Jun 30, 2027",€400k,https://www.transfermarkt.com/luccas-claro/profil/spieler/175179
77,Umut Meraş,Left-Back,"Dec 20, 1995 (29)",Türkiye,"1,78m",left,"Jul 1, 2024",,"Jun 30, 2026",€400k,https://www.transfermarkt.com/umut-meras/profil/spieler/341549
88,Caner Erkin,Left-Back,"Oct 4, 1988 (36)",Türkiye,"1,81m",left,"Jul 20, 2023",,"Jun 30, 2025",€150k,https://www.transfermarkt.com/caner-erkin/profil/spieler/39333
15,Léo Dubois,Right-Back,"Sep 14, 1994 (30)",France,"1,78m",right,"Sep 6, 2024",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/leo-dubois/profil/spieler/236400
2,Erdem Gökçe,Right-Back,"Aug 20, 2003 (21)",Türkiye,"1,82m",right,"Jul 1, 2022",,"Jun 30, 2027",€50k,https://www.transfermarkt.com/erdem-gokce/profil/spieler/891987
33,Taras Stepanenko,Defensive Midfield,"Aug 8, 1989 (35)",Ukraine,"1,81m",left,"Feb 1, 2025",,"Jun 30, 2026",€1.10m,https://www.transfermarkt.com/taras-stepanenko/profil/spieler/59970
57,Melih Kabasakal,Defensive Midfield,"Feb 18, 1996 (29)",Türkiye,"1,78m",right,"Jan 16, 2023",,"Jun 30, 2026",€700k,https://www.transfermarkt.com/melih-kabasakal/profil/spieler/275683
28,Taşkın İlter,Defensive Midfield,"Jul 5, 1994 (30)","Azerbaijan, Türkiye","1,85m",right,"Jan 8, 2020",,"Jun 30, 2026",€225k,https://www.transfermarkt.com/taskin-ilter/profil/spieler/200082
18,Fredrik Midtsjø,Central Midfield,"Aug 11, 1993 (31)",Norway,"1,76m",right,"Jul 1, 2024",,"Jun 30, 2025",€1.40m,https://www.transfermarkt.com/fredrik-midtsjo/profil/spieler/136180
5,Dorukhan Toköz,Central Midfield,"May 21, 1996 (28)",Türkiye,"1,80m",right,"Jul 1, 2024",,"Jun 30, 2025",€1.20m,https://www.transfermarkt.com/dorukhan-tokoz/profil/spieler/275935
30,Yalçın Kayan,Central Midfield,"Jan 30, 1999 (26)",Türkiye,"1,80m",left,"Jan 13, 2025",,"Jun 30, 2028",€600k,https://www.transfermarkt.com/yalcin-kayan/profil/spieler/605266
75,Tayfur Bingöl,Central Midfield,"Jan 11, 1993 (32)",Türkiye,"1,80m",right,"Jul 30, 2024",,"Jun 30, 2025",€550k,https://www.transfermarkt.com/tayfur-bingol/profil/spieler/184440
81,Hamza Akman,Central Midfield,"Sep 27, 2004 (20)",Türkiye,"1,78m",right,"Jan 17, 2025",,"Jun 30, 2028",€300k,https://www.transfermarkt.com/hamza-akman/profil/spieler/727152
22,Erdem Çalık,Central Midfield,"Jun 5, 2006 (18)",Türkiye,-,right,"Feb 11, 2025",,"Jun 30, 2029",€125k,https://www.transfermarkt.com/erdem-calik/profil/spieler/1225269
-,İsmail Can Fidan,Central Midfield,"Apr 30, 2003 (22)",Türkiye,"1,85m",right,"Jul 1, 2023",,"Jun 30, 2028",-,https://www.transfermarkt.com/ismail-can-fidan/profil/spieler/952097
8,Emre Akbaba,Attacking Midfield,"Oct 4, 1992 (32)","Türkiye, France","1,80m",left,"Jul 2, 2024",,"Jun 30, 2026",€900k,https://www.transfermarkt.com/emre-akbaba/profil/spieler/278654
20,Recep Niyaz,Attacking Midfield,"Aug 2, 1995 (29)",Türkiye,"1,65m",right,"Aug 29, 2022",,"Jun 30, 2025",€400k,https://www.transfermarkt.com/recep-niyaz/profil/spieler/105653
40,Prince Ampem,Left Winger,"Apr 13, 1998 (27)",Ghana,"1,69m",right,"Jul 19, 2023",,"Jun 30, 2027",€1.50m,https://www.transfermarkt.com/prince-ampem/profil/spieler/562734
66,Emre Mor,Right Winger,"Jul 24, 1997 (27)","Türkiye, Denmark","1,69m",left,"Sep 13, 2024",,"Jun 30, 2025",€1.40m,https://www.transfermarkt.com/emre-mor/profil/spieler/283223
7,Halil Akbunar,Right Winger,"Nov 9, 1993 (31)",Türkiye,"1,70m",left,"Jan 12, 2023",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/halil-akbunar/profil/spieler/212229
17,Hüseyin Maldar,Right Winger,"Jan 26, 2007 (18)",Türkiye,-,right,"Jul 1, 2024",,-,€125k,https://www.transfermarkt.com/huseyin-maldar/profil/spieler/1210233
11,Sinan Gümüş,Right Winger,"Jan 15, 1994 (31)","Türkiye, Germany","1,79m",left,"Jan 11, 2024",,"Jun 30, 2025",€50k,https://www.transfermarkt.com/sinan-gumus/profil/spieler/196524
9,Mame Thiam,Centre-Forward,"Oct 9, 1992 (32)","Senegal, Italy","1,85m",right,"Jul 24, 2024",,"Jun 30, 2026",€2.00m,https://www.transfermarkt.com/mame-thiam/profil/spieler/163053
19,Umut Bozok,Centre-Forward,"Sep 19, 1996 (28)","Türkiye, France","1,78m",right,"Feb 3, 2025",,"Jun 30, 2026",€1.40m,https://www.transfermarkt.com/umut-bozok/profil/spieler/259025
