nombre,link,plantilla,edad_promedio,extranjeros,valor_mercado,valor_total
Galatasaray,/galatasaray-istanbul/kader/verein/141/saison_id/2024/plus/1,,30,"27,1","8,88 mln €","266,25 mln €"
Fenerbahce,/fenerbahce-istanbul/kader/verein/36/saison_id/2024/plus/1,,29,"29,0","8,11 mln €","235,30 mln €"
Besiktas JK,/besiktas-istanbul/kader/verein/114/saison_id/2024/plus/1,,30,"26,6","3,93 mln €","117,90 mln €"
Trabzonspor,/trabzonspor/kader/verein/449/saison_id/2024/plus/1,,27,"26,1","3,47 mln €","93,73 mln €"
Basaksehir FK,/istanbul-basaksehir-fk/kader/verein/6890/saison_id/2024/plus/1,,29,"26,8","1,91 mln €","55,30 mln €"
Göztepe,/goztepe/kader/verein/1467/saison_id/2024/plus/1,,27,"25,8","1,44 mln €","38,93 mln €"
Caykur Rizespor,/caykur-rizespor/kader/verein/126/saison_id/2024/plus/1,,25,"25,8","1,40 mln €","34,98 mln €"
Kasimpasa,/kasimpasa/kader/verein/10484/saison_id/2024/plus/1,,30,"26,0","1,10 mln €","32,85 mln €"
Samsunspor,/samsunspor/kader/verein/152/saison_id/2024/plus/1,,27,"26,5","1,13 mln €","30,48 mln €"
Eyüpspor,/eyupspor/kader/verein/7160/saison_id/2024/plus/1,,29,"28,5",885 mila €,"25,68 mln €"
Antalyaspor,/antalyaspor/kader/verein/589/saison_id/2024/plus/1,,29,"27,5",828 mila €,"24,03 mln €"
Bodrum FK,/bodrumspor/kader/verein/44006/saison_id/2024/plus/1,,31,"26,9",710 mila €,"22,03 mln €"
Konyaspor,/konyaspor/kader/verein/2293/saison_id/2024/plus/1,,31,"27,3",707 mila €,"21,93 mln €"
Gaziantep FK,/gaziantep-fk/kader/verein/2832/saison_id/2024/plus/1,,27,"27,2",795 mila €,"21,48 mln €"
Alanyaspor,/alanyaspor/kader/verein/11282/saison_id/2024/plus/1,,24,"26,8",860 mila €,"20,65 mln €"
Sivasspor,/sivasspor/kader/verein/2381/saison_id/2024/plus/1,,32,"27,9",613 mila €,"19,60 mln €"
Kayserispor,/kayserispor/kader/verein/3205/saison_id/2024/plus/1,,28,"27,4",678 mila €,"18,98 mln €"
Hatayspor,/hatayspor/kader/verein/7775/saison_id/2024/plus/1,,24,"26,1",696 mila €,"16,70 mln €"
Adana Demirspor,/adana-demirspor/kader/verein/3840/saison_id/2024/plus/1,,28,"22,4",416 mila €,"11,65 mln €"
