Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Diogo Sousa,Goalkeeper,"Sep 16, 1998 (26)",Portugal,"1,98m",right,"Jul 1, 2023",,"Jun 30, 2027",€1.40m,https://www.transfermarkt.com/diogo-sousa/profil/spieler/461895
53,Gökhan Akkan,Goalkeeper,"Jan 1, 1995 (30)",Türkiye,"1,88m",right,"Sep 12, 2024",,"Jun 30, 2025",€750k,https://www.transfermarkt.com/gokhan-akkan/profil/spieler/223025
22,Kerem Ersunar,Goalkeeper,"Jun 9, 2003 (21)",Türkiye,"1,89m",right,"Jan 23, 2024",,"Jun 30, 2028",€50k,https://www.transfermarkt.com/kerem-ersunar/profil/spieler/655896
54,Rüzgar Adıyaman,Goalkeeper,"Nov 23, 2006 (18)",Türkiye,"1,85m",right,"Jan 11, 2024",,"Jun 30, 2027",€50k,https://www.transfermarkt.com/ruzgar-adiyaman/profil/spieler/1054402
15,Arlind Ajeti,Centre-Back,"Sep 25, 1993 (31)","Albania, Switzerland","1,84m",right,"Sep 10, 2024",,"Jun 30, 2027",€850k,https://www.transfermarkt.com/arlind-ajeti/profil/spieler/159288
29,Christophe Hérelle,Centre-Back,"Aug 22, 1992 (32)","Martinique, France","1,91m",right,"Jul 23, 2024",,"Jun 30, 2026",€650k,https://www.transfermarkt.com/christophe-herelle/profil/spieler/170544
34,Ali Aytemur,Centre-Back,"Apr 3, 1996 (29)",Türkiye,"1,84m",left,"Jul 1, 2022",,"Jun 30, 2027",€600k,https://www.transfermarkt.com/ali-aytemur/profil/spieler/341773
33,Ondrej Celustka,Centre-Back,"Jun 18, 1989 (35)",Czech Republic,"1,87m",right,"Jul 6, 2023",,"Jun 30, 2025",€75k,https://www.transfermarkt.com/ondrej-celustka/profil/spieler/70131
6,Süleyman Özdamar,Centre-Back,"Feb 25, 1993 (32)",Türkiye,"1,82m",right,"Jan 29, 2021",,"Jun 30, 2025",€50k,https://www.transfermarkt.com/suleyman-ozdamar/profil/spieler/131790
95,Oğulcan Başol,Centre-Back,"Feb 19, 2005 (20)",Türkiye,"1,90m",right,"Nov 11, 2024",,"Jun 30, 2028",-,https://www.transfermarkt.com/ogulcan-basol/profil/spieler/1319047
77,Cenk Şen,Left-Back,"Oct 2, 2000 (24)",Türkiye,"1,70m",left,"Aug 1, 2021",,"Jun 30, 2026",€900k,https://www.transfermarkt.com/cenk-sen/profil/spieler/620076
