Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Okan Kocuk,trTUR,PO,29-277,32,32,"2,880",32.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,38.0,1.15,120.0,82.0,69.2,17.0,6.0,10.0,13.0,39.4,1.0,1.0,1.0,1.0,1.0,0.0,90,100.0,90,33,0,,0,1.73,50,38,+12,+0.36,,0.0,0.0,3.0,0.0,1.0,0.0,0.0,,,/es/jugadores/7e9fd9b9/Okan-Kocuk
Zeki Yavru,trTUR,DF,33-237,31,31,"2,546",28.3,2,6,8,2,0,0,6,0,0.07,0.21,0.28,0.07,0.28,Partidos,9.0,4.0,44.4,0.31,0.14,0.22,0.5,,,,,,,,,,,,,,,,,,82,87.9,82,18,0,,0,1.75,43,37,+6,+0.21,-1.30,0.0,36.0,21.0,0.0,158.0,36.0,41.0,,,/es/jugadores/bf95671d/Zeki-Yavru
Rick van Drongelen,nlNED,DF,26-131,30,30,"2,673",29.7,3,0,3,3,0,0,10,1,0.10,0.00,0.10,0.10,0.10,Partidos,21.0,9.0,42.9,0.71,0.3,0.14,0.33,,,,,,,,,,,,,,,,,,89,90.0,89,29,0,,0,1.60,43,36,+7,+0.24,-1.28,1.0,30.0,14.0,0.0,10.0,30.0,29.0,,,/es/jugadores/f0797d57/Rick-van-Drongelen
Carlo Holse,dkDEN,CC,25-332,30,30,"2,522",28.0,7,2,9,7,0,1,6,0,0.25,0.07,0.32,0.25,0.32,Partidos,59.0,20.0,33.9,2.04,0.69,0.12,0.35,,,,,,,,,,,,,,,,,,84,87.4,84,15,0,,0,1.71,39,32,+7,+0.24,-0.96,0.0,43.0,32.0,7.0,30.0,22.0,31.0,,,/es/jugadores/e248e62f/Carlo-Holse
Marc Bola,engENG,DF,27-142,29,28,"2,386",26.5,1,4,5,1,0,0,4,0,0.04,0.15,0.19,0.04,0.19,Partidos,18.0,5.0,27.8,0.65,0.18,0.06,0.2,,,,,,,,,,,,,,,,,,83,83.4,85,18,1,5,0,1.90,41,29,+12,+0.44,+0.44,0.0,16.0,20.0,4.0,91.0,56.0,26.0,,,/es/jugadores/3986000d/Marc-Bola
Marius Mouandilmadji,tdCHA,DL,28-098,30,28,"2,351",26.1,8,4,12,8,0,0,7,1,0.31,0.15,0.46,0.31,0.46,Partidos,62.0,21.0,33.9,2.35,0.8,0.15,0.43,,,,,,,,,,,,,,,,,,77,80.0,83,13,3,21,0,1.84,38,29,+9,+0.34,-0.11,1.0,30.0,29.0,37.0,6.0,2.0,6.0,,,/es/jugadores/ae546ee9/Marius-Mouandilmadji
Ľubomír Šatka,skSVK,DF,29-149,27,27,"2,381",26.5,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Partidos,5.0,0.0,0.0,0.18,0.0,0.0,,,,,,,,,,,,,,,,,,,88,83.2,88,26,0,,0,1.75,41,28,+13,+0.47,+0.65,0.0,12.0,5.0,1.0,1.0,29.0,27.0,,,/es/jugadores/d665d581/Lubomir-Satka
Youssef Aït Bennasser,maMAR,CC,28-297,26,26,"2,175",24.2,1,1,2,0,1,1,6,0,0.04,0.04,0.08,0.00,0.04,Partidos,10.0,1.0,10.0,0.41,0.04,0.0,0.0,,,,,,,,,,,,,,,,,,81,73.7,84,22,1,15,0,1.74,35,30,+5,+0.21,-0.60,0.0,38.0,20.0,0.0,4.0,31.0,33.0,,,/es/jugadores/c46fa34c/Youssef-Ait-Bennasser
Emre Kılınç,trTUR,"CC,DL",30-250,27,26,"2,106",23.4,2,7,9,2,0,0,6,0,0.09,0.30,0.38,0.09,0.38,Partidos,28.0,9.0,32.1,1.16,0.37,0.07,0.22,,,,,,,,,,,,,,,,,,78,73.4,80,2,1,29,0,1.79,37,26,+11,+0.45,+0.34,0.0,32.0,39.0,4.0,65.0,9.0,17.0,,,/es/jugadores/bab440b1/Emre-Kilinc
Olivier Ntcham,cmCMR,CC,29-080,28,24,"2,057",22.9,6,1,7,4,2,5,7,0,0.26,0.04,0.31,0.18,0.22,Partidos,59.0,18.0,30.5,2.47,0.75,0.07,0.22,,,,,,,,,,,,,,,,,,74,72.3,84,12,4,14,2,1.69,34,29,+5,+0.21,-0.56,0.0,20.0,16.0,1.0,5.0,17.0,18.0,,,/es/jugadores/6554bb97/Olivier-Ntcham
