Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Ertuğrul Taşkıran,trTUR,PO,35-176,30,30,"2,700",30.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,46.0,1.48,129.0,88.0,66.7,9.0,8.0,14.0,7.0,22.6,3.0,3.0,3.0,3.0,0.0,40.0,90,96.9,90,31,0,,0,1.13,37,46,-9,-0.29,+1.71,0.0,2.0,10.0,0.0,0.0,0.0,1.0,,,/es/jugadores/cf8c553e/Ertugrul-Taskiran
Fidan Aliti,xkKVX,DF,31-209,29,29,"2,598",28.9,1,0,1,1,0,0,8,0,0.03,0.00,0.03,0.03,0.03,Partidos,20.0,3.0,15.0,0.67,0.1,0.05,0.33,,,,,,,,,,,,,,,,,,90,93.3,90,29,0,,0,1.07,33,43,-10,-0.33,+0.13,0.0,43.0,40.0,1.0,9.0,41.0,45.0,,,/es/jugadores/5c46e908/Fidan-Aliti
Florent Hadergjonaj,xkKVX,"DF,CC",30-273,28,27,"2,441",27.1,4,5,9,0,4,4,4,0,0.15,0.18,0.33,0.00,0.18,Partidos,18.0,8.0,44.4,0.64,0.28,0.0,0.0,,,,,,,,,,,,,,,,,,87,87.9,89,26,1,28,0,1.21,35,42,-7,-0.25,+0.78,0.0,12.0,22.0,2.0,115.0,26.0,33.0,,,/es/jugadores/9aa186b2/Florent-Hadergjonaj
Sergio Córdova,veVEN,"DL,CC",27-264,31,27,"2,383",26.5,9,3,12,9,0,0,3,0,0.34,0.11,0.45,0.34,0.45,Partidos,54.0,15.0,27.8,1.97,0.55,0.17,0.6,,,,,,,,,,,,,,,,,,77,85.9,81,13,4,49,0,1.09,34,37,-3,-0.11,+1.66,0.0,26.0,53.0,26.0,47.0,4.0,18.0,,,/es/jugadores/229cd98a/Sergio-Cordova
Yusuf Özdemir,,"CC,DF",24-110,29,27,"2,301",25.6,4,1,5,4,0,0,10,1,0.16,0.04,0.20,0.16,0.20,Partidos,21.0,9.0,42.9,0.82,0.35,0.19,0.44,,,,,,,,,,,,,,,,,,79,79.9,84,19,2,17,0,1.17,32,42,-10,-0.39,-0.24,1.0,37.0,35.0,9.0,60.0,20.0,26.0,,,/es/jugadores/fc1e9483/Yusuf-Ozdemir
Richard,brBRA,CC,31-071,28,26,"2,312",25.7,1,2,3,1,0,0,10,0,0.04,0.08,0.12,0.04,0.12,Partidos,19.0,3.0,15.8,0.71,0.11,0.05,0.33,,,,,,,,,,,,,,,,,,83,83.4,87,21,2,26,0,1.07,32,42,-10,-0.37,-0.19,0.0,46.0,25.0,0.0,15.0,44.0,48.0,,,/es/jugadores/e90aa5da/Richard
Gaius Makouta,cgCGO,CC,27-279,30,25,"2,295",25.5,1,2,3,1,0,0,4,0,0.04,0.08,0.12,0.04,0.12,Partidos,27.0,5.0,18.5,1.06,0.2,0.04,0.2,,,,,,,,,,,,,,,,,,77,79.7,86,19,5,28,1,1.03,26,36,-10,-0.39,-0.24,0.0,24.0,52.0,0.0,42.0,18.0,10.0,,,/es/jugadores/0909f91d/Gaius-Makouta
Nuno Lima,ptPOR,DF,24-045,28,24,"2,199",24.4,2,0,2,2,0,0,11,0,0.08,0.00,0.08,0.08,0.08,Partidos,15.0,4.0,26.7,0.59,0.16,0.13,0.5,,,,,,,,,,,,,,,,,,79,79.5,88,24,4,22,1,1.21,34,34,0,0.00,+1.68,0.0,24.0,14.0,0.0,2.0,19.0,22.0,,,/es/jugadores/a70b0a9f/Nuno-Lima
Efecan Karaca,trTUR,CC,35-165,29,21,"1,699",18.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Partidos,12.0,4.0,33.3,0.63,0.21,0.0,0.0,,,,,,,,,,,,,,,,,,57,59.6,73,6,9,21,1,1.17,17,32,-15,-0.79,-1.10,0.0,24.0,30.0,7.0,36.0,12.0,23.0,,,/es/jugadores/10c5ea2c/Efecan-Karaca
Jure Balkovec,siSVN,DF,30-233,23,18,"1,550",17.2,1,1,2,0,1,1,5,0,0.06,0.06,0.12,0.00,0.06,Partidos,21.0,7.0,33.3,1.15,0.38,0.0,0.0,,,,,,,,,,,,,,,,,,68,56.9,83,16,5,11,7,1.13,15,29,-14,-0.77,-0.99,0.0,14.0,16.0,0.0,124.0,19.0,12.0,,,/es/jugadores/1a787ee8/Jure-Balkovec
Nicolas Janvier,frFRA,CC,26-262,29,17,"1,587",17.6,1,3,4,1,0,0,5,0,0.06,0.17,0.23,0.06,0.23,Partidos,34.0,7.0,20.6,1.82,0.38,0.03,0.14,,,,,,,,,,,,,,,,,,56,58.2,77,2,12,25,1,1.07,27,22,+5,+0.27,+1.47,0.0,20.0,6.0,0.0,88.0,13.0,24.0,,,/es/jugadores/22a62523/Nicolas-Janvier
Loide Augusto,aoANG,"CC,DL",25-063,18,17,"1,481",16.5,2,4,6,2,0,0,6,1,0.12,0.24,0.36,0.12,0.36,Partidos,40.0,11.0,27.5,2.43,0.67,0.05,0.18,,,,,,,,,,,,,,,,,,82,51.4,85,8,1,29,0,1.11,17,23,-6,-0.36,-0.04,1.0,25.0,28.0,8.0,33.0,3.0,14.0,,,/es/jugadores/aea6ca59/Loide-Augusto
Fatih Aksoy,trTUR,"DF,CC",27-175,22,17,"1,308",14.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,13.0,3.0,23.1,0.89,0.21,0.0,0.0,,,,,,,,,,,,,,,,,,59,45.4,74,8,5,10,10,1.14,14,28,-14,-0.96,-1.14,0.0,25.0,19.0,1.0,3.0,9.0,17.0,,,/es/jugadores/c6e7789b/Fatih-Aksoy
Hwang Ui-jo,krKOR,"DL,CC",32-245,25,12,"1,132",12.6,5,0,5,5,0,0,4,0,0.40,0.00,0.40,0.40,0.40,Partidos,35.0,10.0,28.6,2.61,0.75,0.14,0.5,,,,,,,,,,,,,,,,,,46,41.8,68,3,13,24,0,1.27,20,17,+3,+0.22,+0.98,0.0,6.0,19.0,13.0,12.0,1.0,6.0,,,/es/jugadores/a2d873dd/Hwang-Ui-jo
Tonny Vilhena,nlNED,CC,30-117,9,7,688,7.6,2,1,3,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Partidos,9.0,4.0,44.4,1.04,0.46,0.22,0.5,,,,,,,,,,,,,,,,,,78,27.0,86,6,2,45,1,0.70,12,16,-4,-0.46,-0.16,0.0,16.0,15.0,1.0,33.0,4.0,9.0,,,/es/jugadores/c7069d87/Tonny-Vilhena
Enes Keskin,,"CC,DF",23-330,7,5,384,4.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,1.0,100.0,0.23,0.23,0.0,0.0,,,,,,,,,,,,,,,,,,55,13.3,66,1,2,26,4,1.29,6,4,+2,+0.47,+0.94,0.0,10.0,8.0,1.0,3.0,6.0,6.0,,,/es/jugadores/7ac041cb/Enes-Keskin
