Match_ID,Date,PSxGA,PPDA_league_avg
1,2025-03-16,,8.935344827586205
2,2025-03-11,,8.935344827586205
3,2025-03-05,,8.935344827586205
4,2025-03-02,,8.935344827586205
5,2025-02-25,,8.935344827586205
6,2025-02-22,,8.935344827586205
7,2025-02-17,,8.935344827586205
8,2025-02-09,,8.935344827586205
9,2025-02-06,,8.935344827586205
10,2025-02-02,,8.935344827586205
11,2025-01-29,,8.935344827586205
12,2025-01-26,,8.935344827586205
13,2025-01-21,,8.935344827586205
14,2025-01-18,,8.935344827586205
15,2025-01-15,,8.935344827586205
16,2025-01-12,,8.935344827586205
17,2025-01-08,,8.935344827586205
18,2025-01-04,,8.935344827586205
19,2024-12-21,,8.935344827586205
20,2024-12-15,,8.935344827586205
21,2024-12-11,,8.935344827586205
22,2024-12-07,,8.935344827586205
23,2024-12-03,,8.935344827586205
24,2024-11-30,,8.935344827586205
25,2024-11-26,,8.935344827586205
26,2024-11-23,,8.935344827586205
27,2024-11-10,,8.935344827586205
28,2024-11-06,,8.935344827586205
29,2024-11-03,,8.935344827586205
30,2024-10-26,,8.935344827586205
31,2024-10-23,,8.935344827586205
32,2024-10-20,,8.935344827586205
33,2024-10-06,,8.935344827586205
34,2024-10-01,,8.935344827586205
35,2024-09-28,,8.935344827586205
36,2024-09-25,,8.935344827586205
37,2024-09-22,,8.935344827586205
38,2024-09-19,,8.935344827586205
39,2024-09-15,,8.935344827586205
40,2024-08-31,,8.935344827586205
41,2024-08-27,,8.935344827586205
42,2024-08-24,,8.935344827586205
43,2024-08-17,,8.935344827586205
44,2024-08-12,,8.935344827586205
45,2024-08-07,,8.935344827586205
46,2024-08-04,,8.935344827586205
47,2024-07-30,,8.935344827586205
48,2024-05-26,,8.935344827586205
49,2024-05-19,,8.935344827586205
50,2024-05-16,,8.935344827586205
51,2024-05-13,,8.935344827586205
52,2024-05-04,,8.935344827586205
53,2024-04-29,,8.935344827586205
54,2024-04-21,,8.935344827586205
55,2024-04-16,,8.935344827586205
56,2024-04-13,,8.935344827586205
57,2024-04-10,,8.935344827586205
58,2024-03-30,,8.935344827586205
