Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Tymoteusz Puchacz,"€ 21,347","€ 1,110,068",,"Jun 30, 2025",1,"€ 1,110,068",
Michael Obafemi,"€ 17,790","€ 925,057",,"May 31, 2025",1,"€ 925,057",
Bali Mumba,"€ 17,790","€ 925,057",,"Jun 30, 2027",3,"€ 2,775,171",
Michael Baidoo,"€ 14,825","€ 770,881",,"Jun 30, 2028",4,"€ 3,083,523",
Joe Edwards,"€ 11,860","€ 616,705",,"Jun 30, 2026",2,"€ 1,233,409",
Maksym Taloverov,"€ 11,860","€ 616,705",,"Jun 30, 2028",4,"€ 2,466,819",
Julio Pleguezuelo,"€ 11,860","€ 616,705",,"Jun 30, 2027",3,"€ 1,850,114",
Victor Pálsson,"€ 11,860","€ 616,705",,"Jun 30, 2025",1,"€ 616,705",
Mustapha Bundu,"€ 11,860","€ 616,705",,"Jun 30, 2025",1,"€ 616,705",
Conor Hazard,"€ 8,895","€ 462,528",,"Jun 30, 2026",2,"€ 925,057",
Nikola Katic,"€ 7,709","€ 400,858",,"Jun 30, 2025",1,"€ 400,858",
Daniel Grimshaw,"€ 7,116","€ 370,023",,"Jun 30, 2025",1,"€ 370,023",
Nathanael Ogbeta,"€ 5,930","€ 308,352",,"Jun 30, 2025",1,"€ 308,352",
Saxon Earley,"€ 5,930","€ 308,352",,"Jun 30, 2025",1,"€ 308,352",
Darko Gyabi,"€ 5,930","€ 308,352",,"May 31, 2025",1,"€ 308,352",
Ryan Hardie,"€ 5,930","€ 308,352",,"Jun 30, 2026",2,"€ 616,705",
Malachi Boateng,"€ 5,930","€ 308,352",,"Jun 30, 2028",4,"€ 1,233,409",
Matthew Sorinola,"€ 5,930","€ 308,352",,"Jun 30, 2025",1,"€ 308,352",
Muhamed Tijani,"€ 5,930","€ 308,352",,"Jun 30, 2025",1,"€ 308,352",
Jordan Houghton,"€ 4,744","€ 246,682",,"Jun 30, 2025",1,"€ 246,682",
Adam Randell,"€ 3,558","€ 185,011",,"Jun 30, 2026",2,"€ 370,023",
Rami Hajal,"€ 3,558","€ 185,011",,"Jun 30, 2027",3,"€ 555,034",
Callum Wright,"€ 2,965","€ 154,176",,"Jun 30, 2026",2,"€ 308,352",
Brendan Galloway,"€ 2,965","€ 154,176",,"Jun 30, 2026",2,"€ 308,352",
Caleb Roberts,"€ 2,372","€ 123,341",,"Jun 30, 2028",4,"€ 493,364",
Freddie Issaka,"€ 2,135","€ 111,007",,"Jun 30, 2028",4,"€ 444,027",
Kornél Szűcs,"€ 1,779","€ 92,506",,"Jun 30, 2025",1,"€ 92,506",
Zak Baker,"€ 1,186","€ 61,670",,"Jun 30, 2025",1,"€ 61,670",
