Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Berke Özer,trTUR,PO,24-340,31,31,"2,744",30.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,39.0,1.24,147.0,111.0,75.5,13.0,8.0,11.0,10.0,31.3,3.0,3.0,3.0,3.0,0.0,0.0,89,95.4,89,31,0,,0,1.47,48,39,+9,+0.29,+0.95,0,0,9,0,0,2,1,,,/es/jugadores/0743d0ec/Berke-Ozer
Luccas Claro,brBRA,DF,33-210,31,30,"2,701",30.0,1,0,1,1,0,0,7,0,0.03,0.00,0.03,0.03,0.03,Partidos,9,3,33.3,0.29,0.10,0.11,0.33,,,,,,,,,,,,,,,,,,87,94.0,89,30,1,34,0,1.47,45,40,+5,+0.16,-1.35,0,34,30,1,3,41,22,,,/es/jugadores/3cacc0ec/Luccas-Claro
Robin Yalçın,deGER,DF,31-095,29,29,"2,580",28.7,1,1,2,1,0,0,10,1,0.03,0.03,0.07,0.03,0.07,Partidos,11,6,54.5,0.37,0.20,0.09,0.17,,,,,,,,,,,,,,,,,,89,89.9,89,27,0,,0,1.60,45,35,+10,+0.34,+0.94,1,20,20,1,4,25,31,,,/es/jugadores/829ae874/Robin-Yalcin
Mame Baba Thiam,snSEN,DL,32-203,29,29,"2,542",28.2,14,2,16,13,1,3,7,0,0.50,0.07,0.57,0.46,0.53,Partidos,71,37,52.1,2.43,1.27,0.18,0.35,,,,,,,,,,,,,,,,,,88,88.6,88,20,0,,0,1.57,45,37,+8,+0.27,+0.27,0,42,20,29,18,13,13,,,/es/jugadores/ec304819/Mame-Baba-Thiam
Melih Kabasakal,,"CC,DF",29-071,28,28,"2,400",26.7,0,2,2,0,0,0,7,0,0.00,0.07,0.07,0.00,0.07,Partidos,9,1,11.1,0.33,0.04,0.00,0.00,,,,,,,,,,,,,,,,,,86,83.8,86,23,0,,0,1.55,40,30,+10,+0.36,+0.74,0,38,21,1,22,53,54,,,/es/jugadores/853101c2/Melih-Kabasakal
Emre Akbaba,trTUR,CC,32-208,32,26,"2,083",23.1,7,2,9,4,3,3,3,0,0.30,0.09,0.39,0.17,0.26,Partidos,45,18,40.0,1.93,0.77,0.09,0.22,,,,,,,,,,,,,,,,,,64,70.6,75,3,7,21,0,1.52,35,21,+14,+0.60,+1.22,0,22,41,10,62,14,32,,,/es/jugadores/7230b807/Emre-Akbaba
Prince Obeng Ampem,ghGHA,CC,27-017,25,21,"1,800",20.0,3,0,3,3,0,0,5,0,0.15,0.00,0.15,0.15,0.15,Partidos,29,9,31.0,1.38,0.43,0.10,0.33,,,,,,,,,,,,,,,,,,73,63.6,82,12,4,20,3,1.35,27,26,+1,+0.05,-0.54,0,17,39,4,22,14,17,,,/es/jugadores/751e378c/Prince-Obeng-Ampem
Umut Meraş,trTUR,DF,29-131,27,18,"1,594",17.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,11,3,27.3,0.60,0.16,0.00,0.00,,,,,,,,,,,,,,,,,,59,55.2,79,12,10,22,2,1.61,29,21,+8,+0.44,+0.44,0,20,11,0,32,37,22,,,/es/jugadores/c8112d1e/Umut-Meras
Ahmed Kutucu,trTUR,CC,25-060,18,18,"1,463",16.3,8,6,14,8,0,0,6,0,0.49,0.37,0.86,0.49,0.86,Partidos,55,20,36.4,3.38,1.23,0.15,0.40,,,,,,,,,,,,,,,,,,81,49.3,81,5,0,,0,1.78,29,15,+14,+0.86,+1.22,0,38,22,5,18,12,18,,,/es/jugadores/beda9675/Ahmed-Kutucu
Tayfur Bingöl,trTUR,"CC,DF",32-109,25,17,"1,498",16.6,5,1,6,5,0,0,3,1,0.30,0.06,0.36,0.30,0.36,Partidos,18,9,50.0,1.03,0.51,0.28,0.56,,,,,,,,,,,,,,,,,,61,53.0,80,4,8,17,4,1.50,29,20,+9,+0.51,+0.58,1,27,12,3,16,12,26,,,/es/jugadores/ad163246/Tayfur-Bingol
