Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Muhammet Taha Şahin,,DF,24-190,30,30,"2,572",28.6,0,5,5,0,0,0,6,0,0.00,0.17,0.17,0.00,0.17,Partidos,17.0,8.0,47.1,0.57,0.27,0.0,0.0,,,,,,,,,,,,,,,,,,86,92.4,86,25,0,,0,1.29,36,45,-9,-0.30,+0.93,0.0,27.0,31.0,6.0,154.0,41.0,39.0,,,/es/jugadores/a73db1eb/Muhammet-Taha-Sahin
Ali Sowe,gmGAM,DL,30-320,31,29,"2,529",28.1,14,0,14,14,0,1,3,0,0.50,0.00,0.50,0.50,0.50,Partidos,79.0,36.0,45.6,2.71,1.24,0.19,0.42,,,,,,,,,,,,,,,,,,82,90.9,85,16,2,33,0,1.25,36,46,-10,-0.34,+0.35,0.0,34.0,53.0,17.0,4.0,6.0,4.0,,,/es/jugadores/84e5adcd/Ali-Sowe
Attila Mocsi,huHUN,DF,24-336,30,28,"2,559",28.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Partidos,5.0,0.0,0.0,0.18,0.0,0.0,,,,,,,,,,,,,,,,,,,85,88.9,90,25,2,24,0,1.23,32,44,-12,-0.42,-0.42,0.0,29.0,8.0,1.0,13.0,25.0,29.0,,,/es/jugadores/c9019400/Attila-Mocsi
Xusniddin Aliqulov,uzUZB,"DF,CC",26-026,29,28,"2,416",26.8,3,1,4,3,0,0,5,0,0.11,0.04,0.15,0.11,0.15,Partidos,32.0,10.0,31.3,1.15,0.36,0.09,0.3,,,,,,,,,,,,,,,,,,84,87.0,85,24,1,28,1,1.33,33,39,-6,-0.22,+1.23,0.0,28.0,10.0,0.0,5.0,43.0,21.0,,,/es/jugadores/6925af2e/Xusniddin-Aliqulov
Ibrahim Olawoyin,ngNGA,CC,27-150,27,26,"2,258",25.1,3,5,8,3,0,0,7,1,0.12,0.20,0.32,0.12,0.32,Partidos,36.0,8.0,22.2,1.38,0.31,0.11,0.5,,,,,,,,,,,,,,,,,,84,81.5,86,14,1,29,1,1.18,31,38,-7,-0.27,+0.58,1.0,47.0,61.0,1.0,53.0,31.0,32.0,,,/es/jugadores/d666bbe6/Ibrahim-Olawoyin
Babajide Akintola,ngNGA,CC,29-107,27,25,"1,944",21.6,1,5,6,1,0,0,6,0,0.05,0.23,0.28,0.05,0.28,Partidos,34.0,6.0,17.6,1.55,0.27,0.03,0.17,,,,,,,,,,,,,,,,,,71,68.5,75,8,3,30,3,1.21,27,37,-10,-0.46,-0.26,0.0,37.0,46.0,9.0,49.0,7.0,15.0,,,/es/jugadores/5529e983/Babajide-Akintola
Dal Varesanovic,baBIH,CC,23-342,27,21,"1,631",18.1,2,0,2,2,0,0,6,1,0.11,0.00,0.11,0.11,0.11,Partidos,45.0,13.0,28.9,2.38,0.69,0.04,0.15,,,,,,,,,,,,,,,,,,61,59.2,69,0,6,31,1,1.21,18,25,-7,-0.37,+0.01,1.0,46.0,33.0,2.0,16.0,6.0,16.0,,,/es/jugadores/361b24bb/Dal-Varesanovic
Giannis Papanikolaou,grGRE,CC,26-163,22,20,"1,585",17.6,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Partidos,14.0,4.0,28.6,0.79,0.23,0.0,0.0,,,,,,,,,,,,,,,,,,72,55.0,77,12,2,21,1,1.23,21,27,-6,-0.34,+0.08,0.0,38.0,21.0,0.0,2.0,36.0,20.0,,,/es/jugadores/27610955/Giannis-Papanikolaou
Casper Højer Nielsen,dkDEN,DF,30-161,22,18,"1,599",17.8,0,4,4,0,0,0,3,0,0.00,0.23,0.23,0.00,0.23,Partidos,14.0,2.0,14.3,0.75,0.11,0.0,0.0,,,,,,,,,,,,,,,,,,73,58.6,86,15,4,14,3,1.04,21,31,-10,-0.53,-0.38,0.0,22.0,16.0,1.0,114.0,17.0,20.0,,,/es/jugadores/070e39a3/Casper-Hojer-Nielsen
Ivo Grbić,hrCRO,PO,29-102,17,17,"1,529",17.0,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,23.0,1.28,64.0,42.0,65.6,8.0,1.0,9.0,4.0,22.2,1.0,1.0,1.0,1.0,0.0,0.0,90,56.2,90,17,0,,7,1.39,18,23,-5,-0.28,+0.22,0.0,1.0,2.0,0.0,0.0,0.0,1.0,,,/es/jugadores/3f034750/Ivo-Grbic
Mithat Pala,trTUR,"DF,CC",24-258,28,16,"1,491",16.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,17.0,2.0,11.8,1.01,0.12,0.0,0.0,,,,,,,,,,,,,,,,,,52,52.8,81,10,13,17,2,1.17,21,28,-7,-0.41,-0.08,0.0,24.0,26.0,1.0,32.0,18.0,33.0,,,/es/jugadores/d1379e43/Mithat-Pala
Rachid Ghezzal,dzALG,CC,32-356,19,15,"1,352",15.0,3,2,5,1,2,3,5,1,0.20,0.13,0.33,0.07,0.20,Partidos,22.0,11.0,50.0,1.46,0.73,0.05,0.09,,,,,,,,,,,,,,,,,,71,46.9,85,5,4,21,2,1.21,24,22,+2,+0.13,+0.96,1.0,24.0,21.0,6.0,92.0,15.0,12.0,,,/es/jugadores/dc3a9a0d/Rachid-Ghezzal
Amir Hadžiahmetović,baBIH,CC,28-053,21,14,"1,308",14.5,1,1,2,1,0,0,2,1,0.07,0.07,0.14,0.07,0.14,Partidos,9.0,1.0,11.1,0.62,0.07,0.11,1.0,,,,,,,,,,,,,,,,,,62,45.4,77,5,7,32,0,1.14,18,23,-5,-0.34,+0.06,0.0,14.0,9.0,0.0,37.0,14.0,17.0,,,/es/jugadores/e8213ed3/Amir-Hadziahmetovic
