Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Moussa Djenepo,mlMLI,"CC,DL",26-319,21,11,"1,032",11.5,2,0,2,2,0,0,8,0,0.17,0.00,0.17,0.17,0.17,Partidos,11.0,4.0,36.4,0.96,0.35,0.18,0.5,,,,,,,,,,,,,,,,,,47,35.9,73,2,11,21,1,1.05,9,22,-13,-1.13,-0.79,0.0,27.0,32.0,6.0,18.0,5.0,7.0,,,/es/jugadores/254147d4/Moussa-Djenepo
Mert Yilmaz,trTUR,DF,26-053,15,11,889,9.9,0,2,2,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Partidos,4.0,1.0,25.0,0.39,0.1,0.0,0.0,,,,,,,,,,,,,,,,,,58,32.4,76,6,5,19,13,1.50,12,11,+1,+0.10,+1.07,0.0,9.0,15.0,1.0,17.0,14.0,11.0,,,/es/jugadores/5d5b3efa/Mert-Yilmaz
Erdoğan Yeşilyurt,,"DF,CC",31-175,11,9,944,10.5,0,4,4,0,0,0,3,0,0.00,0.38,0.38,0.00,0.38,Partidos,13.0,2.0,15.4,1.24,0.19,0.0,0.0,,,,,,,,,,,,,,,,,,86,32.8,89,8,2,71,3,1.55,16,19,-3,-0.29,+0.50,0.0,7.0,13.0,2.0,43.0,18.0,14.0,,,/es/jugadores/5136940a/Erdogan-Yesilyurt
Adolfo Gaich,arARG,DL,26-063,29,8,"1,090",12.1,7,0,7,6,1,1,4,0,0.58,0.00,0.58,0.50,0.50,Partidos,30.0,16.0,53.3,2.48,1.32,0.2,0.38,,,,,,,,,,,,,,,,,,38,37.8,76,1,21,23,1,1.34,20,24,-4,-0.33,+0.47,0.0,25.0,24.0,5.0,1.0,3.0,3.0,,,/es/jugadores/8dfed6e9/Adolfo-Gaich
Andros Townsend,engENG,"CC,DL",33-288,18,6,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,7.0,2.0,28.6,1.0,0.29,0.0,0.0,,,,,,,,,,,,,,,,,,35,21.9,63,0,12,21,2,1.22,7,9,-2,-0.29,+0.43,0.0,4.0,11.0,1.0,37.0,4.0,5.0,,,/es/jugadores/b28bbd58/Andros-Townsend
Amar Gerxhaliu,xkKVX,DF,23-004,11,6,578,6.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,48,20.1,85,5,6,12,16,1.42,7,12,-5,-0.78,-0.19,0.0,3.0,2.0,0.0,0.0,11.0,3.0,,,/es/jugadores/4a9fd879/Amar-Gerxhaliu
Bahadır Öztürk,trTUR,DF,29-211,7,6,468,5.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,2.0,0.0,0.0,0.38,0.0,0.0,,,,,,,,,,,,,,,,,,,67,16.3,78,3,1,1,5,1.71,7,6,+1,+0.19,+0.98,0.0,5.0,12.0,0.0,0.0,7.0,7.0,,,/es/jugadores/5ac0402b/Bahadir-Ozturk
,Tiempo Jugado,Rendimiento,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,,,,,,,,,,
Emrecan Uzunhan,,DF,24-063,8,4,275,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.0,0.0,0.33,0.0,0.0,,,,,,,,,,,,,,,,,,,34,9.5,57,1,4,12,11,1.25,2,11,-9,-2.95,-2.57,0.0,3.0,1.0,0.0,1.0,0.0,5.0,,,/es/jugadores/01f42327/Emrecan-Uzunhan
Burak Ingenç,trTUR,DF,19-016,4,2,203,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,51,7.0,90,2,2,12,6,1.50,6,9,-3,-1.33,-0.76,0.0,3.0,3.0,0.0,1.0,8.0,3.0,,,/es/jugadores/a58671c6/Burak-Ingenc
Abdurrahim Dursun,trTUR,DF,26-150,13,1,250,2.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.0,0.0,0.26,0.0,0.0,,,,,,,,,,,,,,,,,,,24,11.8,90,2,12,13,13,1.50,6,1,+5,+1.32,+2.21,0.0,5.0,1.0,0.0,11.0,11.0,5.0,,,/es/jugadores/36d836c9/Abdurrahim-Dursun
Abdullah Yiğiter,,PO,25-087,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,2.0,1.0,9.0,9.0,88.9,2.0,0.0,0.0,1.0,50.0,1.0,1.0,1.0,1.0,0.0,50.0,90,6.3,90,2,0,,30,3.00,4,2,+2,+1.00,+1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,/es/jugadores/a0771e14/Abdullah-Yigiter
Emre Uzun,trTUR,CC,19-314,5,1,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,1.0,100.0,1.06,1.06,0.0,0.0,,,,,,,,,,,,,,,,,,17,3.0,45,0,4,10,8,1.40,0,4,-4,-4.24,-3.72,0.0,3.0,2.0,0.0,3.0,0.0,1.0,,,/es/jugadores/bb420280/Emre-Uzun
Deni Milošević,baBIH,"DL,CC",30-052,5,0,80,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1.0,0.0,0.0,1.13,0.0,0.0,,,,,,,,,,,,,,,,,,,16,2.8,,0,5,16,8,0.80,2,1,+1,+1.13,+1.80,0.0,1.0,2.0,0.0,1.0,0.0,2.0,,,/es/jugadores/b45e185a/Deni-Milosevic
Taha Özmert,,CC,18-356,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,8,0.3,,0,1,8,8,0.00,0,0,0,0.00,+0.63,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,/es/jugadores/5ad50d9c/Taha-Ozmert
Ramazan Gülerce,,DF,23-054,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,1,0.0,,0,1,1,1,3.00,0,0,0,0.00,+0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,/es/jugadores/28f82e29/Ramazan-Gulerce
Hasan İlçin,,CC,16-037,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,4,,,,,,,,,,,,,,,,/es/jugadores/969de0e4/Hasan-Ilcin
Mehmet Ilhan,,DL,20-284,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,/es/jugadores/7ac63d21/Mehmet-Ilhan
Doğukan Özkan,trTUR,PO,25-085,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,7,,,,,,,,,,,,,,,,/es/jugadores/89917b04/Dogukan-Ozkan
Berkay Topdemir,,DL,18-119,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,5,,,,,,,,,,,,,,,,/es/jugadores/db6b97c5/Berkay-Topdemir
Harun Toprak,,DF,20-001,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,/es/jugadores/45f40f09/Harun-Toprak
Hasan Ürkmez,,CC,17-364,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,6,,,,,,,,,,,,,,,,/es/jugadores/48d93ad7/Hasan-Urkmez
