RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Ultimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas,link
1,Barcelona,33,24,4,5,89,32,+57,76,2.30,79.8,34.2,+45.6,+1.38,PGPEPGPGPG,"45,484",Robert Lewandowski-25,Iñaki Peña,,/es/jugadores/cc1c5035/Inaki-Pena
2,Real Madrid,33,22,6,5,66,31,+35,72,2.18,63.2,34.9,+28.3,+0.86,PGPPPGPGPG,"70,295",Kylian Mbappé-22,Thibaut Courtois,,/es/jugadores/1840e36d/Thibaut-Courtois
3,Atlético Madrid,33,19,9,5,56,27,+29,66,2.00,53.9,30.8,+23.1,+0.70,PEPGPGPPPG,"60,876",Julián Álvarez-15,Jan Oblak,,/es/jugadores/ee8508c0/Jan-Oblak
4,Athletic Club,33,16,12,5,50,26,+24,60,1.82,48.0,32.1,+15.9,+0.48,PEPEPGPPPG,"48,341",Oihan Sancet-15,Unai Simón,,/es/jugadores/5dcf3e90/Unai-Simon
5,Villarreal,33,15,10,8,56,45,+11,55,1.67,56.2,39.0,+17.2,+0.52,PEPGPEPPPG,"18,443",Ayoze Pérez-14,Diego Conde,,/es/jugadores/4eae5bc4/Diego-Conde
6,Betis,33,15,9,9,50,41,+9,54,1.64,50.1,40.7,+9.4,+0.28,PGPEPPPGPG,"51,489",Isco-8,Rui Silva,,/es/jugadores/ea83bfa6/Rui-Silva
7,Celta Vigo,33,13,7,13,50,49,+1,46,1.39,46.5,35.6,+10.9,+0.33,PEPGPPPPPG,"21,578","Iago Aspas,Borja Iglesias-9",Vicente Guaita,,/es/jugadores/ab13a5aa/Vicente-Guaita
8,Osasuna,33,10,14,9,40,46,-6,44,1.33,37.4,47.0,-9.6,-0.29,PEPEPGPGPG,"20,446",Ante Budimir-18,Sergio Herrera,,/es/jugadores/a4995f48/Sergio-Herrera
9,Mallorca,33,12,8,13,31,38,-7,44,1.33,35.8,37.2,-1.5,-0.04,PPPPPGPEPP,"18,671",Vedat Muriqi-7,Dominik Greif,,/es/jugadores/30061f53/Dominik-Greif
10,Real Sociedad,33,12,6,15,32,37,-5,42,1.27,36.4,36.3,+0.1,0.00,PGPGPPPEPP,"29,885",Mikel Oyarzabal-8,Álex Remiro,,/es/jugadores/374ee424/Alex-Remiro
11,Rayo Vallecano,33,10,11,12,35,42,-7,41,1.24,38.5,43.2,-4.8,-0.14,PGPPPPPEPP,"12,927","Pathé Ciss,Jorge de Frutos-4",Augusto Batalla,,/es/jugadores/fc627681/Augusto-Batalla
12,Getafe,33,10,9,14,31,30,+1,39,1.18,32.9,39.2,-6.2,-0.19,PPPGPPPPPP,"11,381",Mauro Arambarri-9,David Soria,,/es/jugadores/8f8c6934/David-Soria
13,Espanyol,33,10,9,14,35,42,-7,39,1.18,27.9,48.8,-20.9,-0.63,PGPGPGPEPP,"24,453",Javi Puado-11,Joan García,,/es/jugadores/87b498b0/Joan-Garcia
14,Valencia,33,9,12,12,37,49,-12,39,1.18,37.1,45.9,-8.8,-0.27,PGPGPGPEPE,"42,870",Hugo Duro-8,Giorgi Mamardashvili,,/es/jugadores/d4b73232/Giorgi-Mamardashvili
15,Sevilla,33,9,10,14,35,44,-9,37,1.12,34.4,42.3,-7.9,-0.24,PPPPPPPEPP,"35,731",Dodi Lukebakio-11,Ørjan Nyland,,/es/jugadores/bdedffac/Orjan-Nyland
16,Girona,33,9,8,16,40,52,-12,35,1.06,37.2,42.3,-5.1,-0.15,PPPPPPPPPE,"11,888",Cristhian Stuani-8,Paulo Gazzaniga,,/es/jugadores/63d17038/Paulo-Gazzaniga
17,Alavés,33,8,10,15,35,46,-11,34,1.03,36.8,41.1,-4.3,-0.13,PPPGPPPEPG,"17,127",Kiké-12,Antonio Sivera,,/es/jugadores/9970da54/Antonio-Sivera
18,Las Palmas,33,8,8,17,38,53,-15,32,0.97,32.4,59.5,-27.0,-0.82,PEPPPGPGPP,"23,775",Fábio Silva-10,Jasper Cillessen,,/es/jugadores/04ac8285/Jasper-Cillessen
19,Leganés,33,6,12,15,30,49,-19,30,0.91,29.2,53.0,-23.8,-0.72,PPPEPPPEPE,"11,081",Dani Raba-7,Marko Dmitrović,,/es/jugadores/ac295d9e/Marko-Dmitrovic
20,Valladolid,33,4,4,25,24,81,-57,16,0.48,29.2,59.8,-30.6,-0.93,PPPPPPPPPP,"20,354",Mamadou Sylla-5,Karl Jakob Hein,,/es/jugadores/aa81d8f8/Karl-Jakob-Hein
