Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Brice Samba,Goalkeeper,"Apr 25, 1994 (31)","France, Congo","1,87m",left,"Jan 8, 2025",,"Jun 30, 2029",€15.00m,https://www.transfermarkt.com/brice-samba/profil/spieler/191056
80,Doğan Alemdar,Goalkeeper,"Oct 29, 2002 (22)",Türkiye,"1,92m",right,"Aug 27, 2021",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/dogan-alemdar/profil/spieler/576033
23,Gauthier Gallon,Goalkeeper,"Apr 23, 1993 (32)",France,"1,87m",right,"Jul 5, 2023",,"Jun 30, 2027",€1.00m,https://www.transfermarkt.com/gauthier-gallon/profil/spieler/193256
30,Steve Mandanda,Goalkeeper,"Mar 28, 1985 (40)","France, DR Congo","1,87m",right,"Jul 6, 2022",,"Jun 30, 2025",€700k,https://www.transfermarkt.com/steve-mandanda/profil/spieler/23951
40,Geoffrey Lembet,Goalkeeper,"Sep 23, 1988 (36)","Central African Republic, France","1,86m",left,"Jul 18, 2023",,"Jun 30, 2025",€150k,https://www.transfermarkt.com/geoffrey-lembet/profil/spieler/72414
5,Lilian Brassier,Centre-Back,"Nov 2, 1999 (25)","France, Togo","1,86m",left,"Jan 31, 2025",,"Jun 30, 2025",€10.00m,https://www.transfermarkt.com/lilian-brassier/profil/spieler/485960
24,Anthony Rouault,Centre-Back,"May 29, 2001 (23)",France,"1,86m",right,"Feb 3, 2025",,"Jun 30, 2029",€10.00m,https://www.transfermarkt.com/anthony-rouault/profil/spieler/690799
36,Alidu Seidu,Centre-Back,"Jun 4, 2000 (24)",Ghana,"1,73m",right,"Jan 29, 2024",,"Jun 30, 2029",€9.00m,https://www.transfermarkt.com/alidu-seidu/profil/spieler/798404
15,Mikayil Faye,Centre-Back,"Jul 14, 2004 (20)",Senegal,"1,83m",left,"Aug 25, 2024",,"Jun 30, 2028",€8.00m,https://www.transfermarkt.com/mikayil-faye/profil/spieler/666974
4,Christopher Wooh,Centre-Back,"Sep 18, 2001 (23)","Cameroon, France","1,91m",right,"Sep 1, 2022",,"Jun 30, 2026",€7.00m,https://www.transfermarkt.com/christopher-wooh/profil/spieler/572326
