Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
30,Arthur Desmas,Goalkeeper,"Apr 7, 1994 (31)",France,"1,96m",right,"Jul 1, 2022",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/arthur-desmas/profil/spieler/379869
1,Mathieu Gorgelin,Goalkeeper,"Aug 5, 1990 (34)",France,"1,87m",left,"Jul 1, 2019",,"Jun 30, 2025",€200k,https://www.transfermarkt.com/mathieu-gorgelin/profil/spieler/60543
93,Arouna Sangante,Centre-Back,"Apr 12, 2002 (23)","Senegal, Guinea-Bissau","1,89m",right,"Jul 1, 2021",,"Jun 30, 2026",€10.00m,https://www.transfermarkt.com/arouna-sangante/profil/spieler/768380
6,Étienne Youté Kinkoué,Centre-Back,"Jan 14, 2002 (23)","France, Cameroon","1,96m",right,"Jan 11, 2023",,"Jun 30, 2026",€8.00m,https://www.transfermarkt.com/etienne-youte-kinkoue/profil/spieler/639712
4,Gautier Lloris,Centre-Back,"Jul 18, 1995 (29)",France,"1,91m",left,"Jul 12, 2022",,"Jun 30, 2026",€3.00m,https://www.transfermarkt.com/gautier-lloris/profil/spieler/249636
97,Fodé Ballo-Touré,Left-Back,"Jan 3, 1997 (28)","Senegal, France","1,82m",left,"Jan 23, 2025",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/fode-ballo-toure/profil/spieler/296422
18,Yanis Zouaoui,Left-Back,"Apr 28, 1998 (27)","France, Algeria","1,83m",left,"Jul 5, 2024",,"Jun 30, 2027",€800k,https://www.transfermarkt.com/yanis-zouaoui/profil/spieler/691841
32,Timothée Pembélé,Right-Back,"Sep 9, 2002 (22)","France, DR Congo","1,83m",right,"Aug 30, 2024",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/timothee-pembele/profil/spieler/538998
7,Loïc Nego,Right-Back,"Jan 15, 1991 (34)","Hungary, France","1,81m",right,"Jul 1, 2023",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/loic-nego/profil/spieler/122840
17,Oualid El Hajjam,Right-Back,"Feb 19, 1991 (34)","Morocco, France","1,81m",right,"Jul 15, 2022",,"Jun 30, 2026",€400k,https://www.transfermarkt.com/oualid-el-hajjam/profil/spieler/283127
23,Junior Mwanga,Defensive Midfield,"May 11, 2003 (21)","France, DR Congo","1,84m",both,"Jan 31, 2025",,"Jun 30, 2025",€6.00m,https://www.transfermarkt.com/junior-mwanga/profil/spieler/1011200
94,Abdoulaye Touré,Defensive Midfield,"Mar 3, 1994 (31)","Guinea, France","1,88m",right,"Jul 26, 2023",,"Jun 30, 2025",€3.00m,https://www.transfermarkt.com/abdoulaye-toure/profil/spieler/181382
19,Rassoul Ndiaye,Defensive Midfield,"Dec 11, 2001 (23)","Senegal, France","1,79m",right,"Jul 17, 2023",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/rassoul-ndiaye/profil/spieler/662242
25,Aloïs Confais,Defensive Midfield,"Sep 7, 1996 (28)",France,"1,74m",right,"Aug 17, 2022",,"Jun 30, 2025",€200k,https://www.transfermarkt.com/alois-confais/profil/spieler/292820
8,Yassine Kechta,Central Midfield,"Feb 25, 2002 (23)","Morocco, France","1,74m",left,"Jul 1, 2022",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/yassine-kechta/profil/spieler/667967
14,Daler Kuzyaev,Central Midfield,"Jan 15, 1993 (32)",Russia,"1,82m",right,"Jul 12, 2023",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/daler-kuzyaev/profil/spieler/279570
34,Mahamadou Diawara,Central Midfield,"Feb 17, 2005 (20)","France, Mali","1,87m",left,"Jan 17, 2025",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/mahamadou-diawara/profil/spieler/1053147
44,Ismaïl Bouneb,Attacking Midfield,"Jun 7, 2006 (18)","France, Algeria","1,82m",right,"Jul 3, 2024",,"Jun 30, 2028",€50k,https://www.transfermarkt.com/ismail-bouneb/profil/spieler/986286
21,Antoine Joujou,Left Winger,"Mar 12, 2003 (22)","France, Guadeloupe","1,89m",right,"Aug 29, 2024",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/antoine-joujou/profil/spieler/1028162
45,Issa Soumaré,Left Winger,"Oct 10, 2000 (24)","Senegal, Mauritania","1,82m",right,"Jul 4, 2023",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/issa-soumare/profil/spieler/568698
10,Josué Casimir,Right Winger,"Sep 24, 2001 (23)","Guadeloupe, France","1,78m",right,"Jul 1, 2021",,"Jun 30, 2025",€3.50m,https://www.transfermarkt.com/josue-casimir/profil/spieler/763182
70,Ruben Londja,Right Winger,"Jun 10, 2006 (18)",Switzerland,"1,93m",left,"Jul 4, 2024",,"Jun 30, 2028",-,https://www.transfermarkt.com/ruben-londja/profil/spieler/927369
46,Ilyes Housni,Centre-Forward,"May 14, 2005 (19)","Morocco, France","1,72m",right,"Aug 28, 2024",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/ilyes-housni/profil/spieler/825437
99,Ahmed Hassan,Centre-Forward,"Mar 5, 1993 (32)","Egypt, Portugal","1,91m",right,"Jan 13, 2025",,"Jun 30, 2025",€900k,https://www.transfermarkt.com/ahmed-hassan/profil/spieler/184816
28,André Ayew,Centre-Forward,"Dec 17, 1989 (35)","Ghana, France","1,75m",left,"Oct 4, 2024",,"Jun 30, 2025",€700k,https://www.transfermarkt.com/andre-ayew/profil/spieler/45403
20,Elysée Logbo,Centre-Forward,"May 6, 2004 (20)","France, Cote d'Ivoire","1,88m",left,"Jul 1, 2022",,"Jun 30, 2027",€600k,https://www.transfermarkt.com/elysee-logbo/profil/spieler/770407
9,Yann Kitala,Centre-Forward,"Apr 9, 1998 (27)","DR Congo, France","1,86m",left,"Jul 13, 2022",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/yann-kitala/profil/spieler/395677
