Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Ui-jo Hwang,"€ 52,885","€ 2,750,000",,"Jun 30, 2025",1,"€ 2,750,000",
Tonny Vilhena,"€ 32,115","€ 1,670,000",,"Jun 30, 2025",1,"€ 1,670,000",
Sergio Córdova,"€ 32,115","€ 1,670,000",,"Jun 30, 2027",3,"€ 5,010,000",
Florent Hadergjonaj,"€ 23,077","€ 1,200,000",,"Jun 30, 2025",1,"€ 1,200,000",
Ertuğrul Taşkıran,"€ 21,154","€ 1,100,000",,"Jun 30, 2026",2,"€ 2,200,000",
Richard,"€ 21,154","€ 1,100,000",,"Jun 30, 2027",3,"€ 3,300,000",
Andraz Sporar,"€ 15,962","€ 830,000",,"Jun 30, 2027",3,"€ 2,490,000",
Rony Lopes,"€ 15,962","€ 830,000",,"Jun 30, 2026",2,"€ 1,660,000",
Jure Balkovec,"€ 14,808","€ 770,000",,"Jun 30, 2026",2,"€ 1,540,000",
Fidan Aliti,"€ 14,808","€ 770,000",,"Jun 30, 2026",2,"€ 1,540,000",
Gaius Makouta,"€ 14,423","€ 750,000",,"Jun 30, 2027",3,"€ 2,250,000",
Nicolas Janvier,"€ 8,077","€ 420,000",,"Jun 30, 2026",2,"€ 840,000",
Efecan Karaca,"€ 8,077","€ 420,000",,"Jun 30, 2026",2,"€ 840,000",
Fatih Aksoy,"€ 6,731","€ 350,000",,"Jun 30, 2025",1,"€ 350,000",
Enes Keskin,"€ 6,731","€ 350,000",,"Jun 30, 2029",5,"€ 1,750,000",
Umut Mert Toy,"€ 4,808","€ 250,000",,"Jun 30, 2029",5,"€ 1,250,000",
Nuno Lima,"€ 3,269","€ 170,000",,"Jun 30, 2027",3,"€ 510,000",
Mert Bayram,"€ 3,269","€ 170,000",,"Jun 30, 2029",5,"€ 850,000",
Yusuf Kurt,"€ 2,885","€ 150,000",,"Jun 30, 2025",1,"€ 150,000",
Buluthan Bulut,"€ 2,885","€ 150,000",,"Jun 30, 2026",2,"€ 300,000",
Batuhan Yavuz,"€ 2,308","€ 120,000",,"Jun 30, 2029",5,"€ 600,000",
Eren Altıntaş,"€ 1,923","€ 100,000",,"Jun 30, 2028",4,"€ 400,000",
Yusuf Özdemir,€ 962,"€ 50,000",,"Jun 30, 2028",4,"€ 200,000",
Arda Usluoğlu,€ 962,"€ 50,000",,"Jun 30, 2027",3,"€ 150,000",
Yusuf Karagöz,€ 962,"€ 50,000",,"Jun 30, 2027",3,"€ 150,000",
