Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Deniz Undav,"€ 86,923","€ 4,520,000",,"Jun 30, 2027",3,"€ 13,560,000",
Angelo Stiller,"€ 86,923","€ 4,520,000",,"Jun 30, 2028",4,"€ 18,080,000","€ 40,000,000"
Alexander Nübel,"€ 67,308","€ 3,500,000",,"Jun 30, 2026",2,"€ 7,000,000",
El Bilal Touré,"€ 54,423","€ 2,830,000",,"Jun 30, 2025",1,"€ 2,830,000",
Ermedin Demirovic,"€ 54,423","€ 2,830,000",,"Jun 30, 2028",4,"€ 11,320,000",
Dan-Axel Zagadou,"€ 54,423","€ 2,830,000",,"Jun 30, 2026",2,"€ 5,660,000","€ 15,000,000"
Chris Führich,"€ 48,077","€ 2,500,000",,"Jun 30, 2028",4,"€ 10,000,000","€ 26,000,000"
Jacob Bruun Larsen,"€ 43,462","€ 2,260,000",,"Jun 30, 2027",3,"€ 6,780,000",
Maximilian Mittelstädt,"€ 36,346","€ 1,890,000",,"Jun 30, 2028",4,"€ 7,560,000",
Enzo Millot,"€ 36,346","€ 1,890,000",,"Jun 30, 2028",4,"€ 7,560,000","€ 20,000,000"
Jamie Leweling,"€ 34,615","€ 1,800,000",,"Jun 30, 2029",5,"€ 9,000,000",
Ameen Al-Dakhil,"€ 25,385","€ 1,320,000",,"Jun 30, 2028",4,"€ 5,280,000",
Fabian Bredlow,"€ 21,731","€ 1,130,000",,"Jun 30, 2026",2,"€ 2,260,000",
Julian Chabot,"€ 21,731","€ 1,130,000",,"Jun 30, 2028",4,"€ 4,520,000",
Fabian Rieder,"€ 21,154","€ 1,100,000",,"Jun 30, 2025",1,"€ 1,100,000",
Josha Vagnoman,"€ 18,077","€ 940,000",,"Jun 30, 2026",2,"€ 1,880,000",
Pascal Stenzel,"€ 18,077","€ 940,000",,"Jun 30, 2026",2,"€ 1,880,000",
Yannik Keitel,"€ 14,423","€ 750,000",,"Jun 30, 2028",4,"€ 3,000,000",
Finn Jeltsch,"€ 12,692","€ 660,000",,"Jun 30, 2030",6,"€ 3,960,000",
Nikolas Nartey,"€ 11,923","€ 620,000",,"Jun 30, 2025",1,"€ 620,000",
Thomas Kastanaras,"€ 11,538","€ 600,000",,"Jun 30, 2026",2,"€ 1,200,000",
Luca Jaquez,"€ 10,769","€ 560,000",,"Jun 30, 2029",5,"€ 2,800,000",
Dennis Seimen,"€ 9,038","€ 470,000",,"Jun 30, 2029",5,"€ 2,350,000",
Atakan Karazor,"€ 9,038","€ 470,000",,"Jun 30, 2028",4,"€ 1,880,000",
Justin Diehl,"€ 9,038","€ 470,000",,"Jun 30, 2029",5,"€ 2,350,000",
Nick Woltemade,"€ 9,038","€ 470,000",,"Jun 30, 2028",4,"€ 1,880,000",
Laurin Ulrich,"€ 6,923","€ 360,000",,"Jun 30, 2026",2,"€ 720,000",
Stefan Drljaca,"€ 6,731","€ 350,000",,"Jun 30, 2027",3,"€ 1,050,000",
Ramon Hendriks,"€ 6,538","€ 340,000",,"Jun 30, 2028",4,"€ 1,360,000",
Wahid Faghir,"€ 5,962","€ 310,000",,"Jun 30, 2026",2,"€ 620,000",
Leonidas Stergiou,"€ 3,654","€ 190,000",,"Jun 30, 2028",4,"€ 760,000",
Mohamed Sankoh,"€ 3,462","€ 180,000",,"Jun 30, 2026",2,"€ 360,000",
Jarzinho Malanga,"€ 3,462","€ 180,000",,"Jun 30, 2027",3,"€ 540,000",
Anrie Chase,"€ 2,308","€ 120,000",,"Jun 30, 2025",1,"€ 120,000",
Luca Raimund,"€ 2,308","€ 120,000",,"Jun 30, 2026",2,"€ 240,000",
Silas Katompa Mvumpa,,,,"Jun 30, 2026",2,,"€ 10,000,000"
