Equipo,PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls./90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,TklG,3.º_def,3.º_cent,3.º_ataq,Tkl_regateadores,Desafíos_totales,Tkl_%,Desafíos_perdidos,Bloqueos_totales,Dis_bloqueados,Pases_bloqueados,Intercepciones,Tkl+Int,Despeje,Errores,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (Cortos),Int. (Cortos),% Cmp (Cortos),Cmp (Medios),Int. (Medios),% Cmp (Medios),Cmp (Largos),Int. (Largos),% Cmp (Largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,Bloqueos,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Pos,Toques,Def_pen,3º_def,3º_cent,3º_ataq,Ataq_pen,Balón_vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist_tot,Dist_prg,TAP,Errores_control,Des,Rec,PrgR,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,TL,TE,GC (Propio),PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,Int. (Meta),%deLanzamientos (Meta),Long. prom. (Meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2a amarilla,Fls,Int,Penal ejecutado,Penal concedido,Recup.,Ganados,Perdidos,% de ganados,link
Atalanta,32,27.9,55.8,34,374,"3,060",34.0,65,45,110,60,5,7,63,1,57.0,51.6,41.2,92.7,812,1641,1.91,1.32,3.24,1.76,3.09,1.68,1.21,2.89,1.52,2.73,869,25.56,653,73,46,64,22,11,113,3.32,90,4,3,12,4,0,526,316,218,239,69,251,457,54.9,206,321,85,236,263,789,579,14,15892,19082,83.3,276861,87945,7142,7928,90.1,7081,8042,88.1,1367,2268,60.3,42.5,3.8,379,1254,353,104,17533,1497,412,109,709,642,174,76,66,1,52,303,163,33.7,14.21,4.79,0.12,0.37,15.0,0.11,8.0,8.4,55.8,22679,1788,6145,10313,6418,959,22672,582,231,39.7,301,51.7,13950,74046,38489,220,522,335,15784,1627,31,0.91,122,93,76.2,19,8,7,14,41.2,2,0,3,2,34.5,0.29,5.5,0.16,879,172,27.4,32.4,204,65.2,48.9,307,20,6.5,50,1.47,14.4,90,100,79,209,165,25,224,1.91,67,31,36,1.06,57.0,33.3,23.7,0.7,1,390,263,5,2,1580,518,417,55.4,/es/equipos/922493f3/Estadisticas-de-Atalanta
Bologna,30,27.0,58.0,34,374,"3,060",34.0,51,38,89,45,6,7,52,3,45.1,39.6,31.5,71.0,585,1306,1.5,1.12,2.62,1.32,2.44,1.33,0.93,2.25,1.16,2.09,822,24.18,595,77,36,49,45,20,93,2.74,68,3,3,9,7,3,538,313,201,241,96,259,491,52.7,232,355,87,268,232,770,632,18,14063,17335,81.1,265049,87509,5488,6182,88.8,6770,7682,88.1,1563,2736,57.1,27.2,6.5,343,1207,265,97,15614,1669,586,122,653,683,160,44,85,0,52,279,152,33.4,13.38,4.47,0.1,0.3,17.5,0.09,5.9,5.4,58.0,20944,1900,6080,9854,5199,742,20937,505,201,39.8,244,48.3,12358,63974,30227,149,531,329,13908,1296,37,1.09,91,55,61.5,16,13,5,12,35.3,2,0,2,2,33.5,0.35,-1.5,-0.04,1240,141,28.8,31.7,171,37.4,35.7,298,26,8.7,27,0.79,12.7,90,100,81,207,165,21,304,1.79,52,37,15,0.44,45.1,31.6,13.4,0.39,1,487,232,6,3,1398,524,572,47.8,/es/equipos/1d8099f8/Estadisticas-de-Bologna
Cagliari,26,27.4,45.5,34,374,"3,060",34.0,33,26,59,30,3,3,62,3,39.1,36.7,29.0,65.7,470,1046,0.97,0.76,1.74,0.88,1.65,1.15,0.85,2.0,1.08,1.93,676,19.88,465,81,34,59,30,7,61,1.79,48,2,2,4,4,1,483,268,234,203,46,215,398,54.0,183,304,113,191,243,726,785,16,10933,14293,76.5,198071,80159,4761,5512,86.4,4889,5805,84.2,1098,2264,48.5,26.5,-3.0,271,830,215,81,12587,1648,431,55,698,672,164,36,120,0,58,297,104,27.4,11.18,3.06,0.08,0.29,16.0,0.1,-6.1,-6.7,45.5,17859,2251,6855,7373,3808,597,17856,503,214,42.5,246,48.9,9608,48387,23739,106,509,268,10825,1038,49,1.44,138,89,68.8,8,9,17,6,17.6,6,0,9,0,48.7,0.32,-0.3,-0.01,888,151,42.7,35.5,299,47.2,39.2,484,24,5.0,29,0.85,11.8,90,100,80,209,162,22,277,0.97,35,49,-14,-0.41,39.1,49.0,-9.9,-0.29,3,459,243,2,6,1365,561,556,50.2,/es/equipos/c4260e09/Estadisticas-de-Cagliari
Como,38,27.0,54.2,34,374,"3,060",34.0,39,34,73,39,0,2,81,6,40.7,39.2,32.4,71.6,593,1194,1.15,1.0,2.15,1.15,2.15,1.2,0.95,2.15,1.15,2.11,810,23.82,589,78,41,56,35,11,70,2.06,57,2,5,3,1,2,611,381,276,242,93,278,535,52.0,257,310,81,229,246,857,711,17,14053,17007,82.6,238026,84290,6696,7368,90.9,5789,6541,88.5,1168,2142,54.5,26.9,1.6,356,1008,246,53,15334,1613,545,84,517,665,151,39,61,0,60,327,158,34.6,13.44,4.65,0.09,0.25,17.9,0.09,-1.7,-0.2,54.2,20674,2100,6907,9203,4749,707,20672,567,242,42.7,260,45.9,12585,62879,31006,185,523,327,13889,1189,48,1.41,128,80,68.0,11,9,14,6,17.6,7,0,6,0,39.9,0.27,-8.1,-0.24,1040,142,32.7,32.2,172,15.7,20.6,388,26,6.7,56,1.65,12.2,90,100,82,206,167,18,275,1.24,44,48,-4,-0.12,40.7,37.4,3.2,0.1,3,460,246,1,7,1408,427,444,49.0,/es/equipos/28c9c3cd/Estadisticas-de-Como
Empoli,34,26.2,41.1,34,374,"3,060",34.0,26,17,43,24,2,3,58,4,29.5,27.1,21.3,48.4,370,889,0.76,0.5,1.26,0.71,1.21,0.87,0.63,1.49,0.8,1.42,557,16.38,399,42,36,31,32,17,42,1.24,29,2,5,3,2,1,634,361,292,269,73,286,501,57.1,215,362,129,233,299,933,959,19,8958,12354,72.5,165046,66217,3602,4356,82.7,4016,4903,81.9,1031,2293,45.0,17.9,-4.3,235,705,188,65,10637,1667,441,60,537,686,145,60,42,0,50,276,92,28.7,9.44,2.71,0.07,0.26,18.9,0.09,-3.5,-3.1,41.1,16266,2125,5921,7150,3381,506,16263,442,189,42.8,207,46.8,7524,38287,17964,95,536,315,8861,881,54,1.59,148,94,64.2,4,13,17,6,17.6,1,0,7,1,46.3,0.31,-6.7,-0.2,827,111,60.3,41.8,307,30.0,27.3,522,34,6.5,17,0.5,12.6,90,100,82,218,153,19,256,0.74,27,54,-27,-0.79,29.5,46.1,-16.6,-0.49,1,506,299,3,3,1333,512,621,45.2,/es/equipos/a3d88bd8/Estadisticas-de-Empoli
Fiorentina,34,27.0,49.6,34,374,"3,060",34.0,51,35,86,45,6,8,70,2,42.3,36.1,29.9,66.0,543,1098,1.5,1.03,2.53,1.32,2.35,1.24,0.88,2.12,1.06,1.94,694,20.41,498,52,45,43,44,12,88,2.59,58,7,7,8,8,0,476,283,240,170,66,229,446,51.3,217,313,108,205,243,719,838,17,12341,15319,80.6,228162,80895,5027,5661,88.8,5647,6484,87.1,1388,2431,57.1,24.2,5.1,288,833,213,65,13666,1574,537,88,515,574,129,55,36,1,79,258,140,36.9,11.15,4.12,0.12,0.32,17.9,0.1,8.7,8.9,49.6,18856,2171,6507,8677,3857,589,18848,542,241,44.5,229,42.3,10995,58968,28445,147,489,279,12214,1085,34,1.0,134,99,75.4,17,8,9,12,35.3,1,0,1,1,35.0,0.25,2.0,0.06,830,130,41.3,35.9,267,49.4,40.2,461,14,3.0,31,0.91,14.7,90,100,81,210,162,21,228,1.74,53,34,19,0.56,42.3,36.4,5.9,0.17,2,388,243,6,3,1275,458,442,50.9,/es/equipos/421387cf/Estadisticas-de-Fiorentina
Genoa,35,27.0,45.8,34,374,"3,060",34.0,28,21,49,28,0,2,66,1,33.9,32.3,24.4,56.6,415,907,0.82,0.62,1.44,0.82,1.44,1.0,0.72,1.71,0.95,1.67,596,17.53,415,72,19,41,39,10,48,1.41,34,6,0,6,2,0,612,353,260,256,96,250,497,50.3,247,372,109,263,275,887,840,14,10820,14141,76.5,199325,73976,4305,5030,85.6,5130,6034,85.0,1114,2256,49.4,20.3,-3.4,257,681,183,67,12500,1589,458,52,600,643,139,52,75,0,52,300,103,29.7,10.21,3.03,0.08,0.27,17.9,0.09,-5.9,-4.3,45.8,18051,2225,6660,7944,3606,587,18049,455,167,36.7,237,52.1,8828,47323,22874,99,535,267,10716,896,41,1.21,132,91,73.5,9,12,13,11,32.4,6,0,5,2,43.1,0.28,4.1,0.12,837,128,36.6,33.7,275,46.2,39.3,468,23,4.9,16,0.47,11.1,90,100,81,224,151,22,289,1.15,29,41,-12,-0.35,33.9,41.8,-7.9,-0.23,0,436,275,1,8,1323,605,629,49.0,/es/equipos/658bf2de/Estadisticas-de-Genoa
Hellas Verona,32,25.8,38.9,34,374,"3,060",34.0,27,17,44,25,2,2,87,9,31.0,29.4,23.0,52.4,421,919,0.79,0.5,1.29,0.74,1.24,0.91,0.68,1.59,0.87,1.54,584,17.18,423,58,29,35,28,11,41,1.21,25,4,3,5,2,2,610,385,300,240,70,284,534,53.2,250,351,113,238,302,912,852,23,9033,12235,73.8,163776,63390,4023,4703,85.5,3777,4529,83.4,982,2282,43.0,18.8,-6.0,251,758,177,55,10744,1440,359,83,504,566,140,64,58,1,51,253,87,25.7,9.97,2.56,0.07,0.29,17.7,0.09,-4.0,-4.4,38.9,15996,1835,5439,7280,3462,485,15994,469,209,44.6,216,46.1,7960,43477,20415,94,477,240,8950,911,62,1.82,157,95,61.1,9,5,20,8,23.5,1,0,6,1,50.1,0.32,-10.9,-0.32,717,90,58.9,48.8,279,88.2,58.7,486,29,6.0,23,0.68,22.3,90,100,79,206,161,23,329,0.94,30,62,-32,-0.94,31.0,49.3,-18.3,-0.54,5,509,302,1,3,1282,590,620,48.8,/es/equipos/0e72edf2/Estadisticas-de-Hellas-Verona
Inter,25,30.2,59.6,34,374,"3,060",34.0,69,53,122,63,6,7,48,1,60.5,55.4,44.2,99.6,619,1578,2.03,1.56,3.59,1.85,3.41,1.78,1.3,3.08,1.63,2.93,953,28.03,724,92,29,59,37,12,121,3.56,93,8,4,9,6,1,458,263,190,186,82,217,415,52.3,198,311,105,206,207,665,591,10,17124,19980,85.7,304337,96222,7297,8001,91.2,7963,8802,90.5,1562,2373,65.8,45.1,8.8,405,1237,370,111,18485,1412,400,113,695,568,205,53,115,1,83,263,163,31.0,15.44,4.79,0.12,0.39,16.3,0.11,8.5,7.6,59.6,23251,2156,6744,10865,5802,946,23244,360,134,37.2,181,50.3,14340,72272,36101,134,381,223,16980,1565,33,0.97,118,85,73.7,21,8,5,13,38.2,2,0,3,1,32.5,0.25,0.5,0.01,1184,136,18.5,26.8,172,19.2,25.6,384,16,4.2,14,0.41,13.1,90,100,80,206,169,22,242,2.09,72,33,39,1.15,60.5,31.4,29.2,0.86,1,381,207,5,3,1292,561,387,59.2,/es/equipos/d609edc0/Estadisticas-de-Internazionale
Juventus,29,25.4,58.1,34,374,"3,060",34.0,49,34,83,44,5,5,58,2,45.8,42.0,31.9,73.9,744,1438,1.44,1.0,2.44,1.29,2.29,1.35,0.94,2.29,1.23,2.17,813,23.91,625,46,51,51,26,14,83,2.44,60,4,8,7,2,2,544,313,244,222,78,242,429,56.4,187,368,125,243,177,721,591,25,16930,19598,86.4,293757,89813,7700,8361,92.1,7600,8316,91.4,1347,2200,61.2,29.9,2.1,350,1290,274,62,18155,1399,367,97,575,589,166,83,65,0,44,254,160,35.0,13.44,4.71,0.1,0.28,17.4,0.09,3.2,2.0,58.1,23082,2038,6944,10973,5352,755,23077,594,284,47.8,267,44.9,14194,80570,41905,189,499,263,16774,1426,31,0.91,104,73,75.0,16,14,4,16,47.1,5,0,6,0,27.7,0.23,-3.3,-0.1,848,140,29.5,29.4,213,33.8,30.8,446,28,6.3,29,0.85,14.0,90,100,82,230,144,20,183,1.82,51,31,20,0.59,45.8,30.7,15.1,0.44,1,424,177,2,5,1361,412,415,49.8,/es/equipos/e0652b02/Estadisticas-de-Juventus
