Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Semih Kılıçsoy,trTUR,"CC,DL",19-258,28,11,"1,254",13.9,3,2,5,2,1,1,3,1,0.22,0.14,0.36,0.14,0.29,Partidos,33,13,39.4,2.37,0.93,0.06,0.15,,,,,,,,,,,,,,,,,,45,43.5,77,5,17,24,2,1.79,23,16,+7,+0.50,-0.05,0,35,27,9,10,3,9,,,/es/jugadores/3064f033/Semih-Kilicsoy
Tayyib Talha Sanuç,trTUR,DF,25-134,15,7,540,6.0,0,0,0,0,0,0,1,2,0.00,0.00,0.00,0.00,0.00,Partidos,2,0,0.0,0.33,0.00,0.00,,,,,,,,,,,,,,,,,,,36,18.8,67,1,8,9,9,1.53,8,8,0,0.00,-0.65,0,10,1,0,2,9,9,,,/es/jugadores/7d4f9ee6/Tayyib-Talha-Sanuc
Cher Ndour,itITA,CC,20-277,12,6,678,7.5,1,2,3,1,0,0,0,0,0.13,0.27,0.40,0.13,0.40,Partidos,5,2,40.0,0.66,0.27,0.20,0.50,,,,,,,,,,,,,,,,,,57,23.5,88,5,6,25,5,1.75,12,8,+4,+0.53,0.00,0,12,2,0,0,8,16,,,/es/jugadores/3b88609d/Cher-Ndour
Salih Uçan,trTUR,CC,31-114,17,6,493,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,10,3,30.0,1.83,0.55,0.00,0.00,,,,,,,,,,,,,,,,,,29,17.1,67,0,11,9,14,1.47,6,7,-1,-0.18,-0.86,0,17,10,0,8,6,12,,,/es/jugadores/fe154b26/Salih-Ucan
Mustafa Hekimoğlu,trTUR,"CC,DL",18-008,15,3,412,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,10,3,30.0,1.88,0.56,0.00,0.00,,,,,,,,,,,,,,,,,,30,16.6,66,0,12,18,16,1.69,10,9,+1,+0.19,-0.41,0,23,12,2,2,3,8,,,/es/jugadores/9a65ae7c/Mustafa-Hekimoglu
Baktiyor Zainutdinov,kzKAZ,DF,27-028,9,3,347,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,0.26,0.00,0.00,,,,,,,,,,,,,,,,,,,39,12.0,83,2,6,16,7,1.56,7,5,+2,+0.52,-0.01,0,3,9,0,6,6,3,,,/es/jugadores/b8441408/Baktiyor-Zainutdinov
,,Tiempo Jugado,Rendimiento,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,
Onur Bulut,trTUR,DF,31-014,16,2,403,4.5,0,1,1,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Partidos,2,2,100.0,0.45,0.45,0.00,0.00,,,,,,,,,,,,,,,,,,24,14.0,90,2,15,15,12,1.76,7,8,-1,-0.22,-0.88,0,5,6,0,9,5,3,,,/es/jugadores/32e96d52/Onur-Bulut
Amir Hadžiahmetović,baBIH,CC,28-053,6,2,279,3.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,53,12.8,90,2,4,25,4,2.29,9,3,+6,+1.47,+1.07,0,2,2,0,2,4,5,,,/es/jugadores/e8213ed3/Amir-Hadziahmetovic
Omar Colley,gmGAM,DF,32-188,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,90,6.3,90,2,0,,0,3.00,6,2,+4,+2.00,+1.57,0,4,0,0,0,0,4,,,/es/jugadores/8b95acda/Omar-Colley
Ersin Destanoğlu,trTUR,PO,24-119,1,1,90,1.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,2.0,2.0,6.0,4.0,66.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,90,3.1,90,1,0,,27,1.33,5,3,+2,+2.00,+1.52,0,0,0,0,0,0,0,,,/es/jugadores/52b3c895/Ersin-Destanoglu
Can Keles,atAUT,CC,23-240,3,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,4,1,25.0,4.00,1.00,0.00,0.00,,,,,,,,,,,,,,,,,,30,3.1,72,0,2,9,12,0.33,1,3,-2,-2.00,-2.61,0,0,2,0,7,0,1,,,/es/jugadores/b1e202b4/Can-Keles
Serkan Terzi,trTUR,DF,21-115,1,1,74,0.8,0,1,1,0,0,0,0,0,0.00,1.22,1.22,0.00,1.22,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,68,4.7,68,0,0,,11,3.00,5,1,+4,+2.67,+2.24,0,3,0,0,2,7,0,,,/es/jugadores/7dcbd768/Serkan-Terzi
Keny Arroyo,ecECU,CC,19-075,7,0,121,1.3,1,0,1,1,0,0,0,0,0.74,0.00,0.74,0.74,0.74,Partidos,7,1,14.3,5.21,0.74,0.14,1.00,,,,,,,,,,,,,,,,,,17,4.2,,0,7,17,4,1.43,3,1,+2,+1.49,+1.00,0,1,1,1,16,0,1,,,/es/jugadores/a9c426f6/Keny-Arroyo
Jean Onana,cmCMR,CC,25-112,3,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,16,1.6,,0,3,16,6,3.00,2,0,+2,+3.83,+3.35,0,0,1,0,0,1,1,,,/es/jugadores/b5bb8188/Jean-Onana
Necip Uysal,trTUR,"DF,CC",34-096,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,45,1.6,,0,1,45,2,3.00,0,0,0,0.00,-0.54,0,1,0,0,0,1,1,,,/es/jugadores/2f7af524/Necip-Uysal
Jackson Muleka,cdCOD,"DL,CC",25-208,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,7.50,0.00,0.00,,,,,,,,,,,,,,,,,,,12,0.4,,0,1,12,0,3.00,0,0,0,0.00,-0.53,0,0,1,0,0,0,0,,,/es/jugadores/383e8f03/Jackson-Muleka
Fahri Ay,trTUR,CC,20-119,2,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,,,,,,,,,,,,,,,,,2,0.1,,0,2,2,6,2.00,1,0,+1,+30.00,+29.50,0,0,0,0,0,0,0,,,/es/jugadores/a0b62e11/Fahri-Ay
Göktuğ Baytekin,,PO,20-161,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,7,,,,,,,,,,,,,,,,/es/jugadores/b60a3266/Goktug-Baytekin
Arda Berk Özüarap,,DF,19-325,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,2,,,,,,,,,,,,,,,,/es/jugadores/d243b87d/Arda-Berk-Ozuarap
Yakup Kılıç,,DF,20-116,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,9,,,,,,,,,,,,,,,,/es/jugadores/a0f70d5d/Yakup-Kilic
Elan Ricardo,coCOL,CC,21-069,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/e848e971/Elan-Ricardo
Demir Tıknaz,trTUR,CC,20-256,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/65c081c1/Demir-Tiknaz
Emir Yaşar,trTUR,PO,19-104,0,0,,,,,,,,,,,,,,,,Partidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1,,,,,,,,,,,,,,,,/es/jugadores/fcabeb52/Emir-Yasar
