Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Fred,brBRA,CC,32-056,27,25,"2,233",24.8,5,4,9,5,0,0,6,0,0.20,0.16,0.36,0.20,0.36,Partidos,41,15,36.6,1.59,0.58,0.12,0.33,,,,,,,,,,,,,,,,,,83,80.4,87,18,2,33,1,2.32,67,27,+40,+1.55,+0.28,0,34,59,1,20,30,28,,,/es/jugadores/b853e0ad/Fred
Dušan Tadić,rsSRB,CC,36-161,31,25,"2,201",24.5,11,11,22,8,3,3,2,0,0.45,0.45,0.90,0.33,0.78,Partidos,38,20,52.6,1.52,0.80,0.21,0.40,,,,,,,,,,,,,,,,,,70,78.0,81,10,7,31,0,2.34,67,24,+43,+1.72,+1.01,0,21,35,11,140,13,17,,,/es/jugadores/2475dcc6/Dusan-Tadic
Sebastian Szymański,plPOL,CC,25-355,30,23,"2,075",23.1,3,5,8,3,0,0,4,0,0.13,0.22,0.35,0.13,0.35,Partidos,38,10,26.3,1.61,0.42,0.08,0.30,,,,,,,,,,,,,,,,,,68,73.6,81,10,7,24,0,2.32,64,23,+41,+1.74,+0.91,0,26,38,4,94,10,24,,,/es/jugadores/bb718263/Sebastian-Szymanski
Edin Džeko,baBIH,DL,39-044,31,22,"2,044",22.7,13,4,17,10,3,4,1,0,0.57,0.18,0.75,0.44,0.62,Partidos,97,41,42.3,4.20,1.78,0.10,0.24,,,,,,,,,,,,,,,,,,65,72.1,83,9,10,26,0,2.34,59,20,+39,+1.69,+0.68,0,18,44,15,24,2,5,,,/es/jugadores/3bb7f478/Edin-Dzeko
Dominik Livaković,hrCRO,PO,30-111,20,20,"1,742",19.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,20.0,1.03,55.0,37.0,67.3,14.0,4.0,2.0,8.0,40.0,2.0,2.0,2.0,2.0,0.0,0.0,87,60.5,87,19,0,,5,2.30,49,20,+29,+1.50,0.00,0,0,2,0,0,0,0,,,/es/jugadores/58f077c0/Dominik-Livakovic
Youssef En-Nesyri,maMAR,DL,27-333,29,18,"1,691",18.8,16,4,20,16,0,0,4,0,0.85,0.21,1.06,0.85,1.06,Partidos,95,37,38.9,4.86,1.89,0.17,0.43,,,,,,,,,,,,,,,,,,59,61.1,80,9,11,22,1,2.30,52,22,+30,+1.53,+0.09,0,18,16,15,11,2,7,,,/es/jugadores/04e17fd5/Youssef-En-Nesyri
Filip Kostić,rsSRB,"CC,DF",32-180,23,18,"1,599",17.8,1,4,5,1,0,0,4,0,0.06,0.23,0.28,0.06,0.28,Partidos,14,5,35.7,0.79,0.28,0.07,0.20,,,,,,,,,,,,,,,,,,70,55.5,80,10,5,32,1,2.43,43,17,+26,+1.46,-0.08,0,24,10,4,157,13,23,,,/es/jugadores/b1cd37e6/Filip-Kostic
Çağlar Söyüncü,trTUR,DF,28-342,23,18,"1,526",17.0,1,1,2,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,Partidos,11,4,36.4,0.63,0.23,0.09,0.25,,,,,,,,,,,,,,,,,,66,55.0,77,14,5,23,2,2.33,45,19,+26,+1.48,-0.05,0,20,18,1,3,28,26,,,/es/jugadores/21166ff4/Caglar-Soyuncu
Mert Müldür,trTUR,DF,26-027,25,17,"1,567",17.4,2,2,4,2,0,0,2,0,0.11,0.11,0.23,0.11,0.23,Partidos,16,3,18.8,0.87,0.16,0.13,0.67,,,,,,,,,,,,,,,,,,64,57.5,85,12,8,16,2,2.19,47,19,+28,+1.52,+0.05,0,14,17,2,30,38,25,,,/es/jugadores/1295552e/Mert-Muldur
Alexander Djiku,ghGHA,DF,30-264,22,17,"1,412",15.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Partidos,8,2,25.0,0.50,0.12,0.00,0.00,,,,,,,,,,,,,,,,,,63,50.1,76,10,6,26,4,2.26,32,17,+15,+0.93,-1.13,0,29,15,0,0,41,13,,,/es/jugadores/43e7a164/Alexander-Djiku
