Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Hamza Choudhury,"€ 41,509","€ 2,158,466",,"May 31, 2025",1,"€ 2,158,466",
Ben Brereton,"€ 41,509","€ 2,158,466",,"May 31, 2025",1,"€ 2,158,466",
Rhian Brewster,"€ 41,509","€ 2,158,466",,"Jun 30, 2025",1,"€ 2,158,466",
Anel Ahmedhodzic,"€ 35,579","€ 1,850,114",,"Jun 30, 2026",2,"€ 3,700,228",
Gustavo Hamer,"€ 35,579","€ 1,850,114",,"Jun 30, 2027",3,"€ 5,550,342",
Rob Holding,"€ 35,579","€ 1,850,114",,"May 31, 2025",1,"€ 1,850,114",
Vinicius Souza,"€ 35,579","€ 1,850,114",,"Jun 30, 2027",3,"€ 5,550,342",
Tom Davies,"€ 35,579","€ 1,850,114",,"Jun 30, 2026",2,"€ 3,700,228",
Adam Davies,"€ 29,649","€ 1,541,762",,"Jun 30, 2026",2,"€ 3,083,523",
Jack Robinson,"€ 29,649","€ 1,541,762",,"Jun 30, 2025",1,"€ 1,541,762",
Kieffer Moore,"€ 29,649","€ 1,541,762",,"Jun 30, 2027",3,"€ 4,625,285",
Rhys Norrington-Davies,"€ 29,649","€ 1,541,762",,"Jun 30, 2027",3,"€ 4,625,285",
Tom Cannon,"€ 29,649","€ 1,541,762",,"Jun 30, 2029",5,"€ 7,708,808",
Michael Cooper,"€ 20,754","€ 1,079,233",,"Jun 30, 2025",1,"€ 1,079,233",
Tyrese Campbell,"€ 17,790","€ 925,057",,"Jun 30, 2027",3,"€ 2,775,171",
Andre Brooks,"€ 17,790","€ 925,057",,"Jun 30, 2027",3,"€ 2,775,171",
Sam McCallum,"€ 17,790","€ 925,057",,"Jun 30, 2028",4,"€ 3,700,228",
Callum O'Hare,"€ 17,790","€ 925,057",,"Jun 30, 2028",4,"€ 3,700,228",
Harrison Burrows,"€ 14,825","€ 770,881",,"Jun 30, 2028",4,"€ 3,083,523",
Harry Clarke,"€ 11,860","€ 616,705",,"May 31, 2025",1,"€ 616,705",
Femi Seriki,"€ 11,860","€ 616,705",,"Jun 30, 2027",3,"€ 1,850,114",
Jamie Shackleton,"€ 8,895","€ 462,528",,"Jun 30, 2027",3,"€ 1,387,585",
Alfie Gilchrist,"€ 8,302","€ 431,693",,"May 31, 2025",1,"€ 431,693",
Jefferson Cáceres,"€ 5,930","€ 308,352",,"Jun 30, 2027",3,"€ 925,057",
Jesurun Rak-Sakyi,"€ 5,930","€ 308,352",,"May 31, 2025",1,"€ 308,352",
Sydie Peck,"€ 3,558","€ 185,011",,"Jun 30, 2028",4,"€ 740,046",
Oliver Arblaster,"€ 2,372","€ 123,341",,"Jun 30, 2028",4,"€ 493,364",
Christian Nwachukwu,"€ 2,372","€ 123,341",,"Jun 30, 2027",3,"€ 370,023",
Ryan Oné,"€ 1,186","€ 61,670",,"Jun 30, 2029",5,"€ 308,352",
Ivo Grbic,,,,"Jun 30, 2027",3,,
