Equipo,PL,Edad,Pos.,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls./90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,ACT,SCA90,PassLive,PassDead,HASTA,Dis,FR,Def,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,TklG,3.º_def,3.º_cent,3.º_ataq,Tkl_regateadores,Desafíos_totales,Tkl_%,Desafíos_perdidos,Bloqueos_totales,Dis_bloqueados,Pases_bloqueados,Intercepciones,Tkl+Int,Despeje,Errores,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (Cortos),Int. (Cortos),% Cmp (Cortos),Cmp (Medios),Int. (Medios),% Cmp (Medios),Cmp (Largos),Int. (Largos),% Cmp (Largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,Bloqueos,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Pos,Toques,Def_pen,3º_def,3º_cent,3º_ataq,Ataq_pen,Balón_vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist_tot,Dist_prg,TAP,Errores_control,Des,Rec,PrgR,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,TL,TE,GC (Propio),PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,Int. (Meta),%deLanzamientos (Meta),Long. prom. (Meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2a amarilla,Fls,Int,Penal ejecutado,Penal concedido,Recup.,Ganados,Perdidos,% de ganados,link
Augsburg,29,27.6,43.3,31,341,"2,790",31.0,33,25,58,32,1,2,77,4,29.3,27.7,21.1,48.8,405,1025,1.06,0.81,1.87,1.03,1.84,0.95,0.68,1.63,0.89,1.58,607,19.58,434,66,31,39,32,5,60,1.94,40,7,5,4,3,1,432,277,187,189,56,220,399,55.1,179,385,113,272,320,752,901,15,10219,13292,76.9,188215,74306,4336,5069,85.5,4569,5341,85.5,1110,2136,52.0,29.1,3.9,253,780,217,62,11775,1464,378,44,509,602,138,54,57,1,53,328,100,29.1,11.1,3.23,0.09,0.32,17.7,0.08,3.7,4.3,43.3,17039,2051,5640,7442,4144,598,17037,502,207,41.2,253,50.4,8930,42793,20934,89,535,270,10128,1013,42,1.35,138,98,72.5,11,10,10,11,35.5,4,1,3,2,42.6,0.29,2.6,0.08,884,113,41.4,35.2,273,57.5,44.1,521,20,3.8,40,1.29,14.7,90,100,80,195,143,23,134,1.39,33,42,-9,-0.29,29.3,42.5,-13.2,-0.42,2,334,320,2,4,1332,486,450,51.9,/es/equipos/0cdc4311/Estadisticas-de-Augsburg
Bayern Munich,29,28.4,68.3,31,341,"2,790",31.0,87,58,145,78,9,10,46,1,76.2,68.4,54.8,123.3,741,1930,2.81,1.87,4.68,2.52,4.39,2.46,1.77,4.23,2.21,3.98,1062,34.26,821,59,82,54,35,11,144,4.65,98,5,17,13,8,3,465,278,151,218,96,224,405,55.3,181,290,46,244,218,683,458,21,20920,23638,88.5,344869,107630,10436,11176,93.4,8728,9487,92.0,1402,2115,66.3,68.4,3.2,462,1954,421,64,22310,1275,335,106,564,540,205,117,23,1,53,309,235,40.7,18.65,7.58,0.13,0.33,16.6,0.12,10.8,9.6,68.3,27004,1485,5604,13686,7878,1103,26994,728,349,47.9,328,45.1,16561,82428,41449,231,447,241,20791,1917,29,0.94,66,37,57.6,23,6,2,14,45.2,1,0,4,0,24.0,0.37,-5.0,-0.16,1113,109,22.5,28.2,135,22.2,26.8,243,12,4.9,63,2.03,12.3,90,100,82,204,137,21,142,2.42,90,29,61,1.97,76.2,22.3,53.9,1.74,0,279,218,6,2,1520,388,298,56.6,/es/equipos/054efa67/Estadisticas-de-Bayern-Munich
Bochum,26,28.8,45.3,31,341,"2,790",31.0,29,21,50,28,1,3,67,2,38.3,35.8,27.4,63.2,339,977,0.94,0.68,1.61,0.9,1.58,1.24,0.88,2.12,1.16,2.04,679,21.9,485,79,21,49,32,13,47,1.52,26,5,3,8,3,2,543,324,289,184,70,284,534,53.2,250,438,127,311,275,818,810,21,9323,12917,72.2,184511,78226,3482,4206,82.8,4332,5340,81.1,1327,2598,51.1,32.4,-6.4,283,768,215,72,11363,1499,326,37,623,657,151,97,49,0,55,337,118,29.6,12.87,3.81,0.07,0.24,17.6,0.09,-9.3,-7.8,45.3,16644,2047,5733,7287,3777,623,16641,391,150,38.4,227,58.1,8180,38833,17319,72,476,207,9219,965,64,2.06,141,75,56.7,4,7,20,3,9.7,3,2,7,0,56.1,0.37,-7.9,-0.25,974,87,54.7,37.6,271,75.6,50.7,425,16,3.8,45,1.45,15.8,90,100,82,200,139,20,140,0.68,30,63,-33,-1.06,38.3,60.2,-21.9,-0.71,1,431,275,3,6,1305,670,608,52.4,/es/equipos/b42c6323/Estadisticas-de-Bochum
Dortmund,28,27.4,59.2,31,341,"2,790",31.0,58,47,105,54,4,5,66,6,55.2,51.3,42.8,94.2,633,1428,1.87,1.52,3.39,1.74,3.26,1.78,1.38,3.16,1.66,3.04,787,25.39,572,56,69,54,24,12,104,3.35,74,4,11,8,4,3,478,292,216,179,83,236,441,53.5,205,345,93,252,221,699,644,18,15593,18598,83.8,270283,90429,7077,7777,91.0,6917,7694,89.9,1285,2271,56.6,45.7,4.2,343,1209,296,81,17093,1465,406,86,654,601,180,96,51,3,40,297,142,32.3,14.19,4.58,0.12,0.38,16.0,0.12,2.8,2.7,59.2,22133,1999,6510,10584,5226,834,22128,680,314,46.2,301,44.3,13243,65401,33279,193,464,290,15446,1420,49,1.58,126,77,64.3,14,6,11,5,16.1,4,0,5,1,46.2,0.35,-1.8,-0.06,1039,119,26.1,34.8,201,35.3,30.1,395,20,5.1,42,1.35,14.8,90,100,81,198,139,21,136,1.55,60,49,11,0.35,55.2,39.1,16.0,0.52,3,297,221,4,4,1360,444,386,53.5,/es/equipos/add600ae/Estadisticas-de-Dortmund
Eint Frankfurt,26,25.6,49.7,31,341,"2,790",31.0,62,41,103,59,3,5,49,1,60.1,56.4,41.0,97.5,546,1238,2.0,1.32,3.32,1.9,3.23,1.94,1.32,3.26,1.82,3.14,793,25.58,549,62,54,74,35,19,105,3.39,61,8,15,12,5,4,523,318,242,202,79,261,477,54.7,216,400,121,279,267,790,869,26,12871,15774,81.6,214639,79232,6210,6850,90.7,5307,6100,87.0,996,1984,50.2,40.8,0.0,329,934,287,50,14377,1343,353,61,500,511,157,92,46,0,54,272,159,35.5,14.45,5.13,0.13,0.37,16.4,0.13,1.9,2.6,49.7,19576,2380,6787,8700,4267,814,19571,567,278,49.0,250,44.1,11349,55084,27564,178,515,243,12760,1229,42,1.35,157,115,73.9,16,7,8,9,29.0,1,0,10,2,46.3,0.29,6.3,0.2,875,145,34.7,28.9,250,28.0,27.7,486,35,7.2,37,1.19,12.9,90,100,81,190,150,21,129,1.77,62,42,20,0.65,60.1,45.1,15.1,0.49,1,304,267,2,3,1374,397,386,50.7,/es/equipos/f0ac8ee6/Estadisticas-de-Eintracht-Frankfurt
Freiburg,26,28.0,49.2,31,341,"2,790",31.0,42,32,74,42,0,4,51,2,41.2,38.1,27.7,65.8,418,1062,1.35,1.03,2.39,1.35,2.39,1.33,0.89,2.22,1.23,2.12,671,21.65,472,57,35,55,41,11,77,2.48,55,6,3,8,4,1,466,291,207,207,52,218,428,50.9,210,366,105,261,249,715,711,19,12084,15312,78.9,215125,77863,5179,5938,87.2,5455,6309,86.5,1119,2194,51.0,33.5,4.3,266,900,234,70,13983,1279,318,52,531,538,119,70,35,0,50,305,125,32.8,12.29,4.03,0.11,0.34,17.1,0.11,0.8,3.9,49.2,18653,2070,6218,8514,4059,656,18649,454,205,45.2,220,48.5,9574,50451,24857,113,409,231,11884,1054,47,1.52,139,91,67.6,15,6,10,11,35.5,2,1,6,1,44.9,0.31,-1.1,-0.03,1128,132,34.7,35.4,227,49.8,40.8,438,36,8.2,34,1.1,12.3,90,100,82,196,144,18,135,1.65,44,47,-3,-0.1,41.2,39.2,2.0,0.06,1,280,249,3,4,1267,534,543,49.6,/es/equipos/a486e511/Estadisticas-de-Freiburg
Gladbach,26,27.3,49.9,31,341,"2,790",31.0,49,36,85,45,4,5,52,3,46.6,42.5,34.2,76.7,467,1015,1.58,1.16,2.74,1.45,2.61,1.5,1.1,2.6,1.37,2.47,655,21.13,477,65,24,46,29,14,87,2.81,69,6,2,5,4,1,464,259,254,161,49,220,426,51.6,206,407,148,259,278,742,966,21,12996,16062,80.9,225404,79778,5968,6667,89.5,5598,6453,86.8,1150,2114,54.4,31.7,1.8,274,781,249,81,14573,1432,366,66,550,587,138,60,62,0,57,323,137,37.1,11.9,4.42,0.12,0.33,16.3,0.12,2.4,2.5,49.9,19693,2656,7590,8589,3660,636,19688,439,193,44.0,215,49.0,10746,53459,26795,118,383,250,12856,1008,50,1.62,168,119,74.4,13,5,13,7,22.6,7,1,5,2,52.0,0.28,4.0,0.13,1134,141,29.3,31.8,261,32.6,29.3,547,34,6.2,25,0.81,16.9,90,100,83,189,150,16,129,1.42,51,50,1,0.03,46.6,57.4,-10.8,-0.35,2,319,278,5,8,1200,485,435,52.7,/es/equipos/32f3ee20/Estadisticas-de-Monchengladbach
Heidenheim,26,27.7,42.9,31,341,"2,790",31.0,33,22,55,28,5,5,63,1,36.9,33.0,26.1,59.1,466,873,1.06,0.71,1.77,0.9,1.61,1.19,0.84,2.03,1.06,1.91,639,20.61,440,66,37,46,42,8,53,1.71,30,6,3,9,4,1,572,330,301,222,49,284,532,53.4,248,404,101,303,290,862,872,14,9950,13213,75.3,193610,75168,3684,4463,82.5,4751,5603,84.8,1304,2444,53.4,29.0,-4.1,263,742,210,79,11670,1496,374,71,529,638,126,67,39,0,47,309,109,30.5,11.52,3.52,0.08,0.26,17.2,0.1,-3.9,-5.0,42.9,16995,2209,6624,7137,3439,567,16990,472,207,43.9,222,47.0,9033,47081,23744,86,484,211,9866,858,60,1.94,161,101,65.8,7,4,20,7,22.6,5,0,6,0,56.4,0.33,-3.6,-0.11,962,144,33.0,34.2,269,37.2,37.1,434,20,4.6,18,0.58,11.9,90,100,80,194,147,23,132,0.81,33,60,-27,-0.87,36.9,53.7,-16.8,-0.54,0,359,290,3,5,1284,506,586,46.3,/es/equipos/18d9d2a7/Estadisticas-de-Heidenheim
Hoffenheim,34,27.2,49.1,31,341,"2,790",31.0,40,24,64,37,3,3,64,2,39.1,36.8,30.1,66.9,437,1105,1.29,0.77,2.06,1.19,1.97,1.26,0.97,2.23,1.19,2.16,701,22.61,523,63,35,41,34,5,70,2.26,49,6,5,6,4,0,528,308,246,218,64,248,475,52.2,227,414,131,283,259,787,827,21,11775,15143,77.8,206221,78557,5282,6045,87.4,5012,5996,83.6,1108,2219,49.9,36.5,-6.1,289,949,276,103,13625,1459,381,57,681,638,143,52,59,2,59,315,131,33.5,12.61,4.23,0.09,0.28,17.7,0.1,0.9,0.2,49.1,18856,2154,6116,8404,4490,687,18853,451,209,46.3,211,46.8,9907,46984,22802,109,410,278,11674,1096,58,1.87,156,97,64.7,7,9,15,4,12.9,3,0,7,2,58.3,0.36,2.3,0.07,943,137,42.8,38.7,209,46.4,37.8,449,20,4.5,33,1.06,11.8,90,100,80,199,140,22,137,0.97,40,58,-18,-0.58,39.1,51.9,-12.8,-0.41,0,364,259,2,6,1342,518,539,49.0,/es/equipos/033ea6b8/Estadisticas-de-Hoffenheim
Holstein Kiel,27,26.3,44.1,31,341,"2,790",31.0,45,27,72,42,3,4,73,3,36.3,33.2,24.3,57.5,334,818,1.45,0.87,2.32,1.35,2.23,1.17,0.78,1.96,1.07,1.85,609,19.65,427,71,19,47,36,9,74,2.39,45,8,4,9,5,3,491,295,259,165,67,252,481,52.4,229,381,144,237,271,762,992,19,9746,12884,75.6,186680,73483,3748,4393,85.3,4669,5535,84.4,1170,2356,49.7,25.5,2.7,249,635,167,64,11364,1478,378,52,447,601,117,57,46,1,42,271,125,36.4,11.06,4.03,0.12,0.34,17.5,0.1,8.7,8.8,44.1,16708,2571,7113,6917,2826,533,16704,389,168,43.2,184,47.3,7796,37796,18078,74,460,222,9665,804,74,2.39,176,104,60.8,5,7,19,2,6.5,5,3,6,3,59.3,0.31,-11.7,-0.38,971,152,38.7,32.1,277,58.1,44.8,596,36,6.0,22,0.71,9.4,90,100,79,191,149,24,129,0.71,45,74,-29,-0.94,36.3,53.9,-17.6,-0.57,2,372,271,3,6,1170,494,557,47.0,/es/equipos/2ac661d9/Estadisticas-de-Holstein-Kiel
