Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Ali Aytemur,trTUR,DF,29-027,28,28,"2,517",28.0,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Partidos,14,4,28.6,0.50,0.14,0.07,0.25,,,,,,,,,,,,,,,,,,90,87.4,90,27,0,,1,1.21,23,28,-5,-0.18,+1.80,0,18,12,0,0,25,18,,,/es/jugadores/13d8a4d0/Ali-Aytemur
Diogo Fesnard Sousa,ptPOR,PO,26-226,28,27,"2,491",27.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,26.0,0.94,103.0,78.0,75.7,9.0,6.0,12.0,12.0,44.4,1.0,1.0,1.0,1.0,0.0,0.0,89,86.5,90,27,1,61,3,1.18,20,26,-6,-0.22,+1.40,0,0,5,0,0,0,0,,,/es/jugadores/408f410d/Diogo-Fesnard-Sousa
Fredy,aoANG,CC,35-034,30,27,"2,398",26.6,3,1,4,3,0,0,1,1,0.11,0.04,0.15,0.11,0.15,Partidos,45,12,26.7,1.69,0.45,0.07,0.25,,,,,,,,,,,,,,,,,,80,83.3,84,15,3,40,0,0.93,19,24,-5,-0.19,+1.31,0,38,53,7,116,28,40,,,/es/jugadores/91d6f393/Fredy
Arlind Ajeti,alALB,DF,31-217,26,25,"2,258",25.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Partidos,6,1,16.7,0.24,0.04,0.00,0.00,,,,,,,,,,,,,,,,,,87,78.4,89,24,1,45,0,1.08,17,22,-5,-0.20,+0.96,0,17,3,0,2,34,26,,,/es/jugadores/f9714604/Arlind-Ajeti
Cenk Şen,trTUR,DF,24-210,28,25,"2,219",24.7,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Partidos,4,1,25.0,0.16,0.04,0.25,1.00,,,,,,,,,,,,,,,,,,79,77.0,86,22,3,25,0,1.18,21,25,-4,-0.16,+1.06,0,14,40,1,47,52,28,,,/es/jugadores/98787b0d/Cenk-Sen
Musah Mohammed,ghGHA,CC,23-115,23,22,"1,841",20.5,0,4,4,0,0,0,6,1,0.00,0.20,0.20,0.00,0.20,Partidos,31,7,22.6,1.52,0.34,0.00,0.00,,,,,,,,,,,,,,,,,,80,63.9,82,12,1,31,0,1.00,16,24,-8,-0.39,+0.04,0,49,24,2,11,19,17,,,/es/jugadores/1f3b819a/Musah-Mohammed
George Pușcaș,roROU,DL,29-022,30,21,"1,730",19.2,8,1,9,5,3,3,1,0,0.42,0.05,0.47,0.26,0.31,Partidos,47,20,42.6,2.45,1.04,0.11,0.25,,,,,,,,,,,,,,,,,,58,60.1,75,4,9,18,1,1.03,14,23,-9,-0.47,-0.16,0,20,16,11,8,3,3,,,/es/jugadores/c23c8e0d/George-Puscas
Ondřej Čelůstka,czCZE,DF,35-316,24,20,"1,858",20.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,11,4,36.4,0.53,0.19,0.00,0.00,,,,,,,,,,,,,,,,,,77,64.5,85,15,4,38,5,1.21,13,20,-7,-0.34,+0.19,0,17,11,0,13,16,22,,,/es/jugadores/393a257c/Ondrej-Celustka
Taulant Seferi,alALB,"CC,DL",28-166,27,20,"1,778",19.8,3,1,4,3,0,1,4,1,0.15,0.05,0.20,0.15,0.20,Partidos,42,12,28.6,2.13,0.61,0.07,0.25,,,,,,,,,,,,,,,,,,66,61.7,79,5,7,28,0,1.15,14,20,-6,-0.30,+0.27,1,44,21,19,19,9,18,,,/es/jugadores/fdd6cad9/Taulant-Seferi
Taylan Antalyalı,trTUR,CC,30-112,21,18,"1,586",17.6,0,1,1,0,0,1,2,0,0.00,0.06,0.06,0.00,0.06,Partidos,16,4,25.0,0.91,0.23,0.00,0.00,,,,,,,,,,,,,,,,,,76,55.1,83,12,3,29,1,0.81,10,22,-12,-0.68,-0.61,0,18,24,0,8,28,22,,,/es/jugadores/4374d81c/Taylan-Antalyali
Üzeyir Ergün,trTUR,DF,32-177,22,16,"1,386",15.4,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Partidos,5,0,0.0,0.32,0.00,0.00,,,,,,,,,,,,,,,,,,,63,48.1,78,7,6,24,4,0.91,12,25,-13,-0.84,-0.84,0,9,11,0,64,18,22,,,/es/jugadores/452ae124/Uzeyir-Ergun
Gökdeniz Bayrakdar,trTUR,"CC,DL",23-158,24,15,"1,337",14.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Partidos,28,7,25.0,1.88,0.47,0.00,0.00,,,,,,,,,,,,,,,,,,56,46.4,76,6,9,22,5,0.96,9,21,-12,-0.81,-0.75,0,28,15,5,18,5,20,,,/es/jugadores/64e951fc/Gokdeniz-Bayrakdar
Zdravko Dimitrov,bgBUL,CC,26-249,27,14,"1,427",15.9,2,2,4,1,1,1,1,0,0.13,0.13,0.25,0.06,0.19,Partidos,30,13,43.3,1.89,0.82,0.03,0.08,,,,,,,,,,,,,,,,,,53,49.5,80,3,13,24,3,0.93,13,15,-2,-0.13,+0.56,0,5,21,4,73,5,16,,,/es/jugadores/3f1ae2e2/Zdravko-Dimitrov
Ege Bilsel,,"DF,CC",21-116,21,13,"1,103",12.3,0,1,1,0,0,0,4,1,0.00,0.08,0.08,0.00,0.08,Partidos,5,0,0.0,0.41,0.00,0.00,,,,,,,,,,,,,,,,,,,53,38.3,74,5,8,17,7,0.90,11,19,-8,-0.65,-0.40,1,8,15,1,10,19,20,,,/es/jugadores/721a9e2a/Ege-Bilsel
Jonathan Okita,cdCOD,"CC,DL",29-207,14,12,973,10.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,21,8,38.1,1.94,0.74,0.00,0.00,,,,,,,,,,,,,,,,,,70,33.8,77,0,2,27,0,1.36,6,11,-5,-0.46,-0.08,0,14,7,8,18,3,6,,,/es/jugadores/2bc17985/Jonathan-Okita
Ahmet Aslan,,CC,23-305,18,11,948,10.5,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Partidos,5,1,20.0,0.47,0.09,0.20,1.00,,,,,,,,,,,,,,,,,,53,32.9,75,2,7,18,10,0.89,9,15,-6,-0.57,-0.24,0,11,15,0,6,12,15,,,/es/jugadores/d2547206/Ahmet-Aslan
Pedro Brazão,ptPOR,"CC,DL",22-121,20,8,737,8.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Partidos,16,4,25.0,1.95,0.49,0.00,0.00,,,,,,,,,,,,,,,,,,37,25.6,65,0,12,18,9,1.00,9,10,-1,-0.12,+0.38,0,22,11,0,14,4,10,,,/es/jugadores/0589c701/Pedro-Brazao
Enis Bardhi,mkMKD,"CC,DL",29-302,12,7,724,8.0,1,2,3,1,0,0,1,0,0.12,0.25,0.37,0.12,0.37,Partidos,19,4,21.1,2.36,0.50,0.05,0.25,,,,,,,,,,,,,,,,,,60,25.1,85,2,5,26,0,1.25,7,4,+3,+0.37,+1.04,0,11,15,4,38,1,7,,,/es/jugadores/cac2537b/Enis-Bardhi
Christophe Hérelle,mqMTQ,DF,32-251,12,6,517,5.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,1,0,0.0,0.17,0.00,0.00,,,,,,,,,,,,,,,,,,,43,18.0,78,5,6,8,7,1.50,6,14,-8,-1.39,-1.20,0,1,5,0,0,8,5,,,/es/jugadores/3681cfff/Christophe-Herelle
Samet Yalçın,,CC,31-058,12,6,464,5.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Partidos,4,0,0.0,0.78,0.00,0.00,,,,,,,,,,,,,,,,,,,39,16.1,59,0,6,18,4,0.92,4,7,-3,-0.58,-0.21,0,4,2,0,2,6,10,,,/es/jugadores/4f90f562/Samet-Yalcin
,,Tiempo Jugado,Rendimiento,Por 90 Minutos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls.,Ast,G+A,G-TP,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,,,,,,,,,,,,,,,,,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,
Gökhan Akkan,trTUR,PO,30-119,4,4,299,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,7.0,2.11,16.0,9.0,56.3,0.0,1.0,3.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,,75,10.4,75,3,0,,15,0.25,2,7,-5,-1.51,-1.23,0,0,1,0,0,0,0,,,/es/jugadores/3587cb86/Gokhan-Akkan
