Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Guy-Marcelin Kilama,cmCMR,DF,25-335,27,27,"2,366",26.3,1,1,2,1,0,0,5,1,0.04,0.04,0.08,0.04,0.08,Partidos,10.0,2.0,20.0,0.37,0.07,0.1,0.5,,,,,,,,,,,,,,,,,,88,85.3,88,26,0,,0,0.68,32,53,-21,-0.77,+1.35,0.0,26.0,14.0,2.0,1.0,39.0,24.0,,,/es/jugadores/887ee447/Guy-Marcelin-Kilama
Cemalil Sertel,trTUR,DF,25-114,27,24,"2,054",22.8,2,0,2,2,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Partidos,13.0,5.0,38.5,0.55,0.21,0.15,0.4,,,,,,,,,,,,,,,,,,77,74.4,83,15,3,24,0,0.64,25,45,-20,-0.84,+0.50,0.0,32.0,32.0,2.0,44.0,23.0,48.0,,,/es/jugadores/b0cc02e2/Cemalil-Sertel
Joelson Fernandes,ptPOR,"CC,DL",22-061,30,24,"2,048",22.8,2,3,5,2,0,0,8,0,0.09,0.13,0.22,0.09,0.22,Partidos,42.0,15.0,35.7,1.85,0.66,0.05,0.13,,,,,,,,,,,,,,,,,,68,71.1,79,7,6,26,0,0.63,27,45,-18,-0.79,+0.62,0.0,30.0,52.0,3.0,94.0,10.0,15.0,,,/es/jugadores/31c7bfaf/Joelson-Fernandes
Francisco Calvo,crCRC,DF,32-296,23,23,"1,974",21.9,1,1,2,1,0,0,7,2,0.05,0.05,0.09,0.05,0.09,Partidos,25.0,6.0,24.0,1.09,0.26,0.04,0.17,,,,,,,,,,,,,,,,,,86,71.7,86,22,0,,0,0.75,24,41,-17,-0.74,+0.80,0.0,32.0,17.0,4.0,4.0,59.0,26.0,,,/es/jugadores/706bd23f/Francisco-Calvo
Vincent Aboubakar,cmCMR,DL,33-098,25,22,"1,969",21.9,7,2,9,5,2,2,3,0,0.32,0.09,0.41,0.23,0.32,Partidos,53.0,23.0,43.4,2.42,1.05,0.09,0.22,,,,,,,,,,,,,,,,,,79,68.4,85,14,3,33,0,0.72,27,43,-16,-0.73,+0.75,0.0,15.0,19.0,14.0,2.0,1.0,1.0,,,/es/jugadores/8637e09a/Vincent-Aboubakar
Görkem Sağlam,deGER,CC,27-019,26,22,"1,955",21.7,3,5,8,3,0,0,8,0,0.14,0.23,0.37,0.14,0.37,Partidos,28.0,11.0,39.3,1.23,0.49,0.11,0.27,,,,,,,,,,,,,,,,,,76,70.9,83,11,4,33,2,0.67,25,45,-20,-0.88,+0.30,0.0,48.0,16.0,1.0,151.0,9.0,17.0,,,/es/jugadores/651d9f0a/Gorkem-Saglam
Erce Kardeşler,trTUR,PO,31-047,19,19,"1,710",19.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,36.0,1.89,93.0,64.0,66.7,1.0,6.0,12.0,1.0,5.3,5.0,5.0,5.0,5.0,1.0,28.6,90,59.4,90,19,0,,1,0.47,20,36,-16,-0.84,+0.31,0.0,0.0,8.0,0.0,0.0,1.0,0.0,,,/es/jugadores/94b3ccdb/Erce-Kardesler
Lamine Diack,snSEN,CC,24-166,19,19,"1,595",17.7,0,1,1,0,0,0,4,0,0.00,0.06,0.06,0.00,0.06,Partidos,11.0,0.0,0.0,0.62,0.0,0.0,,,,,,,,,,,,,,,,,,,84,55.4,84,15,0,,0,0.53,16,29,-13,-0.73,+0.53,0.0,37.0,14.0,0.0,1.0,25.0,30.0,,,/es/jugadores/f4547573/Lamine-Diack
Abdülkadir Parmak,trTUR,CC,30-123,22,17,"1,490",16.6,2,1,3,2,0,0,5,0,0.12,0.06,0.18,0.12,0.18,Partidos,18.0,5.0,27.8,1.03,0.28,0.11,0.4,,,,,,,,,,,,,,,,,,69,54.9,83,9,5,19,5,0.52,23,43,-20,-1.14,-0.38,0.0,8.0,27.0,2.0,8.0,18.0,14.0,,,/es/jugadores/ce5a24b9/Abdulkadir-Parmak
Kamil Çörekçi,trTUR,DF,33-088,20,17,"1,430",15.9,0,1,1,0,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Partidos,6.0,0.0,0.0,0.36,0.0,0.0,,,,,,,,,,,,,,,,,,,72,52.3,80,10,3,23,1,0.57,20,30,-10,-0.60,+0.78,0.0,10.0,16.0,0.0,32.0,13.0,32.0,,,/es/jugadores/771d74d1/Kamil-Corekci
