Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Mikael Uhre,"€ 30,554","€ 1,588,815",,"Dec 31, 2025",1,"€ 1,588,815",
Jakob Glesnes,"€ 16,975","€ 882,675",,"Dec 31, 2025",1,"€ 882,675",
Kai Wagner,"€ 14,853","€ 772,341",,"Dec 31, 2026",2,"€ 1,544,681","€ 1,765,350"
Andre Blake,"€ 13,580","€ 706,140",,"Dec 31, 2026",2,"€ 1,412,280",
Tai Baribo,"€ 11,033","€ 573,739",,"Dec 31, 2025",1,"€ 573,739",
Danley Jean Jacques,"€ 9,336","€ 485,471",,"Dec 31, 2026",2,"€ 970,943",
Olivier Mbaizo,"€ 5,941","€ 308,936",,"Dec 31, 2026",2,"€ 617,873",
Alejandro Bedoya,"€ 5,517","€ 286,866",,"Dec 31, 2025",1,"€ 286,866",
Jesús Bueno,"€ 4,753","€ 247,149",,"Dec 31, 2026",2,"€ 494,298",
Nathan Harriel,"€ 4,074","€ 211,842",,"Dec 31, 2025",1,"€ 211,842",
Olwethu Makhanya,"€ 3,819","€ 198,602",,"Dec 31, 2025",1,"€ 198,602",
Cavan Sullivan,"€ 3,395","€ 176,535",,"Dec 31, 2028",4,"€ 706,140",
Quinn Sullivan,"€ 2,546","€ 132,401",,"Dec 31, 2027",3,"€ 397,204",
Markus Anderson,"€ 1,697","€ 88,268",,"Dec 31, 2026",2,"€ 176,535",
Jeremy Rafanello,"€ 1,697","€ 88,268",,"Dec 31, 2026",2,"€ 176,535",
Oliver Semmle,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Chris Donovan,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Andrew Rick,"€ 1,212","€ 63,024",,"Dec 31, 2028",4,"€ 252,096",
Isaiah LeFlore,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Nick Pariano,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
David Vazquez,"€ 1,212","€ 63,024",,"Dec 31, 2027",3,"€ 189,072",
CJ Olney Jr,"€ 1,212","€ 63,024",,"Dec 31, 2028",4,"€ 252,096",
Eddy Davis III,,,,"Dec 31, 2027",3,,
Neil Pierre,,,,"Dec 31, 2028",4,,
Bruno Damiani,,,,"Dec 31, 2028",4,,
Frankie Westfield,,,,"Dec 31, 2028",4,,
Sal Olivas,,,,"Dec 31, 2028",4,,
Indiana Vassilev,,,,"Dec 31, 2025",1,,
Ben Bender,,,,"Dec 31, 2025",1,,
Jovan Lukic,,,,"Dec 31, 2026",2,,
Ian Glavinovich,,,,"Dec 31, 2025",1,,
