nombre,link,plantilla,edad_promedio,extranjeros,valor_mercado,valor_total
Paris Saint-Germain,/fc-paris-saint-germain/kader/verein/583/saison_id/2024/plus/1,,24,23.8,€38.48m,€923.50m
AS Monaco,/as-monaco/kader/verein/162/saison_id/2024/plus/1,,26,24.4,€15.35m,€399.20m
LOSC Lille,/losc-lille/kader/verein/1082/saison_id/2024/plus/1,,26,27.3,€12.24m,€318.35m
Olympique Marseille,/olympique-marseille/kader/verein/244/saison_id/2024/plus/1,,27,26.7,€10.57m,€285.30m
Olympique Lyon,/olympique-lyon/kader/verein/1041/saison_id/2024/plus/1,,23,26.7,€9.87m,€226.93m
RC Strasbourg Alsace,/rc-strassburg-alsace/kader/verein/667/saison_id/2024/plus/1,,26,22.8,€8.56m,€222.50m
OGC Nice,/ogc-nizza/kader/verein/417/saison_id/2024/plus/1,,28,26.0,€7.71m,€215.75m
Stade Rennais FC,/fc-stade-rennes/kader/verein/273/saison_id/2024/plus/1,,30,25.3,€7.12m,€213.60m
RC Lens,/rc-lens/kader/verein/826/saison_id/2024/plus/1,,26,26.9,€4.88m,€126.80m
Stade Brestois 29,/stade-brest-29/kader/verein/3911/saison_id/2024/plus/1,,27,26.9,€4.26m,€115.00m
Stade Reims,/stade-reims/kader/verein/1421/saison_id/2024/plus/1,,25,24.9,€4.37m,€109.20m
FC Nantes,/fc-nantes/kader/verein/995/saison_id/2024/plus/1,,26,27.2,€3.98m,€103.50m
FC Toulouse,/fc-toulouse/kader/verein/415/saison_id/2024/plus/1,,25,25.0,€3.79m,€94.75m
AJ Auxerre,/aj-auxerre/kader/verein/290/saison_id/2024/plus/1,,28,25.3,€2.58m,€72.20m
Le Havre AC,/ac-le-havre/kader/verein/738/saison_id/2024/plus/1,,27,26.4,€2.41m,€65.15m
AS Saint-Étienne,/as-saint-etienne/kader/verein/618/saison_id/2024/plus/1,,27,26.9,€2.13m,€57.40m
Montpellier HSC,/montpellier-hsc/kader/verein/969/saison_id/2024/plus/1,,25,26.7,€2.23m,€55.75m
Angers SCO,/sco-angers/kader/verein/1420/saison_id/2024/plus/1,,28,27.0,€1.74m,€48.75m
