Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
50,Guillaume Restes,Goalkeeper,"Mar 11, 2005 (20)","France, Cote d'Ivoire","1,88m",left,"Jul 1, 2023",,"Jun 30, 2028",€20.00m,https://www.transfermarkt.com/guillaume-restes/profil/spieler/912902
16,Kjetil Haug,Goalkeeper,"Jun 12, 1998 (26)",Norway,"1,87m",right,"Jul 1, 2022",,"Jun 30, 2026",€600k,https://www.transfermarkt.com/kjetil-haug/profil/spieler/328770
40,Justin Lacombe,Goalkeeper,"Apr 9, 2003 (22)",France,"1,92m",right,"Jul 1, 2023",,"Jun 30, 2026",€50k,https://www.transfermarkt.com/justin-lacombe/profil/spieler/854988
4,Charlie Cresswell,Centre-Back,"Aug 17, 2002 (22)",England,"1,90m",right,"Jul 8, 2024",,"Jun 30, 2028",€7.00m,https://www.transfermarkt.com/charlie-cresswell/profil/spieler/597659
3,Mark McKenzie,Centre-Back,"Feb 25, 1999 (26)","United States, Jamaica","1,84m",right,"Aug 16, 2024",,"Jun 30, 2027",€6.00m,https://www.transfermarkt.com/mark-mckenzie/profil/spieler/429259
2,Rasmus Nicolaisen,Centre-Back,"Mar 16, 1997 (28)",Denmark,"1,91m",left,"Aug 17, 2021",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/rasmus-nicolaisen/profil/spieler/283227
29,Jaydee Canvot,Centre-Back,"Jul 29, 2006 (18)",France,"1,88m",right,"Jan 1, 2025",,"Jun 30, 2029",€2.50m,https://www.transfermarkt.com/jaydee-canvot/profil/spieler/1006411
6,Ümit Akdağ,Centre-Back,"Oct 6, 2003 (21)","Romania, Türkiye","1,92m",left,"Aug 23, 2024",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/umit-akdag/profil/spieler/958647
17,Gabriel Suazo,Left-Back,"Aug 9, 1997 (27)",Chile,"1,78m",left,"Jan 16, 2023",,"Jun 30, 2026",€4.00m,https://www.transfermarkt.com/gabriel-suazo/profil/spieler/385105
26,Ylies Aradj,Left-Back,"Jun 5, 2005 (19)","France, Algeria","1,79m",left,,,"Jun 30, 2026",-,https://www.transfermarkt.com/ylies-aradj/profil/spieler/923758
12,Warren Kamanzi,Right-Back,"Nov 11, 2000 (24)",Norway,"1,77m",right,"Jan 2, 2023",,"Jun 30, 2026",€2.00m,https://www.transfermarkt.com/warren-kamanzi/profil/spieler/794758
19,Djibril Sidibé,Right-Back,"Jul 29, 1992 (32)","France, Mali","1,83m",right,"Aug 2, 2024",,"Jun 30, 2025",€1.20m,https://www.transfermarkt.com/djibril-sidibe/profil/spieler/161869
23,Cristian Cásseres Jr.,Central Midfield,"Jan 20, 2000 (25)",Venezuela,"1,76m",right,"Jul 7, 2023",,"Jun 30, 2027",€5.00m,https://www.transfermarkt.com/cristian-casseres-jr-/profil/spieler/467632
8,Vincent Sierro,Central Midfield,"Oct 8, 1995 (29)",Switzerland,"1,85m",right,"Jan 23, 2023",,"Jun 30, 2026",€4.00m,https://www.transfermarkt.com/vincent-sierro/profil/spieler/280387
20,Niklas Schmidt,Central Midfield,"Mar 1, 1998 (27)",Germany,"1,84m",both,"Aug 4, 2023",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/niklas-schmidt/profil/spieler/275249
21,Miha Zajc,Central Midfield,"Jul 1, 1994 (30)",Slovenia,"1,78m",right,"Aug 30, 2024",,"Jun 30, 2025",€1.80m,https://www.transfermarkt.com/miha-zajc/profil/spieler/149829
22,Rafik Messali,Right Midfield,"Apr 28, 2003 (22)","Algeria, France","1,77m",right,"Jul 1, 2024",,"Jun 30, 2026",€800k,https://www.transfermarkt.com/rafik-messali/profil/spieler/883865
15,Aron Dønnum,Left Midfield,"Apr 20, 1998 (27)",Norway,"1,78m",left,"Sep 1, 2023",,"Jun 30, 2028",€4.00m,https://www.transfermarkt.com/aron-donnum/profil/spieler/476836
11,Mathis Saka,Attacking Midfield,"Sep 20, 2006 (18)",France,"1,72m",right,"Jul 1, 2024",,"Jun 30, 2029",-,https://www.transfermarkt.com/mathis-saka/profil/spieler/986310
10,Yann Gboho,Left Winger,"Jan 14, 2001 (24)","France, Cote d'Ivoire","1,78m",right,"Jan 8, 2024",,"Jun 30, 2026",€8.00m,https://www.transfermarkt.com/yann-gboho/profil/spieler/463613
7,Zakaria Aboukhlal,Right Winger,"Feb 18, 2000 (25)","Morocco, Netherlands","1,79m",both,"Jul 1, 2022",,"Jun 30, 2026",€12.00m,https://www.transfermarkt.com/zakaria-aboukhlal/profil/spieler/393238
80,Shavy Babicka,Right Winger,"Jun 1, 2000 (24)",Gabon,"1,79m",right,"Jan 18, 2024",,"Jun 30, 2027",€3.00m,https://www.transfermarkt.com/shavy-babicka/profil/spieler/916920
31,Noah Edjouma,Right Winger,"Oct 4, 2005 (19)","France, Cameroon","1,82m",right,"Jan 1, 2025",,"Jun 30, 2027",€500k,https://www.transfermarkt.com/noah-edjouma/profil/spieler/1078326
9,Frank Magri,Centre-Forward,"Sep 4, 1999 (25)","Cameroon, France","1,78m",right,"Jul 21, 2023",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/frank-magri/profil/spieler/807689
13,Joshua King,Centre-Forward,"Jan 15, 1992 (33)",Norway,"1,80m",right,"Aug 29, 2024",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/joshua-king/profil/spieler/91059
