Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
40,Benjamin Lecomte,Goalkeeper,"Apr 26, 1991 (34)",France,"1,86m",left,"Jan 26, 2023",,"Jun 30, 2027",€2.00m,https://www.transfermarkt.com/benjamin-lecomte/profil/spieler/127181
16,Dimitry Bertaud,Goalkeeper,"Jun 6, 1998 (26)","DR Congo, France","1,80m",right,"Jul 1, 2017",,"Jun 30, 2025",€1.20m,https://www.transfermarkt.com/dimitry-bertaud/profil/spieler/371816
1,Belmin Dizdarevic,Goalkeeper,"Aug 9, 2001 (23)",Bosnia-Herzegovina,"1,89m",right,"Jul 7, 2023",,"Jun 30, 2028",€150k,https://www.transfermarkt.com/belmin-dizdarevic/profil/spieler/483007
2,Bamo Meïté,Centre-Back,"Dec 3, 2001 (23)","Cote d'Ivoire, France","1,84m",right,"Feb 3, 2025",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/bamo-meite/profil/spieler/807165
27,Becir Omeragic,Centre-Back,"Jan 20, 2002 (23)","Switzerland, Bosnia-Herzegovina","1,87m",right,"Jul 1, 2023",,"Jun 30, 2028",€5.00m,https://www.transfermarkt.com/becir-omeragic/profil/spieler/507344
4,Kiki Kouyaté,Centre-Back,"Apr 15, 1997 (28)",Mali,"1,92m",right,"Jan 20, 2023",,"Jun 30, 2026",€3.50m,https://www.transfermarkt.com/kiki-kouyate/profil/spieler/211637
5,Modibo Sagnan,Centre-Back,"Apr 14, 1999 (26)","Mali, France","1,87m",left,"Feb 1, 2024",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/modibo-sagnan/profil/spieler/524925
6,Christopher Jullien,Centre-Back,"Mar 22, 1993 (32)","France, Martinique","1,96m",right,"Aug 23, 2022",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/christopher-jullien/profil/spieler/201737
52,Nikola Maksimović,Centre-Back,"Nov 25, 1991 (33)",Serbia,"1,93m",right,"Oct 31, 2024",,-,€400k,https://www.transfermarkt.com/nikola-maksimovic/profil/spieler/124715
3,Issiaga Sylla,Left-Back,"Jan 1, 1994 (31)",Guinea,"1,80m",left,"Jan 31, 2023",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/issiaga-sylla/profil/spieler/220878
21,Lucas Mincarelli,Left-Back,"Jan 5, 2004 (21)",France,"1,79m",left,"Dec 1, 2023",,"Jun 30, 2027",€900k,https://www.transfermarkt.com/lucas-mincarelli/profil/spieler/982393
17,Théo Sainte-Luce,Left-Back,"Oct 20, 1998 (26)","France, Guadeloupe","1,76m",left,"Jul 1, 2022",,"Jun 30, 2027",€800k,https://www.transfermarkt.com/theo-sainte-luce/profil/spieler/537127
29,Enzo Tchato,Right-Back,"Nov 23, 2002 (22)","Cameroon, France","1,82m",right,"Jul 1, 2022",,"Jun 30, 2027",€2.50m,https://www.transfermarkt.com/enzo-tchato/profil/spieler/842338
77,Falaye Sacko,Right-Back,"May 1, 1995 (30)",Mali,"1,80m",right,"Jul 1, 2023",,"Jun 30, 2026",€2.00m,https://www.transfermarkt.com/falaye-sacko/profil/spieler/364857
13,Joris Chotard,Defensive Midfield,"Sep 24, 2001 (23)",France,"1,79m",right,"Sep 25, 2019",,"Jun 30, 2026",€7.00m,https://www.transfermarkt.com/joris-chotard/profil/spieler/624037
19,Rabby Nzingoula,Defensive Midfield,"Nov 25, 2005 (19)","France, Congo","1,83m",right,"Aug 28, 2024",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/rabby-nzingoula/profil/spieler/1068110
22,Khalil Fayad,Central Midfield,"Jun 9, 2004 (20)","Morocco, France","1,72m",right,"Jul 1, 2022",,"Jun 30, 2027",€4.00m,https://www.transfermarkt.com/khalil-fayad/profil/spieler/782630
12,Jordan Ferri,Central Midfield,"Mar 12, 1992 (33)",France,"1,73m",right,"Jul 1, 2019",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/jordan-ferri/profil/spieler/118284
11,Téji Savanier,Attacking Midfield,"Dec 22, 1991 (33)",France,"1,72m",right,"Jul 2, 2019",,"Jun 30, 2026",€3.00m,https://www.transfermarkt.com/teji-savanier/profil/spieler/127156
18,Nicolas Pays,Attacking Midfield,"Jul 7, 2003 (21)",France,"1,77m",left,"Jan 29, 2025",,-,€700k,https://www.transfermarkt.com/nicolas-pays/profil/spieler/1093482
10,Wahbi Khazri,Left Winger,"Feb 8, 1991 (34)","Tunisia, France","1,76m",right,"Jul 1, 2022",,"Jun 30, 2025",€1.50m,https://www.transfermarkt.com/wahbi-khazri/profil/spieler/103565
70,Tanguy Coulibaly,Right Winger,"Feb 18, 2001 (24)","France, Cote d'Ivoire","1,79m",left,"Dec 4, 2023",,"Jun 30, 2026",€1.80m,https://www.transfermarkt.com/tanguy-coulibaly/profil/spieler/618425
14,Othmane Maamma,Right Winger,"Oct 6, 2005 (19)","Morocco, France","1,82m",both,"Jul 1, 2024",,"Jun 30, 2027",€800k,https://www.transfermarkt.com/othmane-maamma/profil/spieler/1081219
9,Andy Delort,Centre-Forward,"Oct 9, 1991 (33)","Algeria, France","1,81m",right,"Jan 29, 2025",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/andy-delort/profil/spieler/122797
28,Glenn Ngosso,Centre-Forward,"Jan 12, 2004 (21)",Cameroon,-,,"Jul 1, 2024",,-,-,https://www.transfermarkt.com/glenn-ngosso/profil/spieler/1238800
