Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Kamil Grabara,Goalkeeper,"Jan 8, 1999 (26)",Poland,"1,95m",right,"Jul 1, 2024",,-,€14.00m,https://www.transfermarkt.com/kamil-grabara/profil/spieler/346551
29,Marius Müller,Goalkeeper,"Jul 12, 1993 (31)",Germany,"1,92m",right,"Jul 1, 2024",,-,€1.50m,https://www.transfermarkt.com/marius-muller/profil/spieler/118161
12,Pavao Pervan,Goalkeeper,"Nov 13, 1987 (37)",Austria,"1,94m",both,"Jul 1, 2018",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/pavao-pervan/profil/spieler/51977
30,Niklas Klinger,Goalkeeper,"Oct 13, 1995 (29)",Germany,"1,87m",right,"Jul 1, 2019",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/niklas-klinger/profil/spieler/192268
4,Konstantinos Koulierakis,Centre-Back,"Nov 28, 2003 (21)",Greece,"1,88m",left,"Aug 30, 2024",,"Jun 30, 2029",€20.00m,https://www.transfermarkt.com/konstantinos-koulierakis/profil/spieler/669380
3,Sebastiaan Bornauw,Centre-Back,"Mar 22, 1999 (26)",Belgium,"1,91m",right,"Jul 16, 2021",,"Jun 30, 2026",€7.00m,https://www.transfermarkt.com/sebastiaan-bornauw/profil/spieler/338629
18,Denis Vavro,Centre-Back,"Apr 10, 1996 (29)",Slovakia,"1,89m",right,"Aug 30, 2024",,"Jun 30, 2025",€7.00m,https://www.transfermarkt.com/denis-vavro/profil/spieler/239962
33,David Odogu,Centre-Back,"Jun 3, 2006 (18)","Germany, Nigeria","1,91m",right,"Jul 1, 2024",,-,€700k,https://www.transfermarkt.com/david-odogu/profil/spieler/897423
22,Mathys Angély,Centre-Back,"Apr 21, 2007 (18)",France,"1,90m",left,"Aug 13, 2024",,-,€600k,https://www.transfermarkt.com/mathys-angely/profil/spieler/1075579
21,Joakim Maehle,Left-Back,"May 20, 1997 (27)",Denmark,"1,85m",right,"Aug 12, 2023",,"Jun 30, 2027",€14.00m,https://www.transfermarkt.com/joakim-maehle/profil/spieler/369674
