Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Kevin Trapp,Goalkeeper,"Jul 8, 1990 (34)",Germany,"1,89m",right,"Aug 7, 2019",,"Jun 30, 2026",€3.00m,https://www.transfermarkt.com/kevin-trapp/profil/spieler/45672
40,Kauã Santos,Goalkeeper,"Apr 11, 2003 (22)",Brazil,"1,98m",right,"Aug 29, 2023",,"Jun 30, 2030",€2.50m,https://www.transfermarkt.com/kaua-santos/profil/spieler/997861
33,Jens Grahl,Goalkeeper,"Sep 22, 1988 (36)",Germany,"1,92m",right,"Jul 19, 2021",,"Jun 30, 2026",€200k,https://www.transfermarkt.com/jens-grahl/profil/spieler/40034
3,Arthur Theate,Centre-Back,"May 25, 2000 (24)",Belgium,"1,85m",left,"Feb 2, 2025",,"Jun 30, 2029",€24.00m,https://www.transfermarkt.com/arthur-theate/profil/spieler/368891
4,Robin Koch,Centre-Back,"Jul 17, 1996 (28)",Germany,"1,92m",right,"Jul 1, 2024",,"Jun 30, 2027",€18.00m,https://www.transfermarkt.com/robin-koch/profil/spieler/328784
35,Tuta,Centre-Back,"Jul 4, 1999 (25)",Brazil,"1,85m",right,"Jan 31, 2019",,"Jun 30, 2026",€15.00m,https://www.transfermarkt.com/tuta/profil/spieler/546213
34,Nnamdi Collins,Centre-Back,"Jan 10, 2004 (21)","Germany, Nigeria","1,91m",right,"Aug 9, 2023",,"Jun 30, 2030",€10.00m,https://www.transfermarkt.com/nnamdi-collins/profil/spieler/684315
5,Aurèle Amenda,Centre-Back,"Jul 31, 2003 (21)","Switzerland, Cameroon","1,97m",right,"Jan 24, 2024",,"Jun 30, 2029",€7.50m,https://www.transfermarkt.com/aurele-amenda/profil/spieler/635645
21,Nathaniel Brown,Left-Back,"Jun 16, 2003 (21)","Germany, United States","1,80m",left,"Jan 3, 2024",,"Jun 30, 2030",€15.00m,https://www.transfermarkt.com/nathaniel-brown/profil/spieler/691892
29,Niels Nkounkou,Left-Back,"Nov 1, 2000 (24)","France, Congo","1,80m",left,"Sep 1, 2023",,"Jun 30, 2028",€5.00m,https://www.transfermarkt.com/niels-nkounkou/profil/spieler/591193
13,Rasmus Kristensen,Right-Back,"Jul 11, 1997 (27)",Denmark,"1,87m",right,"Jul 19, 2024",,"Jun 30, 2025",€10.00m,https://www.transfermarkt.com/rasmus-kristensen/profil/spieler/369684
22,Timothy Chandler,Right-Back,"Mar 29, 1990 (35)","United States, Germany","1,87m",right,"Jul 1, 2014",,"Jun 30, 2025",€350k,https://www.transfermarkt.com/timothy-chandler/profil/spieler/49723
15,Ellyes Skhiri,Defensive Midfield,"May 10, 1995 (29)","Tunisia, France","1,85m",right,"Jul 5, 2023",,"Jun 30, 2027",€9.00m,https://www.transfermarkt.com/ellyes-skhiri/profil/spieler/290587
16,Hugo Larsson,Central Midfield,"Jun 27, 2004 (20)",Sweden,"1,87m",right,"Jul 1, 2023",,"Jun 30, 2029",€40.00m,https://www.transfermarkt.com/hugo-larsson/profil/spieler/931838
6,Oscar Højlund,Central Midfield,"Jan 4, 2005 (20)",Denmark,"1,87m",right,"Jul 10, 2024",,"Jun 30, 2029",€7.50m,https://www.transfermarkt.com/oscar-hojlund/profil/spieler/846310
18,Mahmoud Dahoud,Central Midfield,"Jan 1, 1996 (29)","Syria, Germany","1,78m",right,"Aug 30, 2024",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/mahmoud-dahoud/profil/spieler/191422
26,Junior Dina Ebimbe,Right Midfield,"Nov 21, 2000 (24)","France, Cameroon","1,84m",right,"Jul 1, 2023",,"Jun 30, 2027",€7.00m,https://www.transfermarkt.com/junior-dina-ebimbe/profil/spieler/536482
20,Can Uzun,Attacking Midfield,"Nov 11, 2005 (19)","Türkiye, Germany","1,86m",right,"Jul 2, 2024",,"Jun 30, 2029",€18.00m,https://www.transfermarkt.com/can-uzun/profil/spieler/816585
8,Farès Chaïbi,Attacking Midfield,"Nov 28, 2002 (22)","Algeria, France","1,83m",right,"Aug 30, 2023",,"Jun 30, 2028",€9.00m,https://www.transfermarkt.com/fares-chaibi/profil/spieler/855015
27,Mario Götze,Attacking Midfield,"Jun 3, 1992 (32)",Germany,"1,76m",right,"Jul 1, 2022",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/mario-gotze/profil/spieler/74842
23,Krisztián Lisztes,Attacking Midfield,"May 6, 2005 (19)",Hungary,"1,83m",right,"Jul 1, 2024",,"Jun 30, 2029",€2.00m,https://www.transfermarkt.com/krisztian-lisztes/profil/spieler/933217
19,Jean-Mattéo Bahoya,Left Winger,"May 7, 2005 (19)","France, Cameroon","1,80m",right,"Jan 25, 2024",,"Jun 30, 2029",€9.00m,https://www.transfermarkt.com/jean-matteo-bahoya/profil/spieler/939964
36,Ansgar Knauff,Right Winger,"Jan 10, 2002 (23)","Germany, Ghana","1,80m",right,"Jul 1, 2023",,"Jun 30, 2028",€10.00m,https://www.transfermarkt.com/ansgar-knauff/profil/spieler/429874
11,Hugo Ekitiké,Centre-Forward,"Jun 20, 2002 (22)","France, Cameroon","1,90m",right,"Jul 1, 2024",,"Jun 30, 2029",€55.00m,https://www.transfermarkt.com/hugo-ekitike/profil/spieler/709726
17,Elye Wahi,Centre-Forward,"Jan 2, 2003 (22)","France, Cote d'Ivoire","1,81m",right,"Jan 24, 2025",,"Jun 30, 2030",€25.00m,https://www.transfermarkt.com/elye-wahi/profil/spieler/659542
9,Igor Matanovic,Centre-Forward,"Mar 31, 2003 (22)","Croatia, Germany","1,94m",right,"Aug 30, 2021",,"Jun 30, 2029",€6.00m,https://www.transfermarkt.com/igor-matanovic/profil/spieler/605268
30,Michy Batshuayi,Centre-Forward,"Oct 2, 1993 (31)","Belgium, DR Congo","1,85m",right,"Feb 3, 2025",,"Jun 30, 2027",€5.00m,https://www.transfermarkt.com/michy-batshuayi/profil/spieler/179184
