Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
40,Jonas Urbig,Goalkeeper,"Aug 8, 2003 (21)",Germany,"1,89m",both,"Jan 27, 2025",,"Jun 30, 2029",€8.00m,https://www.transfermarkt.com/jonas-urbig/profil/spieler/607720
1,Manuel Neuer,Goalkeeper,"Mar 27, 1986 (39)",Germany,"1,93m",right,"Jul 1, 2011",,"Jun 30, 2026",€4.00m,https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259
18,Daniel Peretz,Goalkeeper,"Jul 10, 2000 (24)","Israel, Germany","1,90m",right,"Aug 25, 2023",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/daniel-peretz/profil/spieler/468539
26,Sven Ulreich,Goalkeeper,"Aug 3, 1988 (36)",Germany,"1,92m",right,"Jul 1, 2021",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/sven-ulreich/profil/spieler/40680
2,Dayot Upamecano,Centre-Back,"Oct 27, 1998 (26)","France, Guinea-Bissau","1,86m",right,"Jul 5, 2021",,"Jun 30, 2026",€50.00m,https://www.transfermarkt.com/dayot-upamecano/profil/spieler/344695
3,Min-jae Kim,Centre-Back,"Nov 15, 1996 (28)","Korea, South","1,90m",right,"Jul 18, 2023",,"Jun 30, 2028",€45.00m,https://www.transfermarkt.com/min-jae-kim/profil/spieler/503482
21,Hiroki Ito,Centre-Back,"May 12, 1999 (25)",Japan,"1,88m",left,"Jul 1, 2024",,"Jun 30, 2028",€30.00m,https://www.transfermarkt.com/hiroki-ito/profil/spieler/353892
15,Eric Dier,Centre-Back,"Jan 15, 1994 (31)","England, Portugal","1,91m",right,"Jul 1, 2024",,"Jun 30, 2025",€8.00m,https://www.transfermarkt.com/eric-dier/profil/spieler/175722
28,Tarek Buchmann,Centre-Back,"Feb 28, 2005 (20)","Germany, Togo","1,88m",right,"Jul 1, 2023",,"Jun 30, 2026",€500k,https://www.transfermarkt.com/tarek-buchmann/profil/spieler/744729
19,Alphonso Davies,Left-Back,"Nov 2, 2000 (24)","Canada, Liberia","1,83m",left,"Jan 1, 2019",,"Jun 30, 2030",€50.00m,https://www.transfermarkt.com/alphonso-davies/profil/spieler/424204
22,Raphaël Guerreiro,Left-Back,"Dec 22, 1993 (31)","Portugal, France","1,70m",left,"Jul 1, 2023",,"Jun 30, 2026",€10.00m,https://www.transfermarkt.com/raphael-guerreiro/profil/spieler/170986
44,Josip Stanisic,Right-Back,"Apr 2, 2000 (25)","Croatia, Germany","1,87m",both,"Aug 1, 2021",,"Jun 30, 2029",€28.00m,https://www.transfermarkt.com/josip-stanisic/profil/spieler/483046
