Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Isco,"€ 120,192","€ 6,250,000",,"Jun 30, 2027",3,"€ 18,750,000","€ 20,000,000"
Giovani Lo Celso,"€ 80,000","€ 4,160,000",,"Jun 30, 2028",4,"€ 16,640,000",
Cucho Hernández,"€ 72,308","€ 3,760,000",,"Jun 30, 2030",6,"€ 22,560,000",
Antony,"€ 60,192","€ 3,130,000",,"Jun 30, 2025",1,"€ 3,130,000",
Héctor Bellerín,"€ 60,000","€ 3,120,000",,"Jun 30, 2028",4,"€ 12,480,000",
Pablo Fornals,"€ 60,000","€ 3,120,000",,"Jun 30, 2029",5,"€ 15,600,000",
Johnny,"€ 60,000","€ 3,120,000",,"Jun 30, 2030",6,"€ 18,720,000",
Diego Llorente,"€ 60,000","€ 3,120,000",,"Jun 30, 2028",4,"€ 12,480,000",
Marc Roca,"€ 58,269","€ 3,030,000",,"Jun 30, 2029",5,"€ 15,150,000",
Ricardo Rodríguez,"€ 48,077","€ 2,500,000",,"Jun 30, 2026",2,"€ 5,000,000",
Chimy Ávila,"€ 46,154","€ 2,400,000",,"Jun 30, 2027",3,"€ 7,200,000",
William Carvalho,"€ 45,192","€ 2,350,000",,"Jun 30, 2026",2,"€ 4,700,000","€ 120,000,000"
Natan,"€ 44,038","€ 2,290,000",,"Jun 30, 2025",1,"€ 2,290,000",
Marc Bartra,"€ 40,000","€ 2,080,000",,"Jun 30, 2027",3,"€ 6,240,000",
Romain Perraud,"€ 36,154","€ 1,880,000",,"Jun 30, 2029",5,"€ 9,400,000",
Sergi Altimira,"€ 24,038","€ 1,250,000",,"Jun 30, 2029",5,"€ 6,250,000","€ 60,000,000"
Aitor Ruibal,"€ 23,077","€ 1,200,000",,"Jun 30, 2028",4,"€ 4,800,000",
Cédric Bakambu,"€ 23,077","€ 1,200,000",,"Jun 30, 2026",2,"€ 2,400,000",
Youssouf Sabaly,"€ 16,346","€ 850,000",,"Jun 30, 2026",2,"€ 1,700,000",
Adrián,"€ 16,154","€ 840,000",,"Jun 30, 2026",2,"€ 1,680,000",
Abde Ezzalzouli,"€ 15,385","€ 800,000",,"Jun 30, 2029",5,"€ 4,000,000",
Jesús Rodriguez,"€ 5,769","€ 300,000",,"Jun 30, 2029",5,"€ 1,500,000",
Mateo Flores,"€ 3,077","€ 160,000",,"Jun 30, 2025",1,"€ 160,000",
Fran Vieites,"€ 3,077","€ 160,000",,"Jun 30, 2026",2,"€ 320,000",
