Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Emre Mor,"€ 40,000","€ 2,080,000",,"Jun 30, 2025",1,"€ 2,080,000",
Léo Dubois,"€ 38,462","€ 2,000,000",,"Jun 30, 2025",1,"€ 2,000,000",
Umut Bozok,"€ 22,500","€ 1,170,000",,"Jun 30, 2026",2,"€ 2,340,000",
Mame Thiam,"€ 19,231","€ 1,000,000",,"Jun 30, 2026",2,"€ 2,000,000",
Taras Stepanenko,"€ 15,962","€ 830,000",,"Jun 30, 2026",2,"€ 1,660,000",
Fredrik Midtsjø,"€ 14,423","€ 750,000",,"Jun 30, 2025",1,"€ 750,000",
Dorukhan Toköz,"€ 14,423","€ 750,000",,"Jun 30, 2025",1,"€ 750,000",
Emre Akbaba,"€ 14,423","€ 750,000",,"Jun 30, 2026",2,"€ 1,500,000",
Halil Akbunar,"€ 13,077","€ 680,000",,"Jun 30, 2026",2,"€ 1,360,000",
Luccas Claro,"€ 12,500","€ 650,000",,"Jun 30, 2027",3,"€ 1,950,000",
Tayfur Bingöl,"€ 9,615","€ 500,000",,"Jun 30, 2025",1,"€ 500,000",
Umut Meraş,"€ 9,615","€ 500,000",,"Jun 30, 2026",2,"€ 1,000,000",
Melih Kabasakal,"€ 9,615","€ 500,000",,"Jun 30, 2026",2,"€ 1,000,000",
Robin Yalçın,"€ 8,654","€ 450,000",,"Jun 30, 2025",1,"€ 450,000",
Caner Erkin,"€ 8,654","€ 450,000",,"Jun 30, 2025",1,"€ 450,000",
Berke Özer,"€ 8,077","€ 420,000",,"Jun 30, 2027",3,"€ 1,260,000",
Rúben Vezo,"€ 6,346","€ 330,000",,"Jun 30, 2025",1,"€ 330,000",
Yalçın Kayan,"€ 4,808","€ 250,000",,"Jun 30, 2028",4,"€ 1,000,000",
Prince Ampem,"€ 4,808","€ 250,000",,"Jun 30, 2027",3,"€ 750,000",
Recep Niyaz,"€ 4,808","€ 250,000",,"Jun 30, 2025",1,"€ 250,000",
Hamza Akman,"€ 3,846","€ 200,000",,"Jun 30, 2028",4,"€ 800,000",
İsmail Can Fidan,"€ 2,885","€ 150,000",,"Jun 30, 2028",4,"€ 600,000",
Erdem Çalık,"€ 2,885","€ 150,000",,"Jun 30, 2029",5,"€ 750,000",
Taşkın İlter,"€ 1,923","€ 100,000",,"Jun 30, 2026",2,"€ 200,000",
Sinan Gümüş,"€ 1,923","€ 100,000",,"Jun 30, 2025",1,"€ 100,000",
Erdem Gökçe,"€ 1,154","€ 60,000",,"Jun 30, 2027",3,"€ 180,000",
Hüseyin Maldar,"€ 1,154","€ 60,000",,"Jun 30, 2025",1,"€ 60,000",
Birkan Tetik,"€ 1,154","€ 60,000",,"Jun 30, 2026",2,"€ 120,000",
Alp Köseer,€ 962,"€ 50,000",,"Jun 30, 2027",3,"€ 150,000",
