Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Jordi Mboula,"€ 12,885","€ 670,000",,"Jun 30, 2026",2,"€ 1,340,000",
Sergio Bermejo,"€ 9,231","€ 480,000",,"Jun 30, 2027",3,"€ 1,440,000",
João Marques,"€ 9,231","€ 480,000",,"Jun 30, 2025",1,"€ 480,000",
Félix Correia,"€ 8,846","€ 460,000",,"Jun 30, 2028",4,"€ 1,840,000",
João Teixeira,"€ 7,308","€ 380,000",,"Jun 30, 2025",1,"€ 380,000",
Kanya Fujimoto,"€ 5,385","€ 280,000",,"Jun 30, 2025",1,"€ 280,000",
Facundo Cáseres,"€ 4,808","€ 250,000",,"Jun 30, 2025",1,"€ 250,000",
Jonathan Buatu,"€ 4,423","€ 230,000",,"Jun 30, 2026",2,"€ 460,000",
Pablo,"€ 3,846","€ 200,000",,"Jun 30, 2025",1,"€ 200,000",
Yaya Sithole,"€ 3,846","€ 200,000",,"Jun 30, 2026",2,"€ 400,000",
Sandro Cruz,"€ 3,462","€ 180,000",,"Jun 30, 2027",3,"€ 540,000",
Rúben Fernandes,"€ 2,885","€ 150,000",,"Jun 30, 2025",1,"€ 150,000",
Marvin Elimbi,"€ 2,885","€ 150,000",,"Jun 30, 2028",4,"€ 600,000",
Josué Sá,"€ 2,885","€ 150,000",,"Jun 30, 2027",3,"€ 450,000",
Tidjany Touré,"€ 2,885","€ 150,000",,"Jun 30, 2027",3,"€ 450,000",
Jorge Aguirre,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Andrew,"€ 2,308","€ 120,000",,"Jun 30, 2026",2,"€ 240,000",
Santi García,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Kazu,"€ 2,115","€ 110,000",,"Jun 30, 2026",2,"€ 220,000",
Zé Carlos,"€ 1,731","€ 90,000",,"Jun 30, 2026",2,"€ 180,000",
Jonathan Mutombo,"€ 1,731","€ 90,000",,"Jun 30, 2027",3,"€ 270,000",
Jesús Castillo,"€ 1,538","€ 80,000",,"Jun 30, 2027",3,"€ 240,000",
Miloš Gordić,"€ 1,346","€ 70,000",,"Jun 30, 2027",3,"€ 210,000",
Mohamed Bamba,"€ 1,346","€ 70,000",,"Jun 30, 2026",2,"€ 140,000",
Thomas Luciano,"€ 1,346","€ 70,000",,"Jun 30, 2026",2,"€ 140,000",
Karel Pérez,"€ 1,154","€ 60,000",,"Jun 30, 2025",1,"€ 60,000",
Carlos Eduardo,"€ 1,154","€ 60,000",,"Jun 30, 2025",1,"€ 60,000",
Brian Araújo,"€ 1,154","€ 60,000",,"Jun 30, 2025",1,"€ 60,000",
