RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Ultimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas,link
1,Ajax,31,23,5,3,63,27,+36,74,2.39,59.2,28.0,+31.2,+1.01,PGPGPGPPPE,"54,083",Kenneth Taylor-9,Remko Pasveer,,/es/jugadores/3392603d/Remko-Pasveer
2,PSV Eindhoven,30,21,4,5,89,34,+55,67,2.23,69.9,29.5,+40.4,+1.35,PGPPPGPGPG,"34,034",Luuk de Jong-13,Walter Benítez,,/es/jugadores/8a2248b4/Walter-Benitez
3,Feyenoord,30,18,8,4,68,32,+36,62,2.07,52.0,28.9,+23.1,+0.77,PGPGPGPGPG,"47,200",Igor Paixão-14,Timon Wellenreuther,,/es/jugadores/2f18d0b8/Timon-Wellenreuther
4,Utrecht,31,18,8,5,61,42,+19,62,2.00,45.1,40.9,+4.2,+0.14,PGPEPGPGPG,"20,111","Paxten Aaronson,Miguel Rodríguez-7",Vasilios Barkas,,/es/jugadores/c2e41cfb/Vasilios-Barkas
5,Twente,30,13,9,8,56,44,+12,48,1.60,50.2,37.9,+12.4,+0.41,PPPPPEPEPP,"29,650",Sem Steijn-23,Lars Unnerstall,,/es/jugadores/4b1793b0/Lars-Unnerstall
6,AZ Alkmaar,30,13,8,9,48,34,+14,47,1.57,45.5,30.3,+15.2,+0.51,PEPEPPPPPE,"17,936",Troy Parrott-14,Rome-Jayden Owusu-Oduro,,/es/jugadores/169df85b/Rome-Jayden-Owusu-Oduro
7,Go Ahead Eag,30,13,8,9,52,46,+6,47,1.57,46.7,37.9,+8.8,+0.29,PGPPPEPEPE,"9,803",Jakob Breum-9,Luca Plogmann,,/es/jugadores/206c37d3/Luca-Plogmann
8,Heerenveen,31,11,7,13,39,53,-14,40,1.29,39.3,43.9,-4.6,-0.15,PPPGPPPGPG,"23,382",Ion Nicolaescu-7,Mickey van der Hart,,/es/jugadores/1184dd60/Mickey-van-der-Hart
9,Fortuna Sittard,30,10,6,14,34,49,-15,36,1.20,37.9,43.6,-5.6,-0.19,PPPPPEPPPG,"10,459",Kristoffer Peterson-7,Mattijs Branderhorst,,/es/jugadores/b74a2c78/Mattijs-Branderhorst
10,Sparta R'dam,30,8,11,11,34,37,-3,35,1.17,38.1,37.8,+0.4,+0.01,PEPGPGPGPE,"9,889",Tobias Lauritsen-9,Nick Olij,,/es/jugadores/fdc67d9a/Nick-Olij
11,Groningen,30,9,8,13,32,45,-13,35,1.17,30.9,40.0,-9.1,-0.30,PEPPPPPPPG,"22,154",Jorg Schreuders-5,Etienne Vaessen,,/es/jugadores/5622d68b/Etienne-Vaessen
12,Heracles Almelo,30,8,11,11,37,52,-15,35,1.17,35.8,50.9,-15.1,-0.50,PEPGPEPGPP,"11,279",Luka Kulenović-8,Fabian de Keijzer,,/es/jugadores/fdfc9ace/Fabian-de-Keijzer
13,NEC Nijmegen,30,9,6,15,42,44,-2,33,1.10,38.2,38.8,-0.6,-0.02,PGPEPPPGPP,"12,593",Vito van Crooy-9,Robin Roefs,,/es/jugadores/349fa918/Robin-Roefs
14,NAC Breda,30,8,8,14,32,50,-18,32,1.07,33.7,50.5,-16.9,-0.56,PEPEPPPEPE,"18,597","Elías Már Ómarsson,Leo Sauer-7",Daniel Bielica,,/es/jugadores/5b462baa/Daniel-Bielica
15,Zwolle,30,7,10,13,35,48,-13,31,1.03,32.9,53.3,-20.4,-0.68,PEPGPEPEPP,"13,732",Dylan Vente-13,Jasper Schendelaar,,/es/jugadores/0c43c76c/Jasper-Schendelaar
16,Willem II,30,6,6,18,30,50,-20,24,0.80,22.5,48.3,-25.9,-0.86,PPPPPPPPPP,"12,903",Jesse Bosch-5,Thomas Didillon,,/es/jugadores/a3d524cb/Thomas-Didillon
17,Almere City,31,4,8,19,21,59,-38,20,0.65,31.2,47.5,-16.3,-0.53,PGPEPPPPPE,"3,808",Junior Kadile-4,Nordin Bakker,,/es/jugadores/12f664ca/Nordin-Bakker
18,RKC Waalwijk,30,4,7,19,35,62,-27,19,0.63,35.6,56.8,-21.2,-0.71,PPPEPEPPPP,"7,472",Oskar Zawada-9,Jeroen Houwen,,/es/jugadores/6d8ec266/Jeroen-Houwen
