player_id;ID_Jugador;Loan_Transfered;ID_Liga;contestant_id;ID_Equipo;player_name;Nombre_Original_Transfermarkt;Nombree_Original_FBref;Nombre_Normalizado_Capology;Link_Transfermarkt;Link_FBref;Edad;Nombre_Normalizado
2ur9tjimk19d4k6t764uhv8b9;1089;x;10;ep3im6aygoatju4u3ws8v3mog;65;L. Baker;Lewis Baker;Lewis Baker;lewis_baker;https://www.transfermarkt.com/lewis-baker/profil/spieler/198589;https://fbref.com/en/players/1b278bf5/Lewis-Baker;29;lewis_baker
es0kugb0laflbbe0ik28ohmmt;260;x;10;ep3im6aygoatju4u3ws8v3mog;65;S. Szmodics;Sammie Szmodics;Sammie Szmodics;sammie_szmodics;https://www.transfermarkt.com/sammie-szmodics/profil/spieler/292139;https://fbref.com/en/players/39944392/Sammie-Szmodics;29;sammie_szmodics
ao2tl1brzen40y5leuuc3b5qt;537;;10;ep3im6aygoatju4u3ws8v3mog;65;A. Forshaw;Adam Forshaw;Adam Forshaw;adam_forshaw;https://www.transfermarkt.com/adam-forshaw/profil/spieler/121257;https://fbref.com/en/players/9f1938ab/Adam-Forshaw;33;adam_forshaw
7bm6obsktl01f30u6jg49w72t;538;;10;ep3im6aygoatju4u3ws8v3mog;65;A. Weimann;Andreas Weimann;Andreas Weimann;andreas_weimann;https://www.transfermarkt.com/andreas-weimann/profil/spieler/49693;https://fbref.com/en/players/5996ffd9/Andreas-Weimann;33;andreas_weimann
7ut2c9l7dt9fvc8g42zj527ai;539;;10;ep3im6aygoatju4u3ws8v3mog;65;A. Kargbo;Augustus Kargbo;Augustus Kargbo;augustus_kargbo;https://www.transfermarkt.com/augustus-kargbo/profil/spieler/549791;https://fbref.com/en/players/0c8f27b5/Augustus-Kargbo;25;augustus_kargbo
2pdmfejp3sb91m5t13dgnn209;540;;10;ep3im6aygoatju4u3ws8v3mog;65;A. Pears;Aynsley Pears;Aynsley Pears;aynsley_pears;https://www.transfermarkt.com/aynsley-pears/profil/spieler/354456;https://fbref.com/en/players/dfa084b2/Aynsley-Pears;26;aynsley_pears
4jb35yfcy8f1uo0qz35wwpaeh;541;;10;ep3im6aygoatju4u3ws8v3mog;65;B. Tóth;Balázs Tóth;Balázs Tóth;balazs_toth;https://www.transfermarkt.com/balazs-toth/profil/spieler/400044;https://fbref.com/en/players/e6eb693d/Balazs-Toth;27;balazs_toth
5bdvton4u0cb8zryxg58oa221;542;;10;ep3im6aygoatju4u3ws8v3mog;65;C. Brittain;Callum Brittain;Callum Brittain;callum_brittain;https://www.transfermarkt.com/callum-brittain/profil/spieler/416368;https://fbref.com/en/players/95869fab/Callum-Brittain;27;callum_brittain
akb0hm14d4nmwwoy2h6ioc53p;543;;10;ep3im6aygoatju4u3ws8v3mog;65;C. Woodrow;Cauley Woodrow;Cauley Woodrow;cauley_woodrow;https://www.transfermarkt.com/cauley-woodrow/profil/spieler/169801;https://fbref.com/en/players/d3085b49/Cauley-Woodrow;30;cauley_woodrow
b2pvwtzyqgtby7xsc7rlq7xsl;544;;10;ep3im6aygoatju4u3ws8v3mog;65;D. Batth;Danny Batth;Danny Batth;danny_batth;https://www.transfermarkt.com/danny-batth/profil/spieler/129049;https://fbref.com/en/players/f1d0fa63/Danny-Batth;34;danny_batth
