Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Omar Richards,"€ 35,962","€ 1,870,000",,"Jun 30, 2025",1,"€ 1,870,000",
Clayton,"€ 14,808","€ 770,000",,"Jun 30, 2025",1,"€ 770,000",
Kiko Bondoso,"€ 11,154","€ 580,000",,"Jun 30, 2025",1,"€ 580,000",
Brandon Aguilera,"€ 8,654","€ 450,000",,"Jun 30, 2027",3,"€ 1,350,000",
Ole Pohlmann,"€ 7,692","€ 400,000",,"Jun 30, 2027",3,"€ 1,200,000",
Nelson Abbey,"€ 7,692","€ 400,000",,"Jun 30, 2025",1,"€ 400,000",
Jonathan Panzo,"€ 7,308","€ 380,000",,"Jun 30, 2025",1,"€ 380,000",
Tiago Morais,"€ 7,308","€ 380,000",,"Jun 30, 2025",1,"€ 380,000",
André Luiz,"€ 6,731","€ 350,000",,"Jun 30, 2025",1,"€ 350,000",
João Novais,"€ 6,731","€ 350,000",,"Jun 30, 2026",2,"€ 700,000",
Andreas Ntoi,"€ 6,731","€ 350,000",,"Jun 30, 2025",1,"€ 350,000",
Martim Neto,"€ 5,769","€ 300,000",,"Jun 30, 2025",1,"€ 300,000",
Ege Tıknaz,"€ 3,846","€ 200,000",,"Jun 30, 2025",1,"€ 200,000",
Vítor Gomes,"€ 3,654","€ 190,000",,"Jun 30, 2025",1,"€ 190,000",
João Graça,"€ 3,654","€ 190,000",,"Jun 30, 2026",2,"€ 380,000",
Matheus Teixeira,"€ 2,885","€ 150,000",,"Jun 30, 2025",1,"€ 150,000",
Marios Vrousai,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
João Tomé,"€ 2,308","€ 120,000",,"Jun 30, 2027",3,"€ 360,000",
Antzelo Sina,"€ 1,731","€ 90,000",,"Jun 30, 2025",1,"€ 90,000",
João Pedro,"€ 1,731","€ 90,000",,"Jun 30, 2025",1,"€ 90,000",
Francisco Petrasso,"€ 1,731","€ 90,000",,"Jun 30, 2028",4,"€ 360,000",
Chukwudi Igbokwe,"€ 1,731","€ 90,000",,"Jun 30, 2026",2,"€ 180,000",
Karem Zoabi,"€ 1,731","€ 90,000",,"Jun 30, 2028",4,"€ 360,000",
Konstantinos Kostoulas,"€ 1,538","€ 80,000",,"Jun 30, 2025",1,"€ 80,000",
Theofanis Bakoulas,"€ 1,538","€ 80,000",,"Jun 30, 2025",1,"€ 80,000",
Tobías Medina,"€ 1,538","€ 80,000",,"Jun 30, 2028",4,"€ 320,000",
Junior Colina,"€ 1,538","€ 80,000",,"Jun 30, 2025",1,"€ 80,000",
Saba Samushia,"€ 1,346","€ 70,000",,"Jun 30, 2025",1,"€ 70,000",
Tim Sousa,"€ 1,346","€ 70,000",,"Jun 30, 2027",3,"€ 210,000",
Cezary Miszta,"€ 1,346","€ 70,000",,"Jun 30, 2027",3,"€ 210,000",
