RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Ultimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas,link
1,Bayern Munich,31,23,6,2,90,29,+61,75,2.42,76.2,22.3,+53.9,+1.74,PGPGPEPGPG,"75,000",Harry Kane-24,Manuel Neuer,,/es/jugadores/8778c910/Manuel-Neuer
2,Leverkusen,31,19,10,2,66,35,+31,67,2.16,53.2,31.1,+22.1,+0.71,PGPGPEPEPG,"29,945",Patrik Schick-19,Lukáš Hrádecký,,/es/jugadores/ad3389d5/Lukas-Hradecky
3,Eint Frankfurt,31,16,7,8,62,42,+20,55,1.77,60.1,45.1,+15.1,+0.49,PGPPPGPEPG,"57,575","Omar Marmoush,Hugo Ekitike-15",Kevin Trapp,,/es/jugadores/ce17b5eb/Kevin-Trapp
4,Freiburg,31,15,6,10,44,47,-3,51,1.65,41.2,39.2,+2.0,+0.06,PPPPPGPGPG,"34,120",Ritsu Doan-9,Noah Atubolu,,/es/jugadores/dbd1b101/Noah-Atubolu
5,RB Leipzig,31,13,10,8,48,42,+6,49,1.58,42.6,47.1,-4.5,-0.15,PPPGPGPEPP,"44,403",Benjamin Šeško-12,Péter Gulácsi,,/es/jugadores/bcb2ccd8/Peter-Gulacsi
6,Dortmund,31,14,6,11,60,49,+11,48,1.55,55.2,39.1,+16.0,+0.52,PGPGPEPGPG,"81,365",Serhou Guirassy-17,Gregor Kobel,,/es/jugadores/cd59b9df/Gregor-Kobel
7,Mainz 05,31,13,8,10,48,39,+9,47,1.52,44.1,44.7,-0.5,-0.02,PPPEPPPEPP,"32,228",Jonathan Burkardt-15,Robin Zentner,,/es/jugadores/5c4bf6ba/Robin-Zentner
8,Werder Bremen,31,13,7,11,48,54,-6,46,1.48,43.3,43.4,0.0,0.00,PGPGPGPGPE,"41,503","Marvin Ducksch,Jens Stage-7",Michael Zetterer,,/es/jugadores/9b688ae1/Michael-Zetterer
9,Gladbach,31,13,5,13,51,50,+1,44,1.42,46.6,57.4,-10.8,-0.35,PGPEPPPPPP,"53,061",Tim Kleindienst-15,Moritz Nicolas,,/es/jugadores/226ddf9d/Moritz-Nicolas
10,Augsburg,31,11,10,10,33,42,-9,43,1.39,29.3,42.5,-13.2,-0.42,PEPPPGPEPP,"29,841",Alexis Claude-Maurice-9,Finn Dahmen,,/es/jugadores/dee3013b/Finn-Dahmen
11,Stuttgart,31,11,8,12,56,51,+5,41,1.32,53.2,44.9,+8.3,+0.27,PPPGPPPEPP,"59,233",Ermedin Demirović-13,Alexander Nübel,,/es/jugadores/afb0c500/Alexander-Nubel
12,Wolfsburg,31,10,9,12,53,48,+5,39,1.26,44.2,47.8,-3.6,-0.12,PPPPPPPEPP,"24,942",Mohamed Amoura-10,Kamil Grabara,,/es/jugadores/62182b1d/Kamil-Grabara
13,Union Berlin,31,9,9,13,31,45,-14,36,1.16,34.3,43.4,-9.1,-0.29,PGPGPEPEPE,"21,945",Benedict Hollerbach-9,Frederik Rønnow,,/es/jugadores/a70b8345/Frederik-Ronnow
14,St. Pauli,31,8,7,16,26,36,-10,31,1.00,33.3,39.7,-6.4,-0.21,PPPEPGPEPE,"29,500",Morgan Guilavogui-5,Nikola Vasilj,,/es/jugadores/f038585f/Nikola-Vasilj
15,Hoffenheim,31,7,9,15,40,58,-18,30,0.97,39.1,51.9,-12.8,-0.41,PEPPPGPPPP,"25,006",Andrej Kramarić-11,Oliver Baumann,,/es/jugadores/47064058/Oliver-Baumann
16,Heidenheim,31,7,4,20,33,60,-27,25,0.81,36.9,53.7,-16.8,-0.54,PGPPPPPPPG,"15,000",Marvin Pieringer-7,Kevin Müller,,/es/jugadores/f256f213/Kevin-Muller
17,Holstein Kiel,31,5,7,19,45,74,-29,22,0.71,36.3,53.9,-17.6,-0.57,PPPEPPPEPG,"14,885",Shuto Machino-10,Timon Weiner,,/es/jugadores/1fb2d1b0/Timon-Weiner
18,Bochum,31,5,6,20,30,63,-33,21,0.68,38.3,60.2,-21.9,-0.71,PPPPPPPPPE,"25,512",Myron Boadu-7,Patrick Drewes,,/es/jugadores/a8403737/Patrick-Drewes
