RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Ultimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas,link
1,Paris S-G,31,24,6,1,84,31,+53,78,2.52,82.3,29.2,+53.1,+1.71,PGPGPGPEPP,"47,225",Ousmane Dembélé-21,Gianluigi Donnarumma,,/es/jugadores/08f5afaa/Gianluigi-Donnarumma
2,Marseille,31,18,4,9,66,43,+23,58,1.87,56.0,42.6,+13.4,+0.43,PPPGPPPGPG,"63,140",Mason Greenwood-19,Gerónimo Rulli,,/es/jugadores/625c144a/Geronimo-Rulli
3,Lille,31,16,8,7,49,32,+17,56,1.81,50.3,39.8,+10.5,+0.34,PGPPPGPGPG,"40,888",Jonathan David-16,Lucas Chevalier,,/es/jugadores/b3d76d84/Lucas-Chevalier
4,Monaco,31,16,7,8,58,36,+22,55,1.77,69.2,32.1,+37.1,+1.20,PGPPPGPEPE,"9,435",Mika Biereth-13,Philipp Köhn,,/es/jugadores/ff74841d/Philipp-Kohn
5,Lyon,31,16,6,9,62,42,+20,54,1.74,54.9,43.4,+11.5,+0.37,PPPGPGPPPG,"51,134",Alexandre Lacazette-13,Lucas Perri,,/es/jugadores/5dbd461a/Lucas-Perri
6,Nice,31,15,9,7,59,39,+20,54,1.74,54.2,36.4,+17.8,+0.57,PPPPPEPGPG,"24,719",Evann Guessand-11,Marcin Bułka,,/es/jugadores/db87a2c4/Marcin-Bulka
7,Strasbourg,31,15,9,7,51,38,+13,54,1.74,45.9,51.2,-5.3,-0.17,PGPGPEPEPG,"19,468",Emanuel Emegha-14,Đorđe Petrović,,/es/jugadores/0cf321c8/Djordje-Petrovic
8,Lens,31,13,6,12,35,37,-2,45,1.45,48.6,42.6,+6.0,+0.19,PPPGPPPGPP,"37,936",M'Bala Nzola-6,Brice Samba,,/es/jugadores/60d90c55/Brice-Samba
9,Brest,31,13,5,13,49,53,-4,44,1.42,42.3,50.1,-7.9,-0.25,PGPGPEPPPP,"14,760",Ludovic Ajorque-12,Marco Bizot,,/es/jugadores/3d214e5f/Marco-Bizot
10,Auxerre,31,11,8,12,45,45,0,41,1.32,39.8,53.3,-13.5,-0.44,PGPGPPPPPG,"16,547",Hamed Junior Traorè-10,Donovan Léon,,/es/jugadores/51c83a90/Donovan-Leon
11,Rennes,31,12,2,17,46,44,+2,38,1.23,44.2,40.3,+3.8,+0.12,PGPPPGPGPP,"27,361",Arnaud Kalimuendo-14,Steve Mandanda,,/es/jugadores/1d2d5cc8/Steve-Mandanda
12,Toulouse,31,9,8,14,38,39,-1,35,1.13,44.2,33.3,+10.9,+0.35,PPPPPPPPPE,"24,711",Zakaria Aboukhlal-7,Guillaume Restes,,/es/jugadores/6b91b999/Guillaume-Restes
13,Reims,31,8,9,14,32,42,-10,33,1.06,34.2,53.2,-19.0,-0.61,PGPPPGPGPE,"15,637",Keito Nakamura-11,Yehvann Diouf,,/es/jugadores/eedea60b/Yehvann-Diouf
14,Nantes,31,7,11,13,35,50,-15,32,1.03,35.5,53.2,-17.8,-0.57,PPPGPPPEPE,"29,627",Matthis Abline-8,Anthony Lopes,,/es/jugadores/f00de885/Anthony-Lopes
15,Angers,31,8,6,17,29,50,-21,30,0.97,33.7,52.4,-18.7,-0.60,PPPPPGPPPP,"13,267",Esteban Lepaul-7,Yahia Fofana,,/es/jugadores/9d420dad/Yahia-Fofana
16,Le Havre,31,8,4,19,34,65,-31,28,0.90,36.4,58.5,-22.1,-0.71,PGPGPPPPPE,"20,156",Abdoulaye Touré-8,Arthur Desmas,,/es/jugadores/e8c5dd4d/Arthur-Desmas
17,Saint-Étienne,30,6,6,18,32,71,-39,24,0.80,33.8,67.2,-33.5,-1.12,PPPPPEPGPP,"26,437",Lucas Stassin-10,Gautier Larsonneur,,/es/jugadores/b49729cb/Gautier-Larsonneur
18,Montpellier,30,4,4,22,22,69,-47,16,0.53,31.6,58.0,-26.4,-0.88,PPPPPPPPPE,"13,410",Arnaud Nordin-4,Benjamin Lecomte,,/es/jugadores/2fa2a875/Benjamin-Lecomte
