RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Ultimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas,link
1,Liverpool,34,25,7,2,80,32,+48,82,2.41,74.4,28.9,+45.5,+1.34,PGPPPGPGPG,"60,321",Mohamed Salah-28,Alisson,,/es/jugadores/7a2e46a8/Alisson
2,Arsenal,34,18,13,3,63,29,+34,67,1.97,53.0,29.0,+24.0,+0.71,PGPEPEPGPE,"60,264",Kai Havertz-9,David Raya,,/es/jugadores/98ea5115/David-Raya
3,Newcastle Utd,34,19,5,10,65,44,+21,62,1.82,57.8,42.4,+15.4,+0.45,PGPGPGPPPG,"52,182",Alexander Isak-22,Nick Pope,,/es/jugadores/4b40d9ca/Nick-Pope
4,Manchester City,34,18,7,9,66,43,+23,61,1.79,61.2,44.8,+16.3,+0.48,PGPEPGPGPG,"52,741",Erling Haaland-21,Ederson,,/es/jugadores/3bb7b8b4/Ederson
5,Chelsea,34,17,9,8,59,40,+19,60,1.76,62.1,43.2,+18.9,+0.56,PGPEPEPGPG,"39,637",Cole Palmer-14,Robert Sánchez,,/es/jugadores/6a713852/Robert-Sanchez
6,Nott'ham Forest,33,18,6,9,53,39,+14,60,1.82,39.5,42.1,-2.6,-0.08,PGPGPPPPPG,"30,098",Chris Wood-19,Matz Sels,,/es/jugadores/834b5c4c/Matz-Sels
7,Aston Villa,34,16,9,9,54,49,+5,57,1.68,52.4,45.0,+7.3,+0.22,PGPGPGPGPP,"42,043",Ollie Watkins-15,Emiliano Martínez,,/es/jugadores/7956236f/Emiliano-Martinez
8,Fulham,34,14,9,11,50,46,+4,51,1.50,45.2,39.7,+5.5,+0.16,PPPGPPPPPG,"26,727",Raúl Jiménez-10,Bernd Leno,,/es/jugadores/2628fd2b/Bernd-Leno
9,Brighton,34,13,12,9,56,55,+1,51,1.50,52.0,47.7,+4.4,+0.13,PPPPPEPPPG,"31,842",João Pedro-10,Bart Verbruggen,,/es/jugadores/cf134113/Bart-Verbruggen
10,Bournemouth,34,13,11,10,53,41,+12,50,1.47,59.6,44.3,+15.2,+0.45,PPPEPGPEPE,"11,210",Justin Kluivert-12,Kepa Arrizabalaga,,/es/jugadores/28d596a0/Kepa-Arrizabalaga
11,Brentford,33,13,7,13,56,50,+6,46,1.39,49.7,50.1,-0.4,-0.01,PGPPPEPEPG,"18,827",Bryan Mbeumo-18,Mark Flekken,,/es/jugadores/a92ab7be/Mark-Flekken
12,Crystal Palace,34,11,12,11,43,47,-4,45,1.32,51.3,44.2,+7.2,+0.21,PGPPPPPEPE,"25,080",Jean-Philippe Mateta-14,Dean Henderson,,/es/jugadores/e5a76dfe/Dean-Henderson
13,Wolves,34,12,5,17,51,61,-10,41,1.21,40.0,52.8,-12.8,-0.38,PGPGPGPGPG,"30,564",Matheus Cunha-15,José Sá,,/es/jugadores/903b6e8b/Jose-Sa
14,Manchester Utd,34,10,9,15,39,47,-8,39,1.15,45.7,48.2,-2.5,-0.07,PPPEPPPPPE,"73,738",Bruno Fernandes-8,André Onana,,/es/jugadores/e9c0c1b2/Andre-Onana
15,Everton,34,8,14,12,34,41,-7,38,1.12,36.3,42.2,-5.9,-0.17,PPPEPGPPPP,"38,343",Iliman Ndiaye-7,Jordan Pickford,,/es/jugadores/4806ec67/Jordan-Pickford
16,Tottenham,34,11,4,19,62,56,+6,37,1.09,54.8,55.5,-0.7,-0.02,PPPGPPPPPP,"61,159",Brennan Johnson-11,Guglielmo Vicario,,/es/jugadores/77d6fd4d/Guglielmo-Vicario
17,West Ham,34,9,9,16,39,58,-19,36,1.06,42.2,54.1,-11.9,-0.35,PPPEPPPEPP,"62,463",Jarrod Bowen-9,Alphonse Areola,,/es/jugadores/2f965a72/Alphonse-Areola
18,Ipswich Town,34,4,9,21,33,74,-41,21,0.62,30.4,68.9,-38.4,-1.13,PGPPPEPPPP,"29,753",Liam Delap-12,Arijanet Muric,,/es/jugadores/99aa1a84/Arijanet-Muric
19,Leicester City,34,4,6,24,27,76,-49,18,0.53,29.1,67.1,-38.0,-1.12,PPPPPEPPPP,"31,429",Jamie Vardy-7,Mads Hermansen,,/es/jugadores/c924b17d/Mads-Hermansen
20,Southampton,34,2,5,27,25,80,-55,11,0.32,30.2,76.7,-46.5,-1.37,PEPPPPPEPP,"30,974",Paul Onuachu-4,Aaron Ramsdale,,/es/jugadores/466fb2c5/Aaron-Ramsdale
