Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Christian Kouamé,"€ 60,577","€ 3,150,000",,"Jun 30, 2025",1,"€ 3,150,000",
Junior Sambia,"€ 36,923","€ 1,920,000",,"Jun 30, 2025",1,"€ 1,920,000",
Nicolas Haas,"€ 32,115","€ 1,670,000",,"Jun 30, 2025",1,"€ 1,670,000",
Liam Henderson,"€ 28,462","€ 1,480,000",,"Jun 30, 2025",1,"€ 1,480,000",
Marco Silvestri,"€ 25,000","€ 1,300,000",,"Jun 30, 2025",1,"€ 1,300,000",
Alberto Grassi,"€ 25,000","€ 1,300,000",,"Jun 30, 2026",2,"€ 2,600,000",
Pietro Pellegri,"€ 24,615","€ 1,280,000",,"Jun 30, 2025",1,"€ 1,280,000",
Youssef Maleh,"€ 21,346","€ 1,110,000","€ 190,000","Jun 30, 2025",1,"€ 1,110,000",
Emmanuel Gyasi,"€ 21,346","€ 1,110,000","€ 370,000","Jun 30, 2025",1,"€ 1,110,000",
Lorenzo Colombo,"€ 17,885","€ 930,000",,"Jun 30, 2025",1,"€ 930,000",
Mattia De Sciglio,"€ 17,885","€ 930,000",,"Jun 30, 2025",1,"€ 930,000",
Giuseppe Pezzella,"€ 17,885","€ 930,000",,"Jun 30, 2026",2,"€ 1,860,000",
Ardian Ismajli,"€ 17,308","€ 900,000",,"Jun 30, 2025",1,"€ 900,000",
Ola Solbakken,"€ 17,308","€ 900,000",,"Jun 30, 2025",1,"€ 900,000",
Szymon Żurkowski,"€ 17,308","€ 900,000","€ 260,000","Jun 30, 2025",1,"€ 900,000",
Sebastiano Esposito,"€ 14,231","€ 740,000",,"Jun 30, 2025",1,"€ 740,000",
Mattia Viti,"€ 12,500","€ 650,000",,"Jun 30, 2025",1,"€ 650,000",
Saba Sazonov,"€ 12,308","€ 640,000",,"Jun 30, 2025",1,"€ 640,000",
Tyronne Ebuehi,"€ 12,308","€ 640,000",,"Jun 30, 2025",1,"€ 640,000",
Tino Anjorin,"€ 10,769","€ 560,000",,"Jun 30, 2025",1,"€ 560,000",
Liberato Cacace,"€ 6,154","€ 320,000",,"Jun 30, 2026",2,"€ 640,000",
Devis Vásquez,"€ 5,962","€ 310,000",,"Jun 30, 2025",1,"€ 310,000",
Federico Brancolini,"€ 3,654","€ 190,000",,"Jun 30, 2027",3,"€ 570,000",
Saba Goglichidze,"€ 2,885","€ 150,000",,"Jun 30, 2027",3,"€ 450,000",
Jacopo Fazzini,"€ 2,885","€ 150,000",,"Jun 30, 2027",3,"€ 450,000",
Luca Marianucci,"€ 2,500","€ 130,000",,"Jun 30, 2025",1,"€ 130,000",
Jacopo Seghetti,"€ 2,115","€ 110,000",,"Jun 30, 2025",1,"€ 110,000",
