nombre,link,plantilla,edad_promedio,extranjeros,valor_mercado,valor_total
Real Madrid,/real-madrid/kader/verein/418/saison_id/2024/plus/1,,24,27.1,€53.00m,€1.27bn
FC Barcelona,/fc-barcelona/kader/verein/131/saison_id/2024/plus/1,,26,25.1,€39.19m,€1.02bn
Atlético de Madrid,/atletico-madrid/kader/verein/13/saison_id/2024/plus/1,,23,29.4,€22.43m,€515.80m
Real Sociedad,/real-sociedad-san-sebastian/kader/verein/681/saison_id/2024/plus/1,,26,25.5,€14.76m,€383.80m
Athletic Bilbao,/athletic-bilbao/kader/verein/621/saison_id/2024/plus/1,,24,27.3,€15.29m,€367.00m
Villarreal CF,/fc-villarreal/kader/verein/1050/saison_id/2024/plus/1,,24,27.5,€9.11m,€218.60m
Valencia CF,/fc-valencia/kader/verein/1049/saison_id/2024/plus/1,,26,26.0,€8.27m,€214.90m
Girona FC,/fc-girona/kader/verein/12321/saison_id/2024/plus/1,,26,27.6,€6.95m,€180.70m
Sevilla FC,/fc-sevilla/kader/verein/368/saison_id/2024/plus/1,,23,26.2,€7.59m,€174.50m
Real Betis Balompié,/real-betis-sevilla/kader/verein/150/saison_id/2024/plus/1,,25,28.3,€6.92m,€173.10m
UD Las Palmas,/ud-las-palmas/kader/verein/472/saison_id/2024/plus/1,,25,27.6,€5.01m,€125.30m
CA Osasuna,/ca-osasuna/kader/verein/331/saison_id/2024/plus/1,,22,28.6,€4.95m,€109.00m
Celta de Vigo,/celta-vigo/kader/verein/940/saison_id/2024/plus/1,,25,26.8,€3.80m,€95.10m
RCD Espanyol Barcelona,/espanyol-barcelona/kader/verein/714/saison_id/2024/plus/1,,28,26.2,€3.24m,€90.60m
RCD Mallorca,/rcd-mallorca/kader/verein/237/saison_id/2024/plus/1,,24,29.0,€3.43m,€82.20m
Getafe CF,/fc-getafe/kader/verein/3709/saison_id/2024/plus/1,,24,27.3,€3.20m,€76.80m
Deportivo Alavés,/deportivo-alaves/kader/verein/1108/saison_id/2024/plus/1,,25,26.6,€2.92m,€73.00m
Rayo Vallecano,/rayo-vallecano/kader/verein/367/saison_id/2024/plus/1,,25,30.0,€2.72m,€67.90m
Real Valladolid CF,/real-valladolid/kader/verein/366/saison_id/2024/plus/1,,26,27.1,€1.67m,€43.30m
CD Leganés,/cd-leganes/kader/verein/1244/saison_id/2024/plus/1,,24,27.9,€1.68m,€40.40m
