Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
13,Jan Oblak,Goalkeeper,"Jan 7, 1993 (32)",Slovenia,"1,88m",right,"Jul 16, 2014",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483
1,Juan Musso,Goalkeeper,"May 6, 1994 (30)","Argentina, Italy","1,91m",right,"Aug 27, 2024",,"Jun 30, 2025",€4.00m,https://www.transfermarkt.com/juan-musso/profil/spieler/242359
24,Robin Le Normand,Centre-Back,"Nov 11, 1996 (28)","Spain, France","1,87m",right,"Jul 27, 2024",,"Jun 30, 2029",€40.00m,https://www.transfermarkt.com/robin-le-normand/profil/spieler/351809
2,José María Giménez,Centre-Back,"Jan 20, 1995 (30)","Uruguay, Spain","1,85m",right,"Apr 25, 2013",,"Jun 30, 2028",€20.00m,https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845
15,Clément Lenglet,Centre-Back,"Jun 17, 1995 (29)",France,"1,86m",left,"Aug 26, 2024",,"Jun 30, 2025",€7.50m,https://www.transfermarkt.com/clement-lenglet/profil/spieler/182904
20,Axel Witsel,Centre-Back,"Jan 12, 1989 (36)","Belgium, Martinique","1,86m",right,"Jul 6, 2022",,"Jun 30, 2025",€2.50m,https://www.transfermarkt.com/axel-witsel/profil/spieler/35047
3,César Azpilicueta,Centre-Back,"Aug 28, 1989 (35)",Spain,"1,78m",right,"Jul 6, 2023",,"Jun 30, 2025",€1.80m,https://www.transfermarkt.com/cesar-azpilicueta/profil/spieler/57500
23,Reinildo Mandava,Left-Back,"Jan 21, 1994 (31)",Mozambique,"1,80m",left,"Jan 31, 2022",,"Jun 30, 2025",€8.00m,https://www.transfermarkt.com/reinildo-mandava/profil/spieler/240692
21,Javi Galán,Left-Back,"Nov 19, 1994 (30)",Spain,"1,72m",left,"Jul 3, 2023",,"Jun 30, 2026",€4.00m,https://www.transfermarkt.com/javi-galan/profil/spieler/448628
16,Nahuel Molina,Right-Back,"Apr 6, 1998 (27)",Argentina,"1,75m",right,"Jul 28, 2022",,"Jun 30, 2027",€25.00m,https://www.transfermarkt.com/nahuel-molina/profil/spieler/424042
8,Pablo Barrios,Central Midfield,"Jun 15, 2003 (21)",Spain,"1,81m",right,"Jan 23, 2023",,"Jun 30, 2028",€50.00m,https://www.transfermarkt.com/pablo-barrios/profil/spieler/775605
4,Conor Gallagher,Central Midfield,"Feb 6, 2000 (25)","England, Ireland","1,82m",right,"Aug 21, 2024",,"Jun 30, 2029",€40.00m,https://www.transfermarkt.com/conor-gallagher/profil/spieler/488362
5,Rodrigo De Paul,Central Midfield,"May 24, 1994 (30)","Argentina, Italy","1,80m",right,"Jul 12, 2021",,"Jun 30, 2026",€25.00m,https://www.transfermarkt.com/rodrigo-de-paul/profil/spieler/255901
6,Koke,Central Midfield,"Jan 8, 1992 (33)",Spain,"1,76m",right,"Jan 1, 2011",,"Jun 30, 2025",€10.00m,https://www.transfermarkt.com/koke/profil/spieler/74229
14,Marcos Llorente,Right Midfield,"Jan 30, 1995 (30)",Spain,"1,84m",right,"Jul 1, 2019",,"Jun 30, 2027",€28.00m,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411
11,Thomas Lemar,Attacking Midfield,"Nov 12, 1995 (29)","France, Guadeloupe","1,71m",left,"Jul 1, 2018",,"Jun 30, 2027",€5.00m,https://www.transfermarkt.com/thomas-lemar/profil/spieler/205562
12,Samuel Lino,Left Winger,"Dec 23, 1999 (25)",Brazil,"1,77m",right,"Jul 8, 2022",,"Jun 30, 2027",€25.00m,https://www.transfermarkt.com/samuel-lino/profil/spieler/694928
17,Rodrigo Riquelme,Left Winger,"Apr 2, 2000 (25)",Spain,"1,74m",right,"Jul 1, 2020",,"Jun 30, 2028",€18.00m,https://www.transfermarkt.com/rodrigo-riquelme/profil/spieler/461617
22,Giuliano Simeone,Right Winger,"Dec 18, 2002 (22)","Argentina, Italy","1,73m",right,"Jul 1, 2022",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/giuliano-simeone/profil/spieler/742201
10,Ángel Correa,Right Winger,"Mar 9, 1995 (30)","Argentina, Spain","1,71m",right,"Jan 1, 2015",,"Jun 30, 2026",€15.00m,https://www.transfermarkt.com/angel-correa/profil/spieler/266807
19,Julián Alvarez,Centre-Forward,"Jan 31, 2000 (25)","Argentina, Italy","1,70m",right,"Aug 12, 2024",,"Jun 30, 2030",€90.00m,https://www.transfermarkt.com/julian-alvarez/profil/spieler/576024
9,Alexander Sørloth,Centre-Forward,"Dec 5, 1995 (29)",Norway,"1,95m",left,"Aug 3, 2024",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/alexander-sorloth/profil/spieler/238407
7,Antoine Griezmann,Centre-Forward,"Mar 21, 1991 (34)",France,"1,76m",left,"Jul 1, 2023",,"Jun 30, 2026",€22.00m,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781
