Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Liel Abada,"€ 39,041","€ 2,030,153",,"Dec 31, 2026",2,"€ 4,060,306",
Pep Biel,"€ 33,270","€ 1,730,043",,"Jul 31, 2025",1,"€ 1,730,043",
Ashley Westwood,"€ 12,731","€ 662,006",,"Dec 31, 2026",2,"€ 1,324,013",
Nathan Byrne,"€ 9,506","€ 494,298",,"Dec 31, 2026",2,"€ 988,596",
Kristijan Kahlina,"€ 9,336","€ 485,471",,"Dec 31, 2026",2,"€ 970,943",
Tim Ream,"€ 8,487","€ 441,338",,"Dec 31, 2026",2,"€ 882,675",
Bill Tuiloma,"€ 7,808","€ 406,031",,"Dec 31, 2025",1,"€ 406,031",
Kerwin Vargas,"€ 6,790","€ 353,070",,"Dec 31, 2027",3,"€ 1,059,210",
Idan Toklomati,"€ 6,620","€ 344,243",,"Dec 31, 2027",3,"€ 1,032,730",
Nikola Petković,"€ 6,111","€ 317,763",,"Dec 31, 2026",2,"€ 635,526",
Brandt Bronico,"€ 5,941","€ 308,936",,"Dec 31, 2025",1,"€ 308,936",
Adilson Malanda,"€ 5,517","€ 286,869",,"Dec 31, 2026",2,"€ 573,739",
Djibril Diani,"€ 4,413","€ 229,496",,"Dec 31, 2025",1,"€ 229,496",
Jahkeele Marshall-Rutty,"€ 2,971","€ 154,468",,"Dec 31, 2025",1,"€ 154,468",
Brian Romero,"€ 1,697","€ 88,268",,"Dec 31, 2026",2,"€ 176,535",
George Marks,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Brandon Cambridge,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
David Bingham,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Nimfasha Berchimas,"€ 1,523","€ 79,190",,"Dec 31, 2026",2,"€ 158,380",
Iuri Tavares,"€ 1,523","€ 79,190",,"Dec 31, 2026",2,"€ 158,380",
Jahlane Forbes,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Andrew Privett,"€ 1,212","€ 63,024",,"Dec 31, 2028",4,"€ 252,096",
Chituru Odunze,"€ 1,212","€ 63,024",,"Dec 31, 2027",3,"€ 189,072",
Jack Neeley,"€ 1,212","€ 63,024",,"Dec 31, 2026",2,"€ 126,048",
Nick Scardina,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Patrick Agyemang,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Tyger Smalls,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Mikah Thomas,,,,"Dec 31, 2026",2,,
Souleyman Doumbia,,,,"Dec 31, 2025",1,,
Eryk Williamson,,,,"Dec 31, 2025",1,,
Nick Holliday,,,,"Dec 31, 2027",3,,
Wilfried Zaha,,,,"Jan 17, 2026",2,,
