Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Osman Bukari,"€ 16,975","€ 882,675",,"Dec 31, 2027",3,"€ 2,648,025",
Julio Cascante,"€ 11,882","€ 617,873",,"Dec 31, 2025",1,"€ 617,873",
Mikkel Desler,"€ 8,487","€ 441,338",,"Dec 31, 2027",3,"€ 1,324,013",
Jáder Obrian,"€ 8,402","€ 436,924",,"Dec 31, 2026",2,"€ 873,848",
Brad Stuver,"€ 7,791","€ 405,148",,"Dec 31, 2025",1,"€ 405,148",
Jon Gallagher,"€ 6,365","€ 331,003",,"Dec 31, 2026",2,"€ 662,006",
Žan Kolmanič,"€ 5,941","€ 308,936",,"Dec 31, 2026",2,"€ 617,873",
Oleksandr Svatok,"€ 5,092","€ 264,803",,"Dec 31, 2027",3,"€ 794,408",
Guilherme Biro,"€ 3,395","€ 176,535",,"Dec 31, 2027",3,"€ 529,605",
Stefan Cleveland,"€ 3,395","€ 176,535",,"Dec 31, 2025",1,"€ 176,535",
Brendan Hines-Ike,"€ 3,395","€ 176,528",,"Dec 31, 2025",1,"€ 176,528",
Daniel Pereira,"€ 2,122","€ 110,334",,"Dec 31, 2025",1,"€ 110,334",
Owen Wolff,"€ 1,867","€ 97,094",,"Dec 31, 2027",3,"€ 291,283",
CJ Fodrey,"€ 1,523","€ 79,190",,"Dec 31, 2027",3,"€ 237,570",
Jimmy Farkarlun,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Micah Burton,"€ 1,212","€ 63,024",,"Dec 31, 2027",3,"€ 189,072",
Besard Sabovic,,,,"Dec 31, 2027",3,,
Myrto Uzuni,,,,"Dec 31, 2027",3,,
Nicolás Dubersarsky,,,,"Dec 31, 2029",5,,
Brandon Vazquez,,,,"Dec 31, 2028",4,,
Riley Thomas,,,,"Dec 31, 2025",1,,
Robert Taylor,,,,"Dec 31, 2026",2,,
Ilie Sánchez,,,,"Dec 31, 2025",1,,
