Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Riqui Puig,"€ 67,898","€ 3,530,700",,"Dec 31, 2027",3,"€ 10,592,101",
Joseph Paintsil,"€ 53,232","€ 2,768,069",,"Dec 31, 2027",3,"€ 8,304,207",
Gabriel Pec,"€ 28,517","€ 1,482,894",,"Dec 31, 2028",4,"€ 5,931,577",
Diego Fagúndez,"€ 21,218","€ 1,103,344",,"Dec 31, 2025",1,"€ 1,103,344",
Marco Reus,"€ 16,296","€ 847,368",,"Dec 31, 2026",2,"€ 1,694,736",
Maya Yoshida,"€ 13,580","€ 706,140",,"Dec 31, 2026",2,"€ 1,412,280",
Miki Yamane,"€ 9,336","€ 485,471",,"Dec 31, 2026",2,"€ 970,943",
Edwin Cerrillo,"€ 6,790","€ 353,070",,"Dec 31, 2026",2,"€ 706,140",
Julián Aude,"€ 5,517","€ 286,869",,"Dec 31, 2027",3,"€ 860,608",
John McCarthy,"€ 4,668","€ 242,736",,"Dec 31, 2025",1,"€ 242,736",
John Nelson,"€ 4,668","€ 242,736",,"Dec 31, 2025",1,"€ 242,736",
Carlos Garcés,"€ 3,395","€ 176,535",,"Dec 31, 2028",4,"€ 706,140",
Miguel Berry,"€ 2,971","€ 154,475",,"Dec 31, 2025",1,"€ 154,475",
Novak Mićović,"€ 2,546","€ 132,401",,"Dec 31, 2026",2,"€ 264,803",
Mauricio Cuevas,"€ 2,122","€ 110,334",,"Dec 31, 2025",1,"€ 110,334",
Brady Scott,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Eriq Zavaleta,"€ 1,523","€ 79,190",,"Dec 31, 2025",1,"€ 79,190",
Isaiah Parente,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Tucker Lepley,"€ 1,212","€ 63,024",,"Dec 31, 2025",1,"€ 63,024",
Zanka,,,,"Dec 31, 2026",2,,
Christian Ramirez,,,,"Dec 31, 2025",1,,
Elijah Wynder,,,,"Dec 31, 2027",3,,
Harbor Miller,,,,"Dec 31, 2027",3,,
JT Marcinkowski,,,,"Dec 31, 2026",2,,
Lucas Sanabria,,,,"Dec 31, 2029",5,,
Matheus Nascimento,,,,"Dec 31, 2025",1,,
Rubén Ramos,,,,"Dec 31, 2027",3,,
Ascel Essengue,,,,"Dec 31, 2026",2,,
