Jugador,Bruto Semanal,Bruto Anual,Bonus,Expiración,Años Restantes,Remanente Bruto,Cláusula De Rescisión
Andrea Pinamonti,"€ 85,385","€ 4,440,000",,"Jun 30, 2025",1,"€ 4,440,000",
Junior Messias,"€ 71,154","€ 3,700,000",,"Jun 30, 2025",1,"€ 3,700,000",
Vitinha,"€ 64,038","€ 3,330,000",,"Jun 30, 2028",4,"€ 13,320,000",
Milan Badelj,"€ 34,423","€ 1,790,000",,"Jun 30, 2025",1,"€ 1,790,000",
Jean Onana,"€ 26,731","€ 1,390,000",,"Jun 30, 2025",1,"€ 1,390,000",
Maxwel Cornet,"€ 26,731","€ 1,390,000",,"Jun 30, 2025",1,"€ 1,390,000",
Mattia Bani,"€ 25,000","€ 1,300,000",,"Jun 30, 2026",2,"€ 2,600,000",
Aarón Martín,"€ 24,615","€ 1,280,000",,"Jun 30, 2026",2,"€ 2,560,000",
Ruslan Malinovskyi,"€ 24,615","€ 1,280,000",,"Jun 30, 2027",3,"€ 3,840,000",
Morten Thorsby,"€ 20,000","€ 1,040,000",,"Jun 30, 2026",2,"€ 2,080,000",
Morten Frendrup,"€ 19,808","€ 1,030,000",,"Jun 30, 2028",4,"€ 4,120,000",
Johan Vásquez,"€ 19,808","€ 1,030,000",,"Jun 30, 2027",3,"€ 3,090,000",
Brooke Norton-Cuffy,"€ 17,885","€ 930,000",,"Jun 30, 2029",5,"€ 4,650,000",
Caleb Ekuban,"€ 14,808","€ 770,000",,"Jun 30, 2026",2,"€ 1,540,000",
Koni De Winter,"€ 14,231","€ 740,000",,"Jun 30, 2028",4,"€ 2,960,000",
Benjamin Siegrist,"€ 14,231","€ 740,000",,"Jun 30, 2025",1,"€ 740,000",
Alessandro Zanoli,"€ 14,231","€ 740,000",,"Jun 30, 2025",1,"€ 740,000",
Stefano Sabelli,"€ 12,500","€ 650,000",,"Jun 30, 2026",2,"€ 1,300,000",
Alan Matturro,"€ 9,808","€ 510,000",,"Jun 30, 2026",2,"€ 1,020,000",
Mario Balotelli,"€ 8,846","€ 460,000","€ 280,000","Jun 30, 2025",1,"€ 460,000",
Nicola Leali,"€ 8,846","€ 460,000",,"Jun 30, 2026",2,"€ 920,000",
Patrizio Masini,"€ 6,346","€ 330,000",,"Jun 30, 2028",4,"€ 1,320,000",
Jeff Ekhator,"€ 5,962","€ 310,000",,"Jun 30, 2029",5,"€ 1,550,000",
Sebastian Otoa,"€ 5,385","€ 280,000",,"Jun 30, 2028",4,"€ 1,120,000",
Daniele Sommariva,"€ 5,000","€ 260,000",,"Jun 30, 2025",1,"€ 260,000",
Honest Ahanor,"€ 3,654","€ 190,000",,"Jun 30, 2027",3,"€ 570,000",
Lior Kassa,"€ 3,654","€ 190,000",,"Jun 30, 2025",1,"€ 190,000",
Hugo Cuenca,"€ 2,115","€ 110,000",,"Jun 30, 2025",1,"€ 110,000",
Manolo Portanova,,,,"Jun 30, 2025",1,,
