Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Adil Demirbağ,trTUR,DF,27-141,30,30,"2,700",30.0,2,3,5,2,0,0,8,0,0.07,0.10,0.17,0.07,0.17,Partidos,27.0,4.0,14.8,0.87,0.13,0.07,0.5,,,,,,,,,,,,,,,,,,90,93.9,90,31,0,,0,1.29,36,41,-5,-0.16,-0.66,0.0,45.0,32.0,3.0,6.0,41.0,37.0,,,/es/jugadores/e43a256f/Adil-Demirbag
Guilherme Sityá,ptPOR,DF,35-029,30,30,"2,639",29.3,0,6,6,0,0,0,2,0,0.00,0.20,0.20,0.00,0.20,Partidos,7.0,1.0,14.3,0.23,0.03,0.0,0.0,,,,,,,,,,,,,,,,,,88,91.9,88,30,0,,0,1.19,37,42,-5,-0.16,-0.54,0.0,26.0,21.0,1.0,169.0,32.0,35.0,,,/es/jugadores/8377c51d/Guilherme-Sitya
Pedrinho,brBRA,CC,28-132,29,28,"2,288",25.4,4,3,7,4,0,0,3,0,0.16,0.12,0.28,0.16,0.28,Partidos,54.0,15.0,27.8,2.06,0.57,0.07,0.27,,,,,,,,,,,,,,,,,,79,79.4,80,9,1,30,1,1.40,28,33,-5,-0.19,-0.34,0.0,42.0,56.0,6.0,134.0,15.0,22.0,,,/es/jugadores/2ca0d266/Pedrinho
Marko Jevtović,rsSRB,CC,31-280,30,26,"2,197",24.4,3,2,5,3,0,0,8,0,0.12,0.08,0.20,0.12,0.20,Partidos,27.0,10.0,37.0,1.07,0.4,0.11,0.3,,,,,,,,,,,,,,,,,,73,76.6,83,14,4,11,0,1.39,29,33,-4,-0.16,-0.16,0.0,32.0,23.0,0.0,7.0,39.0,38.0,,,/es/jugadores/b12c68bf/Marko-Jevtovic
Yusuf Erdoğan,trTUR,CC,32-266,30,26,"2,070",23.0,3,7,10,3,0,0,3,0,0.13,0.30,0.43,0.13,0.43,Partidos,39.0,11.0,28.2,1.63,0.46,0.08,0.27,,,,,,,,,,,,,,,,,,70,72.6,76,5,4,25,1,1.29,35,31,+4,+0.17,+1.05,0.0,22.0,42.0,11.0,139.0,14.0,11.0,,,/es/jugadores/1469d291/Yusuf-Erdogan
Jakub Słowik,plPOL,PO,33-242,23,23,"2,070",23.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,0.0,0.0,,0.0,0.0,,,,38.0,1.58,103.0,74.0,68.9,6.0,6.0,12.0,4.0,16.7,6.0,6.0,6.0,6.0,0.0,33.3,90,72.7,90,24,0,,3,1.00,29,38,-9,-0.37,-0.93,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,/es/jugadores/b0c1bea5/Jakub-Slowik
Blaž Kramer,siSVN,DL,28-333,27,21,"1,862",20.7,9,3,12,9,0,0,6,0,0.44,0.15,0.58,0.44,0.58,Partidos,51.0,23.0,45.1,2.38,1.07,0.18,0.39,,,,,,,,,,,,,,,,,,69,65.0,83,12,6,16,0,1.29,27,33,-6,-0.28,-0.45,0.0,39.0,30.0,12.0,6.0,3.0,9.0,,,/es/jugadores/32523fce/Blaz-Kramer
Alassane Ndao,snSEN,"CC,DF",28-131,27,21,"1,750",19.4,4,0,4,4,0,0,5,1,0.21,0.00,0.21,0.21,0.21,Partidos,21.0,10.0,47.6,1.03,0.49,0.19,0.4,,,,,,,,,,,,,,,,,,66,62.0,78,9,6,19,4,1.21,21,27,-6,-0.29,-0.45,1.0,14.0,23.0,5.0,54.0,13.0,16.0,,,/es/jugadores/6abe11e6/Alassane-Ndao
Uğurcan Yazgılı,trTUR,"DF,CC",26-021,26,20,"1,766",19.6,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Partidos,12.0,4.0,33.3,0.58,0.19,0.08,0.25,,,,,,,,,,,,,,,,,,69,62.5,83,16,6,18,5,1.48,24,28,-4,-0.19,-0.19,0.0,22.0,25.0,0.0,10.0,41.0,24.0,,,/es/jugadores/0caa0427/Ugurcan-Yazgili
Riechedly Bazoer,nlNED,"DF,CC",28-200,22,20,"1,670",18.6,2,2,4,2,0,0,8,0,0.11,0.11,0.22,0.11,0.22,Partidos,6.0,2.0,33.3,0.32,0.11,0.33,1.0,,,,,,,,,,,,,,,,,,76,56.2,81,12,2,30,3,1.32,25,28,-3,-0.16,-0.09,0.0,23.0,11.0,0.0,5.0,11.0,11.0,,,/es/jugadores/da59a197/Riechedly-Bazoer
Danijel Aleksić,rsSRB,CC,34-000,29,18,"1,584",17.6,4,0,4,4,0,0,5,0,0.23,0.00,0.23,0.23,0.23,Partidos,43.0,11.0,25.6,2.44,0.62,0.09,0.36,,,,,,,,,,,,,,,,,,55,53.3,76,3,11,20,0,1.31,22,20,+2,+0.11,+0.50,0.0,17.0,14.0,4.0,15.0,8.0,15.0,,,/es/jugadores/d68cb24c/Danijel-Aleksic
Oğulcan Ülgün,trTUR,"CC,DF",26-354,26,16,"1,437",16.0,2,3,5,2,0,0,9,0,0.13,0.19,0.31,0.13,0.31,Partidos,11.0,5.0,45.5,0.68,0.31,0.18,0.4,,,,,,,,,,,,,,,,,,54,49.1,77,4,11,21,4,1.41,23,24,-1,-0.06,+0.12,0.0,41.0,33.0,5.0,26.0,13.0,15.0,,,/es/jugadores/4a083f3f/Ogulcan-Ulgun
Nikola Boranijašević,rsSRB,DF,32-346,21,16,"1,404",15.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,8.0,1.0,12.5,0.51,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,67,47.3,85,13,5,9,7,1.38,15,22,-7,-0.45,-0.62,0.0,30.0,17.0,0.0,39.0,21.0,29.0,,,/es/jugadores/f893dba4/Nikola-Boranijasevic
Melih Ibrahimoglu,trTUR,CC,24-287,26,13,"1,286",14.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Partidos,18.0,3.0,16.7,1.18,0.2,0.0,0.0,,,,,,,,,,,,,,,,,,51,46.2,81,4,13,18,4,1.15,18,23,-5,-0.33,-0.38,1.0,19.0,22.0,0.0,26.0,19.0,25.0,,,/es/jugadores/6fa87bf4/Melih-Ibrahimoglu
Umut Nayir,trTUR,"DL,CC",31-306,29,10,"1,191",13.2,3,0,3,2,1,2,4,0,0.23,0.00,0.23,0.15,0.15,Partidos,27.0,11.0,40.7,2.0,0.82,0.07,0.18,,,,,,,,,,,,,,,,,,40,40.8,82,4,20,20,0,1.23,20,14,+6,+0.45,+0.96,0.0,14.0,20.0,6.0,1.0,4.0,5.0,,,/es/jugadores/fc4ab056/Umut-Nayir
