Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,Partidos,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,PC,% Salvadas_penales,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,link
Charis Charisis,grGRE,CC,30-108,30,30,"2,559",28.4,1,1,2,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,Partidos,25,6,24.0,0.88,0.21,0.04,0.17,,,,,,,,,,,,,,,,,,85,86.2,85,20,0,,0,1.10,40,46,-6,-0.21,+1.32,0,28,71,0,31,29,50,,,/es/jugadores/b0644957/Charis-Charisis
Murat Paluli,trTUR,DF,30-264,28,28,"2,467",27.4,1,4,5,1,0,0,8,1,0.04,0.15,0.18,0.04,0.18,Partidos,11,4,36.4,0.39,0.14,0.09,0.25,,,,,,,,,,,,,,,,,,88,86.1,88,25,0,,0,1.17,39,46,-7,-0.25,+1.06,0,17,38,1,58,28,31,,,/es/jugadores/2f5b4f08/Murat-Paluli
Uğur Çiftçi,trTUR,DF,32-361,27,27,"2,385",26.5,1,4,5,1,0,0,10,2,0.04,0.15,0.19,0.04,0.19,Partidos,11,1,9.1,0.42,0.04,0.09,1.00,,,,,,,,,,,,,,,,,,88,80.3,88,22,0,,0,1.22,41,43,-2,-0.08,+1.62,2,38,14,5,131,19,40,,,/es/jugadores/e111bf12/Ugur-Ciftci
Uroš Radaković,rsSRB,DF,31-030,26,26,"2,175",24.2,4,0,4,4,0,0,2,4,0.17,0.00,0.17,0.17,0.17,Partidos,18,7,38.9,0.72,0.28,0.22,0.57,,,,,,,,,,,,,,,,,,84,76.3,84,20,0,,0,1.11,38,43,-5,-0.20,+0.82,0,20,10,4,2,37,26,,,/es/jugadores/ebbd1336/Uros-Radakovic
Samuel Moutoussamy,cdCOD,CC,28-261,27,25,"2,208",24.5,0,2,2,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Partidos,22,7,31.8,0.88,0.28,0.00,0.00,,,,,,,,,,,,,,,,,,80,75.9,85,15,2,17,0,1.07,37,42,-5,-0.20,+0.80,0,29,15,0,23,21,33,,,/es/jugadores/af0c835b/Samuel-Moutoussamy
Noah Sonko Sundberg,gmGAM,DF,28-328,26,24,"2,184",24.3,2,1,3,2,0,0,6,0,0.08,0.04,0.12,0.08,0.12,Partidos,13,6,46.2,0.54,0.25,0.15,0.33,,,,,,,,,,,,,,,,,,84,73.5,89,22,2,25,3,1.04,27,40,-13,-0.54,-0.54,0,25,2,1,1,27,17,,,/es/jugadores/f18c0f1f/Noah-Sonko-Sundberg
Rey Manaj,alALB,DL,28-065,25,24,"2,034",22.6,11,4,15,9,2,3,8,1,0.49,0.18,0.66,0.40,0.58,Partidos,94,33,35.1,4.00,1.40,0.11,0.30,,,,,,,,,,,,,,,,,,81,71.3,84,17,1,13,0,1.08,32,42,-10,-0.43,-0.11,1,49,73,18,10,3,4,,,/es/jugadores/7703afb6/Rey-Manaj
Ali Şaşal Vural,trTUR,PO,34-294,22,21,"1,935",21.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Partidos,0,0,,0.00,0.00,,,,37.0,1.64,125.0,93.0,74.4,5.0,5.0,12.0,4.0,18.2,5.0,5.0,5.0,5.0,0.0,0.0,88,68.2,90,22,1,45,9,0.87,30,37,-7,-0.31,+0.26,0,0,9,0,0,0,0,,,/es/jugadores/cead8fc6/Ali-Sasal-Vural
Garry Rodrigues,cvCPV,"CC,DL",34-154,23,19,"1,567",17.4,4,3,7,4,0,0,3,0,0.23,0.17,0.40,0.23,0.40,Partidos,27,11,40.7,1.48,0.60,0.15,0.36,,,,,,,,,,,,,,,,,,68,55.1,75,3,4,33,0,1.08,26,33,-7,-0.38,+0.02,0,15,28,18,43,7,13,,,/es/jugadores/149895bf/Garry-Rodrigues
Bengali-Fodé Koita,gnGUI,"CC,DL",34-191,21,15,"1,321",14.7,5,1,6,5,0,0,5,0,0.34,0.07,0.41,0.34,0.41,Partidos,29,14,48.3,1.91,0.92,0.17,0.36,,,,,,,,,,,,,,,,,,62,46.0,81,8,7,23,0,1.00,20,32,-12,-0.79,-0.73,0,24,45,9,10,3,7,,,/es/jugadores/cbd4822d/Bengali-Fode-Koita
