RL,Equipo,PJ,PG,PE,PP,GF,GC,DG,Pts,Pts/PJ,xG,xGA,xGD,xGD/90,Ultimos 5,Asistencia,Máximo Goleador del Equipo,Portero,Notas,link
1,Sporting CP,31,23,6,2,83,25,+58,75,2.42,68.7,21.0,+47.7,+1.54,PGPEPGPGPG,"41,308",Viktor Gyökeres-38,Rui Silva,,/es/jugadores/ea83bfa6/Rui-Silva
2,Benfica,31,24,3,4,80,25,+55,75,2.42,73.2,25.9,+47.3,+1.53,PGPGPEPGPG,"58,725",Vangelis Pavlidis-18,Anatolii Trubin,,/es/jugadores/41f0b196/Anatolii-Trubin
3,Braga,31,19,7,5,52,26,+26,64,2.06,46.1,31.3,+14.8,+0.48,PGPEPGPGPE,"14,246",Ricardo Horta-9,Matheus,,/es/jugadores/ef3909cd/Matheus
4,Porto,31,19,5,7,57,28,+29,62,2.00,51.4,27.2,+24.2,+0.78,PGPPPGPGPP,"40,071",Samu Omorodion-16,Diogo Costa,,/es/jugadores/93fffbcf/Diogo-Costa
5,Vitória,31,13,12,6,44,32,+12,51,1.65,41.3,27.2,+14.1,+0.45,PEPGPGPPPG,"17,700",Gustavo da Silva-6,Bruno Varela,,/es/jugadores/2bea06e0/Bruno-Varela
6,Santa Clara,31,15,5,11,31,29,+2,50,1.61,38.1,28.7,+9.4,+0.30,PGPPPPPEPG,"3,481",Vinícius-8,Gabriel Batista,,/es/jugadores/20575487/Gabriel-Batista
7,Famalicão,31,11,11,9,40,34,+6,44,1.42,33.9,38.3,-4.4,-0.14,PGPGPGPPPE,"3,762",Óscar Aranda-9,Lazar Carević,,/es/jugadores/8804949c/Lazar-Carevic
8,Casa Pia,30,11,8,11,35,38,-3,41,1.37,29.9,37.5,-7.6,-0.25,PPPGPEPPPE,"2,494",Cassiano-9,Patrick Sequeira,,/es/jugadores/6f21e773/Patrick-Sequeira
9,Estoril,30,10,9,11,38,48,-10,39,1.30,34.4,52.0,-17.6,-0.59,PEPPPGPPPP,"2,291",Alejandro Marqués-9,Joel Robles,,/es/jugadores/cda0b317/Joel-Robles
10,Moreirense,31,9,9,13,36,45,-9,36,1.16,30.4,36.0,-5.5,-0.18,PEPGPPPPPE,"2,239",Alan-6,Kewin,,/es/jugadores/aea1afc8/Kewin
11,Rio Ave,31,8,9,14,33,51,-18,33,1.06,35.0,51.7,-16.7,-0.54,PPPPPGPEPP,"2,552",Clayton-13,Cezary Miszta,,/es/jugadores/b9139383/Cezary-Miszta
12,Arouca,31,8,9,14,30,47,-17,33,1.06,37.1,43.3,-6.2,-0.20,PPPPPEPGPP,"2,099","Jason,Henrique Araújo-5",Nico Mantl,,/es/jugadores/0d48a5bb/Nico-Mantl
13,Nacional,31,9,6,16,28,42,-14,33,1.06,33.8,44.1,-10.3,-0.33,PPPPPGPPPE,"2,405",Daniel Penha-4,Lucas França,,/es/jugadores/d82f7b3f/Lucas-Franca
14,Gil Vicente FC,31,8,8,15,31,43,-12,32,1.03,30.7,39.7,-8.9,-0.29,PGPPPPPGPG,"6,026",Félix Correia-8,Andrew,,/es/jugadores/40406a00/Andrew
15,Estrela,31,7,8,16,24,43,-19,29,0.94,27.7,39.7,-12.0,-0.39,PPPGPPPPPG,"3,885",Kikas-6,Bruno Brigido,,/es/jugadores/5ccca624/Bruno-Brigido
16,AVS Futebol,31,4,12,15,23,55,-32,24,0.77,28.6,51.7,-23.0,-0.74,PPPPPPPEPP,"2,613","Nenê,John Mercado-3",Guillermo Ochoa,,/es/jugadores/1e9bde92/Guillermo-Ochoa
17,Boavista,31,5,6,20,20,52,-32,21,0.68,27.8,51.7,-23.9,-0.77,PPPGPPPGPP,"7,518","Miguel Reisinho,Róbert Boženík-4",César,,/es/jugadores/7f6296b9/Cesar
18,Farense,31,4,9,18,20,42,-22,21,0.68,25.6,46.9,-21.2,-0.69,PPPEPGPPPP,"7,877",Tomané-3,Ricardo Velho,,/es/jugadores/23d16052/Ricardo-Velho
