Jugador;Equipo;Posicion;Metrica 1;Datos Metrica 1;Metrica 2;Datos Metrica 2;Metrica 3;Datos Metrica 3;Metrica 4;Datos Metrica 4;Metrica 5;Datos Metrica 5;Metrica 6;Datos Metrica 6;Metrica 7;Datos Metrica 7;Metrica 8;Datos Metrica 8;Metrica 9;Datos Metrica 9
Manuel Neuer;Bayern;GK;Toques fuera del area/90;3.73;Calidad del tiro a puerta;34.6;Valor del disparo a puerta;0.28;Precision en pases largos;88;Disatncia pases largos/90;0.94;Distancia progresiva en pases largos/90;0.61;Goles evitados/temporada;4.6;Puntos aportados/por temporada;3.2;;
Wojciech Szczesny;Barcelona;GK;Toques fuera del area/90;3.73;Calidad del tiro a puerta;12;Valor del disparo a puerta;0.35;Precision en pases largos;88.5;Disatncia pases largos/90;0.65;Distancia progresiva en pases largos/90;0.38;Goles evitados/temporada;12;Puntos aportados/por temporada;8.3;;
Benjamin Pavard;Bayern;RB;Pases progresivos/90;7.23;Duelos aereos jugados;108;Duelos aereos ganados;0.67;Pases progresivos/90;7.23;Acciones que originan un tiro/90;1.29;Toques en Z2/90;49.3;Toques en Z3/90;17.6;Toques en area/90;1.32;;
Jules Kounde;Barcelona;RB;Pases progresivos/90;5.71;Duelos aereos jugados;53;Duelos aereos ganados;0.57;Pases progresivos/90;5.71;Acciones que originan un tiro/90;1.9;Toques en Z2/90;41.3;Toques en Z3/90;24.4;Toques en area/90;2.73;;
Jerome Boateng;Bayern;CB;Duelos aereos jugados;56;Duelos aereos ganados;0.67;Duelos defensivos ganados;0.5;Pases largos precisos/90;10.9;Pases medios precisos/90;45.5;Pases cortos precisos/90;19.6;Pases progresivos/90;6.4;;;;
Pau Cubarsi;Barcelona;CB;Duelos aereos jugados;106;Duelos aereos ganados;0.58;Duelos defensivos ganados;0.63;Pases largos precisos/90;6.7;Pases medios precisos/90;47.7;Pases cortos precisos/90;28.4;Pases progresivos/90;6.56;;;;
David Alaba;Bayern;CB;Duelos aereos jugados;46;Duelos aereos ganados;0.52;Duelos defensivos ganados;0.64;Pases largos precisos/90;8.35;Pases medios precisos/90;40.6;Pases cortos precisos/90;31;Pases progresivos/90;10;;;;
Inigo Martinez;Barcelona;CB;Duelos aereos jugados;91;Duelos aereos ganados;0.63;Duelos defensivos ganados;0.72;Pases largos precisos/90;7.51;Pases medios precisos/90;42.2;Pases cortos precisos/90;29.6;Pases progresivos/90;9.3;;;;
Alphonso Davies;Bayern;LB;Regates/90;5.1;Regates completados;0.63;Duelos aereos jugados;56;Duelos aereos ganados;0.54;Conducciones progresivas/90;4.88;Pases que originan un tiro/90;2.5;Toques en Z2/90;40.7;Toques en Z3/90;26.3;Toques en area/90;2.46
Alejandro Balde;Barcelona;LB;Regates/90;4.33;Regates completados;0.41;Duelos aereos jugados;25;Duelos aereos ganados;64;Conducciones progresivas/90;4.21;Pases que originan un tiro/90;2.36;Toques en Z2/90;32.3;Toques en Z3/90;23.5;Toques en area/90;1.85
Joshua Kimmich;Bayern;CM-CDM;Toques dentro del area;1.9;Pases progresivos/90;9.9;Duelos defensivos Z3/90;0.35;Acciones que originan un tiro/90;4.63;Acciones que originan gol/90;0.67;;;;;;;;
Frenkie De Jong;Barcelona;CM-CDM;Toques dentro del area;1.02;Pases progresivos/90;9.45;Duelos defensivos Z3/90;0.39;Acciones que originan un tiro/90;3.39;Acciones que originan gol/90;0.87;;;;;;;;
Leon Goretzka;Bayern;CM-CDM;Tiros/90;2.32;Tiros/90;0.93;Regates/90;1.49;Regates completados/90;1.13;Asistencias/90;0.3;Asistencias esperadas creadas/90;0.17;Conducciones progresivas/90;1.73;Pases claves/90;1.25;;
Pedri;Barcelona;CM-CDM;Tiros/90;0.78;Tiros/90;0.34;Regates/90;1.91;Regates completados/90;1.25;Asistencias/90;0.17;Asistencias esperadas creadas/90;0.23;Conducciones progresivas/90;2.88;Pases claves/90;2.19;;
